N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,8.82862625825802,4.195619625267707,"[0.3509702, -0.95401185]",0,0,0
100,0.01,0.1,2,0,1,7.3349517991161175,3.3137860567443873,"[0.55263256, -0.10107796]",0,0,0
100,0.01,0.1,2,0,2,6.450037135782128,3.3137860567443873,"[0.55263256, -0.10107796]",0,0,0
100,0.01,0.1,2,0,3,5.691194580779212,3.9344896684664192,"[-0.87451032, 1.0475911]",0,0,0
100,0.01,0.1,2,0,4,4.982697663103076,3.3965479962742684,"[0.19797469, -0.95401185]",0,0,0
100,0.01,0.1,2,0,5,4.347614728194716,2.4940985384912295,"[0.3509702, 0.04598815]",0,0,0
100,0.01,0.1,2,0,6,3.9677288973962113,2.4940985384912295,"[0.3509702, 0.04598815]",0,0,0
100,0.01,0.1,2,0,7,3.8783712203073857,2.4940985384912295,"[0.3509702, 0.04598815]",0,0,0
100,0.01,0.1,2,0,8,3.696216721811985,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,9,3.300400086858039,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,10,2.7985441593441056,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,11,2.386986876237782,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,12,2.186067957000637,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,13,1.941463220699518,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,14,1.745932339474221,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,15,1.624714656013436,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,16,1.4364565615108627,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,17,1.4111143588461703,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,18,1.4334008147845345,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,19,1.4143511487991942,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,20,1.4366376047375593,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,21,1.4366376047375586,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,22,1.4366376047375586,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,23,1.4143511487991942,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,24,1.4143511487991942,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,25,1.4143511487991942,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,26,1.4111143588461699,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
100,0.01,0.1,2,0,27,1.4366376047375593,1.3888279029078063,"[0.19797469, 0.04598815]",0,0,0
