N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,2242.4772903229355,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,1,132.3275401427068,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,2,24.507562614720054,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,3,6.353492607758813,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,4,2.858468552162139,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,5,3.120256878482654,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,6,1.6118167432538144,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,7,1.3998900477468128,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,8,1.2488127610093995,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,9,2.5293422652544226,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,10,0.004244153354539831,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,11,0.022224601649619403,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,12,1.248812761009403,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,13,1.248812761009404,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,14,2.02047160010077,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,15,0.004244153354539831,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,16,1.3207345541897206,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,17,1.2667932093044805,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,18,1.3027541058946388,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,19,1.2667932093044807,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,20,1.28477365759956,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,21,2.493381368664264,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,22,0.022224601649619452,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,23,0.022224601649619365,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,24,1.2488127610094022,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,25,0.004244153354539831,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
100,0.01,0.1,2,0,26,2.5473227135495042,0.004244153354539839,"[2.89067216, 0.48179714]",0,0,0
