N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,201.9874252540628,7.409705523897743,"[0.43699943, 4.61994397]",0,0,0
100,0.01,0.1,2,0,1,95.29125023979545,7.409705523897743,"[0.43699943, 4.61994397]",0,0,0
100,0.01,0.1,2,0,2,43.60878328706014,1.3564398784501341,"[1.0443876, 2.44431814]",0,0,0
100,0.01,0.1,2,0,3,25.36727014048355,5.983674139449615,"[2.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,4,18.101288004742617,5.983674139449615,"[2.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,5,12.349474873538265,4.953852953169552,"[-0.08135801, 4.61994397]",0,0,0
100,0.01,0.1,2,0,6,8.873329084366574,4.953852953169552,"[-0.08135801, 4.61994397]",0,0,0
100,0.01,0.1,2,0,7,7.48561393406504,4.953852953169552,"[-0.08135801, 4.61994397]",0,0,0
100,0.01,0.1,2,0,8,6.918833273219642,4.953852953169552,"[-0.08135801, 4.61994397]",0,0,0
100,0.01,0.1,2,0,9,7.09464591000003,4.953852953169552,"[-0.08135801, 4.61994397]",0,0,0
100,0.01,0.1,2,0,10,6.6811969554894945,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,11,6.764185988471111,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,12,5.452791416590583,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,13,5.292046601121907,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,14,5.4553993758535055,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,15,4.809781112561182,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,16,5.196304122999826,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,17,4.122072716778785,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,18,4.011656316058514,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,19,4.020135286809379,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,20,4.054271471523366,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,21,4.020135286809379,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,22,4.020135286809379,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,23,3.8546172663300156,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,24,4.098065416778492,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,25,4.088407656237354,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,26,3.8984112115851404,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,27,3.976341341554254,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,28,3.8984112115851395,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,0,29,3.854617266330015,3.776687136360898,"[1.81803139, 1.62833413]",0,0,0
100,0.01,0.1,2,1,0,233.06698057413018,1.1210344497742266,"[0.33996533, 3.78759356]",0,0,0
100,0.01,0.1,2,1,1,108.38186907748143,0.7333692515346935,"[0.39215636, 3.60316482]",0,0,0
100,0.01,0.1,2,1,2,54.04634732524161,1.1210344497742266,"[0.33996533, 3.78759356]",0,0,0
100,0.01,0.1,2,1,3,27.710136880658652,1.1210344497742266,"[0.33996533, 3.78759356]",0,0,0
100,0.01,0.1,2,1,4,10.780380023853981,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,5,5.00637146572167,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,6,2.436083841968003,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,7,1.1539695354479387,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,8,1.1019388756664363,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,9,1.0101569282719483,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,10,0.9522056855983504,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,11,1.8822379819847646,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,12,0.8662372650479455,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,13,1.314971836512544,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,14,1.3344296216836897,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,15,1.2955140513413987,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,16,1.2955140513413994,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,17,1.770942676949857,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,18,1.770942676949856,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,19,2.246371302558314,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,20,0.8590009960752325,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,21,0.8590009960752325,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,22,0.8395432109040875,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,23,1.2955140513413987,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,24,1.314971836512545,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,25,0.8395432109040875,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,26,1.770942676949857,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,27,1.2955140513413992,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,28,1.314971836512545,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,1,29,1.790400462121002,0.8200854257329435,"[0.33996533, 3.44326565]",0,0,0
100,0.01,0.1,2,2,0,204.30053672583924,0.9823654739514045,"[1.72228766, 2.51523593]",0,0,0
100,0.01,0.1,2,2,1,113.22336518954118,0.9823654739514045,"[1.72228766, 2.51523593]",0,0,0
100,0.01,0.1,2,2,2,67.68415309010251,1.877889082286442,"[1.96271165, 2.43458632]",0,0,0
100,0.01,0.1,2,2,3,34.65870187422305,1.877889082286442,"[1.96271165, 2.43458632]",0,0,0
100,0.01,0.1,2,2,4,21.0783077973036,1.7740819620363106,"[0.96271165, 2.43458632]",0,0,0
100,0.01,0.1,2,2,5,12.222692782368279,1.7740819620363106,"[0.96271165, 2.43458632]",0,0,0
100,0.01,0.1,2,2,6,6.676853871329277,1.7740819620363106,"[0.96271165, 2.43458632]",0,0,0
