N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,94.32518041332457,16.17110374143142,"[-11.71089119, 1.34535457]",0,0,0
100,0.01,0.1,2,0,1,76.84435152690486,16.17110374143142,"[-11.71089119, 1.34535457]",0,0,0
100,0.01,0.1,2,0,2,61.35987954097799,12.005365807271906,"[-11.53680444, 1.34535457]",0,0,0
100,0.01,0.1,2,0,3,44.093361626759105,16.17110374143142,"[-11.71089119, 1.34535457]",0,0,0
100,0.01,0.1,2,0,4,29.607385740123867,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,5,19.102250261634314,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,6,20.142378564262472,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,7,16.817432316221986,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,8,20.033250347803932,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,9,17.000182787329276,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,10,16.033422974903168,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,11,15.875286832968731,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,12,14.443486140965753,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,13,15.264632283385119,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,14,14.829868863719087,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,15,15.69939570305116,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,16,13.51112177763108,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,17,13.950704139660418,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,18,13.51112177763108,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,19,16.134159122717197,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,20,14.82986886371908,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,21,15.259813341021834,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,22,16.138978065080497,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,23,15.699395703051163,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,24,15.264632283385119,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,25,14.385467559326457,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,26,14.385467559326457,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
100,0.01,0.1,2,0,27,15.264632283385124,13.511121777631073,"[-5.72027092, 0.34535457]",0,0,0
