N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,-1.6952917897773276,-1.5229279693336593,"[-2.78663788, 7.78063217]",0,0,0
100,0.01,0.1,2,0,1,-1.7749898442035663,-1.6756218056231003,"[8.0583033, 1.07969642]",0,0,0
100,0.01,0.1,2,0,2,-1.8655150939137521,-1.849289936956881,"[3.85142433, 1.38192937]",0,0,0
100,0.01,0.1,2,0,3,-1.9313723723742775,-1.995384130642075,"[0.67628681, 1.129944]",0,0,0
100,0.01,0.1,2,0,4,-1.965739705952251,-1.8867018378005138,"[4.58737308, -1.4122254]",0,0,0
100,0.01,0.1,2,0,5,-1.9887604183634398,-1.995384130642075,"[0.67628681, 1.129944]",0,0,0
100,0.01,0.1,2,0,6,-2.002696620362549,-1.9971072016477247,"[0.67628681, -1.4122254]",0,0,0
100,0.01,0.1,2,0,7,-2.007260994624986,-2.0435821662864435,"[1.67628681, 1.129944]",0,0,0
100,0.01,0.1,2,0,8,-2.0277331773266,-1.997157576264197,"[0.67628681, 1.41022531]",0,0,0
100,0.01,0.1,2,0,9,-2.040023473983739,-2.0181630404971225,"[1.9825684, -1.4122254]",0,0,0
100,0.01,0.1,2,0,10,-2.0462605847148554,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,11,-2.0468549200582444,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,12,-2.046970826696626,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,13,-2.0478639229796247,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,14,-2.047566224218625,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,15,-2.047566224218625,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,16,-2.0472685254576257,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,17,-2.0479329165970976,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,18,-2.04742823698368,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,19,-2.047566224218625,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,20,-2.0474972306011527,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,21,-2.0471995318401524,-2.0181630404971225,"[1.9825684, -1.4122254]",0,0,0
100,0.01,0.1,2,0,22,-2.0471995318401532,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,23,-2.047635217836098,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,24,-2.0479329165970976,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,25,-2.0472685254576253,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,26,-2.0479329165970976,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,27,-2.0477949293621522,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,28,-2.0474544494599622,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,0,29,-2.0477949293621522,-2.047932916597099,"[-1.0174316, -1.4122254]",0,0,0
100,0.01,0.1,2,1,0,-1.663636764252254,-1.721844528353545,"[2.62934372, -4.10316796]",0,0,0
100,0.01,0.1,2,1,1,-1.7588913423101706,-1.8803292670204519,"[4.71960708, -1.39475901]",0,0,0
100,0.01,0.1,2,1,2,-1.8355139316986362,-1.8969705740954281,"[-0.38008205, 1.52926538]",0,0,0
100,0.01,0.1,2,1,3,-1.915326644512644,-1.8726224827211027,"[1.26480104, 2.59623019]",0,0,0
100,0.01,0.1,2,1,4,-1.9784553371671874,-2.0414305226669884,"[0.99697283, 1.10821429]",0,0,0
100,0.01,0.1,2,1,5,-2.0082314438141013,-2.0414305226669884,"[0.99697283, 1.10821429]",0,0,0
100,0.01,0.1,2,1,6,-2.0332132795646873,-2.0414305226669884,"[0.99697283, 1.10821429]",0,0,0
100,0.01,0.1,2,1,7,-2.0369396872244807,-2.0414305226669884,"[0.99697283, 1.10821429]",0,0,0
100,0.01,0.1,2,1,8,-2.051013311297736,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,9,-2.05428989972286,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,10,-2.0564714497126366,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,11,-2.05361740497783,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,12,-2.0533296107121415,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,13,-2.0558625248096063,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,14,-2.05684118759265,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,15,-2.0578198503756937,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,16,-2.0578198503756937,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,17,-2.0578198503756937,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,18,-2.051372285146054,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,19,-2.0558625248096063,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,20,-2.054596067760874,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,21,-2.0555747305439174,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,22,-2.0568411875926498,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,23,-2.0523509479290976,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,24,-2.045903382699458,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,25,-2.05684118759265,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,26,-2.051084490880365,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,27,-2.0533296107121415,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,28,-2.054596067760874,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,1,29,-2.054596067760874,-2.0578198503756937,"[1.26480104, 1.52926538]",0,0,0
100,0.01,0.1,2,2,0,-1.6307386545733547,-1.3643080943894323,"[-6.15423898, -2.57101188]",0,0,0
100,0.01,0.1,2,2,1,-1.764977827136454,-1.9060100845697912,"[-2.45775294, -1.06299011]",0,0,0
100,0.01,0.1,2,2,2,-1.8778940100934431,-1.9607103753829205,"[2.29699065, 1.46455457]",0,0,0
100,0.01,0.1,2,2,3,-1.9352496186479178,-1.9461550077006557,"[1.75837996, 2.30465979]",0,0,0
100,0.01,0.1,2,2,4,-1.976606173043233,-2.0307130072929196,"[-1.66368192, 0.96453607]",0,0,0
100,0.01,0.1,2,2,5,-2.0069917428528488,-1.9607103753829205,"[2.29699065, 1.46455457]",0,0,0
100,0.01,0.1,2,2,6,-2.028772085086277,-2.0379319910052898,"[-0.93308241, 1.46455457]",0,0,0
100,0.01,0.1,2,2,7,-2.0377911145062755,-2.043774292976562,"[1.33631808, 0.96453607]",0,0,0
100,0.01,0.1,2,2,8,-2.0428629862378394,-2.0606614044747187,"[1.29699065, 1.46455457]",0,0,0
100,0.01,0.1,2,2,9,-2.047120990637491,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,10,-2.0513747516370087,-2.043774292976562,"[1.33631808, 0.96453607]",0,0,0
100,0.01,0.1,2,2,11,-2.0564138195756376,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,12,-2.054419509134824,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,13,-2.060456870781913,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,14,-2.0597947514464874,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,15,-2.0561487767138953,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,16,-2.059809985620933,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,17,-2.059809985620933,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,18,-2.0585777124060045,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,19,-2.059809985620933,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,20,-2.057388667016047,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,21,-2.056156393801118,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,22,-2.0549241205861897,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,23,-2.0585777124060045,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,24,-2.0573886670160464,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
100,0.01,0.1,2,2,25,-2.05428637006624,-2.0610422588358586,"[1.33631808, 1.46455457]",0,0,0
