N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,-1.3919452238711594e-43,-0.0,"[-23.05387115, 92.35800797]",0,0,0
100,0.01,0.1,2,0,1,-2.7838904477423187e-43,0.0,"[35.45818121, 50.29303768]",0,0,0
100,0.01,0.1,2,0,2,-4.1758356716134775e-43,0.0,"[48.41039334, -69.07573957]",0,0,0
100,0.01,0.1,2,0,3,7.648061955780785e-23,-0.0,"[33.0056981, 9.17943839]",0,0,0
100,0.01,0.1,2,0,4,-2.366306880580971e-42,-1.3919452238711593e-41,"[-6.2383323, 0.73475295]",0,0,0
100,0.01,0.1,2,0,5,-3.1047132424161756e-07,-1.3919452238711593e-41,"[-6.2383323, 0.73475295]",0,0,0
100,0.01,0.1,2,0,6,-4.808424860035094e-07,-9.608662986370679e-100,"[18.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,7,-2.8295550209619065e-08,-1.3919452238711593e-41,"[-6.2383323, 0.73475295]",0,0,0
100,0.01,0.1,2,0,8,-5.652018925888845e-07,-1.3919452238711593e-41,"[-6.2383323, 0.73475295]",0,0,0
100,0.01,0.1,2,0,9,-2.015230132473052e-06,-2.1123194341896355e-40,"[12.37445784, 0.73475295]",0,0,0
100,0.01,0.1,2,0,10,-4.596922405966579e-06,-2.517702211736274e-41,"[-6.2383323, 0.90047682]",0,0,0
100,0.01,0.1,2,0,11,-8.753889801940943e-06,-2.517702211736274e-41,"[-6.2383323, 0.90047682]",0,0,0
100,0.01,0.1,2,0,12,-1.3732850568009532e-05,-5.6790387253963936e-06,"[0.7616677, 0.73475295]",0,0,0
100,0.01,0.1,2,0,13,-1.7558322316666297e-05,-5.6790387253963936e-06,"[0.7616677, 0.73475295]",0,0,0
100,0.01,0.1,2,0,14,-2.176910913747858e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,15,-1.538775869513157e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,16,-2.061679094931782e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,17,-2.5368093698765335e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,18,-2.461548548392875e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,19,-2.0562812094105976e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,20,-2.5117224293819805e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,21,-2.511722429381981e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,22,-1.1453987694678317e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,23,-1.6259269299337676e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,24,-2.511722429381981e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,25,-1.500492227461003e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,26,-2.056281209410598e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,27,-2.0813681499051506e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,28,-2.081368149905151e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,0,29,-2.0813681499051506e-05,-2.536809369876536e-05,"[1.04567943, 0.90047682]",0,0,0
100,0.01,0.1,2,1,0,-8.410959965553978e-17,-0.0,"[46.24258479, -53.33364374]",0,0,0
100,0.01,0.1,2,1,1,-2.5232879896661935e-16,-1.2022277471324692e-288,"[18.31207401, 23.91676083]",0,0,0
100,0.01,0.1,2,1,2,-2.9438359879438926e-16,-1.144252453e-314,"[29.08322251, -3.87556337]",0,0,0
100,0.01,0.1,2,1,3,-5.839572021619627e-09,0.0,"[-34.47879479, -49.66243689]",0,0,0
100,0.01,0.1,2,1,4,-5.839572273948426e-09,-1.1881322001491596e-07,"[1.54353685, 6.27038969]",0,0,0
100,0.01,0.1,2,1,5,-1.6330590308753714e-08,-4.651439106538873e-07,"[1.19508366, 6.27038969]",0,0,0
100,0.01,0.1,2,1,6,-3.861601164426871e-07,-4.205479982776989e-15,"[-1.45646315, 6.27038969]",0,0,0
100,0.01,0.1,2,1,7,-4.095105813978715e-07,-6.696372795269606e-13,"[-1.45646315, 1.27038969]",0,0,0
100,0.01,0.1,2,1,8,-8.097182521077793e-07,-4.205479982776989e-15,"[-1.45646315, 6.27038969]",0,0,0
100,0.01,0.1,2,1,9,-9.110561566545033e-07,-4.205479982776989e-15,"[-1.45646315, 6.27038969]",0,0,0
100,0.01,0.1,2,1,10,-1.724679754961285e-06,-1.1881322001491596e-07,"[1.54353685, 6.27038969]",0,0,0
100,0.01,0.1,2,1,11,-3.141059575307778e-06,-4.651439106538873e-07,"[1.19508366, 6.27038969]",0,0,0
100,0.01,0.1,2,1,12,-6.390580597727466e-06,-4.651439106538873e-07,"[1.19508366, 6.27038969]",0,0,0
100,0.01,0.1,2,1,13,-1.4257165822609002e-05,-3.430157617948026e-05,"[0.88130957, 1.27038969]",0,0,0
100,0.01,0.1,2,1,14,-2.5801668952329934e-05,-4.651439106538873e-07,"[1.19508366, 6.27038969]",0,0,0
100,0.01,0.1,2,1,15,-3.317237751932826e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,16,-4.3843410298975764e-05,-3.430157617948026e-05,"[0.88130957, 1.27038969]",0,0,0
100,0.01,0.1,2,1,17,-5.470112643550892e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,18,-7.294129153362846e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,19,-7.333892298498036e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,20,-7.261930289833854e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,21,-7.333892298498036e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,22,-7.189968281169672e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,23,-7.261930289833854e-05,-1.4848883457176005e-06,"[0.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,24,-7.406472131466989e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,25,-7.333892298498036e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,26,-7.334510122802806e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,27,-7.334510122802806e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,28,-7.046044263841308e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,1,29,-7.118006272505489e-05,-7.40647213146699e-05,"[1.19508366, 1.27038969]",0,0,0
100,0.01,0.1,2,2,0,3.753131162478588e-28,0.0,"[-21.54911016, -74.66905863]",0,0,0
100,0.01,0.1,2,2,1,1.5800471385065976e-250,-0.0,"[99.93046529, 92.72524242]",0,0,0
100,0.01,0.1,2,2,2,-1.877e-321,-0.0,"[99.93046529, 92.72524242]",0,0,0
100,0.01,0.1,2,2,3,2.6566172909e-312,-0.0,"[9.53124208, -41.587445]",0,0,0
100,0.01,0.1,2,2,4,-8.45e-321,0.0,"[-72.10800859, -69.12627335]",0,0,0
100,0.01,0.1,2,2,5,-1.408e-320,0.0,"[-72.10800859, -69.12627335]",0,0,0
100,0.01,0.1,2,2,6,-1.9713e-320,-0.0,"[-16.38748632, -35.52401324]",0,0,0
100,0.01,0.1,2,2,7,4.399503766734e-312,-0.0,"[-82.55025332, -31.06979987]",0,0,0
100,0.01,0.1,2,2,8,-7.840497683839818e-18,-9.3877e-320,"[-23.42523153, -1.93428638]",0,0,0
100,0.01,0.1,2,2,9,-2.3521493051519456e-17,0.0,"[-23.42523153, 81.91362232]",0,0,0
100,0.01,0.1,2,2,10,-6.753836084122042e-17,2.6547611364857414e-15,"[0.57476847, -1.93428638]",0,0,0
100,0.01,0.1,2,2,11,-2.273744328313548e-16,-9.3877e-320,"[-23.42523153, -1.93428638]",0,0,0
100,0.01,0.1,2,2,12,-3.6850339114047165e-16,-7.840497683839819e-16,"[1.57476847, -1.93428638]",0,0,0
100,0.01,0.1,2,2,13,-5.005539945095747e-16,-7.840497683839819e-16,"[1.57476847, -1.93428638]",0,0,0
100,0.01,0.1,2,2,14,4.43743287543218e-08,-7.840497683839819e-16,"[1.57476847, -1.93428638]",0,0,0
100,0.01,0.1,2,2,15,-7.76209270700141e-16,-7.840497683839819e-16,"[1.57476847, -1.93428638]",0,0,0
100,0.01,0.1,2,2,16,-7.152735502865869e-16,-7.840497683839819e-16,"[1.57476847, -1.93428638]",0,0,0
100,0.01,0.1,2,2,17,6.656149344118257e-08,-7.840497683839819e-16,"[1.57476847, -1.93428638]",0,0,0
100,0.01,0.1,2,2,18,2.218716399208251e-08,-7.840497683839819e-16,"[1.57476847, -1.93428638]",0,0,0
100,0.01,0.1,2,2,19,1.1093582292467062e-07,-7.840497683839819e-16,"[1.57476847, -1.93428638]",0,0,0
100,0.01,0.1,2,2,20,2.218716395769437e-08,-7.840497683839819e-16,"[1.57476847, -1.93428638]",0,0,0
100,0.01,0.1,2,2,21,-7.152735502865869e-16,-7.840497683839819e-16,"[1.57476847, -1.93428638]",0,0,0
