N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,-187.7121195547661,-691.2492261845553,"[-440.47600042, -379.79946365]",0,0,0
100,0.01,0.1,2,0,1,-346.73761274026305,-479.7244600703989,"[398.16039159, 137.76352893]",0,0,0
100,0.01,0.1,2,0,2,-436.8412956297969,-691.2492261845553,"[-440.47600042, -379.79946365]",0,0,0
100,0.01,0.1,2,0,3,-502.9250811623977,-494.7552055044539,"[236.40814019, 243.77328434]",0,0,0
100,0.01,0.1,2,0,4,-544.0002942323157,-516.2301374747295,"[413.5450551, 454.61858375]",0,0,0
100,0.01,0.1,2,0,5,-598.0643959402955,-752.7135551685328,"[316.76794479, 480.06466542]",0,0,0
100,0.01,0.1,2,0,6,-651.9090943662545,-752.7135551685328,"[316.76794479, 480.06466542]",0,0,0
100,0.01,0.1,2,0,7,-707.2424210370475,-752.7135551685328,"[316.76794479, 480.06466542]",0,0,0
100,0.01,0.1,2,0,8,-712.4371224480849,-691.2492261845553,"[-440.47600042, -379.79946365]",0,0,0
100,0.01,0.1,2,0,9,-719.7317364557134,-752.7135551685328,"[316.76794479, 480.06466542]",0,0,0
100,0.01,0.1,2,0,10,-750.0811973234038,-752.7135551685328,"[316.76794479, 480.06466542]",0,0,0
100,0.01,0.1,2,0,11,-728.4870996501517,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,12,-771.5959570712711,-752.7135551685328,"[316.76794479, 480.06466542]",0,0,0
100,0.01,0.1,2,0,13,-802.1393545893105,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,14,-798.3354132905894,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,15,-787.3135684244697,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,16,-810.8615544870947,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,17,-785.8092720940837,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,18,-798.3354132905893,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,19,-799.8397096209751,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,20,-810.8615544870947,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,21,-787.3135684244697,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,22,-798.3354132905894,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,23,-751.239441165339,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,24,-763.7655823618446,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,25,-799.8397096209751,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,26,-798.3354132905894,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,27,-798.3354132905893,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,28,-766.7741750226163,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,0,29,-754.2480338261107,-810.861554487095,"[338.98712649, 480.06466542]",0,0,0
100,0.01,0.1,2,1,0,-186.19077968812434,-237.5843882505124,"[-399.16557538, 404.43641839]",0,0,0
100,0.01,0.1,2,1,1,-291.00335528890264,-548.7162731720908,"[-452.78330861, -357.07203129]",0,0,0
100,0.01,0.1,2,1,2,-410.9871331772047,34.02727566659223,"[-415.50434304, 22.9611665]",0,0,0
100,0.01,0.1,2,1,3,-523.4624458305029,-427.28318662569245,"[509.25870886, 376.80921473]",0,0,0
100,0.01,0.1,2,1,4,-585.4777900169013,-671.220894451418,"[-363.12363345, -438.00273769]",0,0,0
100,0.01,0.1,2,1,5,-633.2901541194431,-548.7162731720908,"[-452.78330861, -357.07203129]",0,0,0
100,0.01,0.1,2,1,6,-675.407602427425,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,7,-696.2526824137564,-671.220894451418,"[-363.12363345, -438.00273769]",0,0,0
100,0.01,0.1,2,1,8,-711.530863107066,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,9,-767.9863138208841,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,10,-779.0058613914422,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,11,-785.2725709462866,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,12,-785.2725709462865,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,13,-787.9105772747757,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,14,-787.9105772747757,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,15,-792.1776686632508,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,16,-781.0054795578114,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,17,-792.1776686632508,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,18,-782.6345646177973,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,19,-782.6345646177973,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,20,-787.9105772747757,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,21,-768.2042053923864,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,22,-786.9016560062723,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,23,-787.9105772747757,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,24,-789.5396623347615,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,25,-787.9105772747757,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,26,-782.6345646177972,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,27,-789.5396623347615,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,28,-789.5396623347615,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,1,29,-785.2725709462866,-792.1776686632501,"[-494.88962432, 394.65396803]",0,0,0
100,0.01,0.1,2,2,0,-121.31070398497226,-61.047026080938,"[-242.09599771, -309.92404548]",0,0,0
100,0.01,0.1,2,2,1,-220.87464089611782,-586.2247736605527,"[399.63642808, 160.46769724]",0,0,0
100,0.01,0.1,2,2,2,-321.61567911432485,-458.3364021388387,"[386.94005059, -339.5214972]",0,0,0
100,0.01,0.1,2,2,3,-377.1610260166948,-366.25190016256016,"[381.21747763, 393.06308319]",0,0,0
100,0.01,0.1,2,2,4,-449.2988814306303,-586.2247736605527,"[399.63642808, 160.46769724]",0,0,0
100,0.01,0.1,2,2,5,-503.7301882268065,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,6,-553.0950819165804,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,7,-592.5446286460528,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,8,-585.1301780931072,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,9,-595.1360193401583,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,10,-601.4520696026002,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,11,-606.0400107351088,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,12,-592.1638606326425,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,13,-601.4520696026002,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,14,-601.4520696026002,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,15,-609.1360803917614,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,16,-602.9439410784563,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,17,-590.6719891567864,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,18,-593.6557321084985,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,19,-587.5759195001338,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,20,-579.8919087109725,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,21,-606.0400107351088,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,22,-609.1360803917614,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,23,-592.1638606326424,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,24,-587.5759195001339,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,25,-609.1360803917614,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,26,-609.1360803917614,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,27,-602.9439410784562,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,28,-590.6719891567864,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,2,2,29,-587.5759195001339,-609.1360803917603,"[386.94005059, -349.74419013]",0,0,0
100,0.01,0.1,3,0,0,-316.80229931780707,-443.8242874411921,"[-216.82834119, 284.79124511]",0,0,0
100,0.01,0.1,3,0,1,-530.5057883142135,-558.523965494759,"[-388.23882385, -421.69268833]",0,0,0
100,0.01,0.1,3,0,2,-677.8564314567639,-757.1134125048839,"[-467.4414594, -395.95357058]",0,0,0
100,0.01,0.1,3,0,3,-764.7979163820303,-883.39426403295,"[-467.4414594, 380.39654102]",0,0,0
100,0.01,0.1,3,0,4,-759.5401361089143,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,5,-783.5676144193153,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,6,-788.4528379908444,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,7,-792.9794016707151,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,8,-784.6535890081867,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,9,-779.3997106311028,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,10,-784.6535890081868,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,11,-783.9262743109736,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,12,-783.9262743109737,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,13,-777.0550910428715,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,14,-780.854340025529,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,15,-783.9262743109737,-340.32303368363677,"[492.91083914, 1.39654102]",0,0,0
100,0.01,0.1,3,0,16,-788.4528379908444,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,17,-784.6535890081868,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,18,-792.9794016707151,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,19,-788.4528379908444,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,20,-780.854340025529,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,21,-789.1801526880575,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,22,-792.9794016707151,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,23,-792.9794016707151,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,24,-792.9794016707151,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,25,-788.4528379908444,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,26,-771.0738979685744,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,27,-788.4528379908444,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,28,-784.6535890081868,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,0,29,-783.9262743109736,-792.979401670714,"[492.91083914, 380.39654102]",0,0,0
100,0.01,0.1,3,1,0,-176.5494078350735,-147.37555909943393,"[176.99332721, 86.72749944]",0,0,0
100,0.01,0.1,3,1,1,-351.10341953050215,-104.74037739267372,"[-203.37805866, 24.63067153]",0,0,0
100,0.01,0.1,3,1,2,-430.6625129618388,-542.1465161836834,"[-231.61221794, 276.89659599]",0,0,0
100,0.01,0.1,3,1,3,-597.5659717041306,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,4,-681.4844543508149,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,5,-697.2420875408676,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,6,-708.244370201099,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,7,-708.2443702010991,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,8,-699.0126303848128,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,9,-703.6285002929559,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,10,-703.6285002929559,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,11,-688.7061063482735,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,12,-711.0896972652971,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,13,-715.7055671734402,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,14,-694.3967604766696,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,15,-696.1673033206148,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,16,-706.473827357154,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
100,0.01,0.1,3,1,17,-699.0126303848128,-715.7055671734395,"[401.75321596, -369.13686074]",0,0,0
