N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,95.23121513081483,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,1,69.63536502100847,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,2,37.68480845812688,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,3,22.70990568240461,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,4,13.427247913934696,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,5,6.565829656248172,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,6,2.806024517112603,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,7,3.0134501574650896,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,8,1.9228760760904615,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,9,5.35131924561626,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,10,2.528106697357116,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,11,0.7774785913302178,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,12,1.4555222551248987,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,13,3.6006911395893475,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,14,2.13356591891958,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,15,1.8500630335624344,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,16,0.7774785913302178,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,17,1.4555222551248972,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,18,0.7774785913302178,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,19,1.850063033562435,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,20,4.956778467178715,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,21,4.16769691030362,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,22,4.278734803384023,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
100,0.01,0.1,2,0,23,1.8500630335624382,0.7774785913302177,"[-2.6661092, 3.06113217]",0,0,0
