N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,-3.825942934652965,-5.354623189916491,"[8.60269182, 5.57611052]",0,0,0
100,0.01,0.1,2,0,1,-5.392276891497936,-7.9406376678925845,"[-1.57597587, -9.90730664]",0,0,0
100,0.01,0.1,2,0,2,-7.412548279146117,-5.6083100189845005,"[-8.32138921, 3.24612747]",0,0,0
100,0.01,0.1,2,0,3,-9.463444453687877,-7.9406376678925845,"[-1.57597587, -9.90730664]",0,0,0
100,0.01,0.1,2,0,4,-11.017574986336612,-12.69312471071799,"[-8.32138921, -8.80922442]",0,0,0
100,0.01,0.1,2,0,5,-12.440568167076554,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,6,-14.834637652987192,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,7,-16.390943254566288,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,8,-17.55476267149495,-12.69312471071799,"[-8.32138921, -8.80922442]",0,0,0
100,0.01,0.1,2,0,9,-18.193545401987148,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,10,-17.958960100083303,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,11,-18.184424719012323,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,12,-18.05800525122776,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,13,-18.037391922846865,-5.6962717249802814,"[0.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,14,-18.184424719012323,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,15,-18.085379567867868,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,16,-18.05800525122776,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,17,-17.805166315658624,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,18,-18.085379567867868,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,19,-18.338218503437005,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,20,-18.05800525122776,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,21,-18.05800525122776,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,22,-17.90421146680308,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,23,-17.77779199901851,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,24,-18.338218503437005,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,25,-18.338218503437005,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
100,0.01,0.1,2,0,26,-18.211799035652437,-18.338218503436973,"[7.82042562, 9.85278023]",0,0,0
