N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,21.580621266328393,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,1,7.198167556010265,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,2,2.363634366489523,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,3,0.8262520427222833,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,4,0.5940928418210197,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,5,0.4817207132437284,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,6,0.44777146138701257,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,7,0.4194674947528794,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,8,0.3997188710725908,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,9,0.42894424747383847,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,10,0.40946066320633995,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,11,0.4094606632063401,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,12,0.3997188710725908,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,13,0.3997188710725908,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,14,0.40946066320633995,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,15,0.4192024553400893,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,16,0.42894424747383864,0.39971887107259024,"[0.92801888, 0.6262816]",0,0,0
100,0.01,0.1,2,0,17,0.41920245534008926,0.39971887107259024,"[0.92801888, 0.6262816]",0,0,0
100,0.01,0.1,2,0,18,0.3997188710725908,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,19,0.3997188710725908,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,20,0.41920245534008926,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,21,0.41920245534008943,0.39971887107259024,"[0.92801888, 0.6262816]",0,0,0
100,0.01,0.1,2,0,22,0.41920245534008943,0.39971887107259024,"[0.92801888, 0.6262816]",0,0,0
100,0.01,0.1,2,0,23,0.41920245534008926,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,24,0.4094606632063401,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,25,0.41920245534008926,0.39971887107259024,"[0.92801888, 0.6262816]",0,0,0
100,0.01,0.1,2,0,26,0.4192024553400893,0.39971887107259024,"[0.92801888, 0.6262816]",0,0,0
100,0.01,0.1,2,0,27,0.4192024553400893,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,28,0.41920245534008926,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,0,29,0.4094606632063401,0.39971887107259024,"[0.92801888, 1.6262816]",0,0,0
100,0.01,0.1,2,1,0,20.170490678959915,0.16442457540859928,"[0.69243977, -6.96139519]",0,0,0
100,0.01,0.1,2,1,1,8.275719490110912,0.16442457540859928,"[0.69243977, -6.96139519]",0,0,0
100,0.01,0.1,2,1,2,2.830643849894205,0.16442457540859928,"[0.69243977, -6.96139519]",0,0,0
100,0.01,0.1,2,1,3,1.3289349901473415,0.16442457540859928,"[0.69243977, -6.96139519]",0,0,0
100,0.01,0.1,2,1,4,0.6211107231274422,0.16442457540859928,"[0.69243977, -6.96139519]",0,0,0
100,0.01,0.1,2,1,5,0.40894198992949155,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,6,0.24301648421107835,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,7,0.18128868269129964,0.16442457540859928,"[0.69243977, -6.96139519]",0,0,0
100,0.01,0.1,2,1,8,0.1644245754085993,0.16442457540859928,"[0.69243977, -6.96139519]",0,0,0
100,0.01,0.1,2,1,9,0.16876078773402498,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,10,0.16876078773402498,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,11,0.1644245754085993,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,12,0.1730970000594506,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,13,0.16876078773402498,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,14,0.1644245754085993,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,15,0.1644245754085993,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,16,0.16876078773402498,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,17,0.1730970000594506,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,18,0.1644245754085993,0.16442457540859912,"[0.69243977, 1.03860481]",0,0,0
100,0.01,0.1,2,1,19,0.1644245754085993,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,20,0.16876078773402495,0.16442457540859914,"[0.69243977, 0.03860481]",0,0,0
100,0.01,0.1,2,1,21,0.1644245754085993,0.16442457540859912,"[0.69243977, 1.03860481]",0,0,0
100,0.01,0.1,2,1,22,0.1817694247103019,0.16442457540859912,"[0.69243977, 1.03860481]",0,0,0
100,0.01,0.1,2,1,23,0.16876078773402495,0.16442457540859912,"[0.69243977, 1.03860481]",0,0,0
100,0.01,0.1,2,1,24,0.1644245754085993,0.16442457540859912,"[0.69243977, 1.03860481]",0,0,0
100,0.01,0.1,2,1,25,0.16876078773402495,0.16442457540859912,"[0.69243977, 1.03860481]",0,0,0
100,0.01,0.1,2,1,26,0.16876078773402495,0.16442457540859912,"[0.69243977, 1.03860481]",0,0,0
100,0.01,0.1,2,1,27,0.17309700005945058,0.16442457540859912,"[0.69243977, 1.03860481]",0,0,0
100,0.01,0.1,2,1,28,0.17743321238487625,0.16442457540859912,"[0.69243977, 1.03860481]",0,0,0
100,0.01,0.1,2,1,29,0.16876078773402495,0.16442457540859912,"[0.69243977, 1.03860481]",0,0,0
100,0.01,0.1,2,2,0,19.243656530161942,0.24041068699343837,"[1.05383689, 9.25156058]",0,0,0
100,0.01,0.1,2,2,1,7.335880708574909,0.24041068699343837,"[1.05383689, 9.25156058]",0,0,0
100,0.01,0.1,2,2,2,1.007733053772619,0.24041068699343837,"[1.05383689, 9.25156058]",0,0,0
100,0.01,0.1,2,2,3,0.6385286396148213,0.24041068699343837,"[1.05383689, 9.25156058]",0,0,0
100,0.01,0.1,2,2,4,0.486979392620061,0.1445486217300025,"[0.68928564, 8.68622756]",0,0,0
100,0.01,0.1,2,2,5,0.43297056839311593,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,6,0.34358255998977927,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,7,0.3016583805763988,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,8,0.24860003530412508,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,9,0.2107689047434568,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,10,0.19766546933223295,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,11,0.18137077029483037,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,12,0.15069265998830833,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,13,0.1523744792503918,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,14,0.14454862173000257,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,15,0.14846155049019713,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,16,0.14454862173000257,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,17,0.14454862173000257,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,18,0.14846155049019713,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,19,0.14846155049019713,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,20,0.14454862173000257,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,21,0.14454862173000257,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,22,0.14846155049019713,0.14454862173000246,"[0.68928564, 1.68622756]",0,0,0
100,0.01,0.1,2,2,23,0.14846155049019716,0.14454862173000246,"[0.68928564, 0.68622756]",0,0,0
