N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,8.456658164709147,0.26757193694749315,"[-2.39038904, -1.77772104]",0,0,0
100,0.01,0.1,2,0,1,4.405801847141476,0.26757193694749315,"[-2.39038904, -1.77772104]",0,0,0
100,0.01,0.1,2,0,2,2.4988003042733986,0.26757193694749315,"[-2.39038904, -1.77772104]",0,0,0
100,0.01,0.1,2,0,3,1.8495396052769097,0.26739238052304115,"[1.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,4,1.3667927148884718,0.26739238052304115,"[1.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,5,0.7739570209815309,0.26739238052304115,"[1.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,6,0.44280501221876784,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,7,0.28999676755534964,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,8,0.2360327156036285,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,9,0.22988046896413894,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,10,0.1344043855252961,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,11,0.07962846128709365,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,12,0.054369715077395304,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,13,0.0478063776837584,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,14,0.04052169527285348,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,15,0.04645565956164115,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,16,0.04052169527285347,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,17,0.04645565956164115,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
100,0.01,0.1,2,0,18,0.05009800076709363,0.03823007218951818,"[0.84991945, 0.98499127]",0,0,0
