N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,3.314251040621526,-0.14129731911772936,"[0.61546149, -1.29121984]",0,0,0
100,0.01,0.1,2,0,1,0.8864722206989312,-1.003545002159905,"[-0.08274872, -0.72758614]",0,0,0
100,0.01,0.1,2,0,2,0.10288236943119683,-1.003545002159905,"[-0.08274872, -0.72758614]",0,0,0
100,0.01,0.1,2,0,3,-0.3706538959391438,-1.003545002159905,"[-0.08274872, -0.72758614]",0,0,0
100,0.01,0.1,2,0,4,-0.872161322706948,-1.8725983419601921,"[-0.73366072, -1.64301364]",0,0,0
100,0.01,0.1,2,0,5,-1.1327084780953784,-1.8046662679474204,"[-0.32175658, -1.29121984]",0,0,0
100,0.01,0.1,2,0,6,-1.5052287032519007,-1.8725983419601921,"[-0.73366072, -1.64301364]",0,0,0
100,0.01,0.1,2,0,7,-1.6640346291146202,-1.9123784898508882,"[-0.53031727, -1.52195286]",0,0,0
100,0.01,0.1,2,0,8,-1.8453666566128688,-1.8725983419601921,"[-0.73366072, -1.64301364]",0,0,0
100,0.01,0.1,2,0,9,-1.7693100317868753,-0.4113444460685374,"[0.46968273, -1.52195286]",0,0,0
100,0.01,0.1,2,0,10,-1.774194187276406,-1.9123784898508882,"[-0.53031727, -1.52195286]",0,0,0
100,0.01,0.1,2,0,11,-1.7748822222733454,-1.9123784898508882,"[-0.53031727, -1.52195286]",0,0,0
100,0.01,0.1,2,0,12,-1.6373859546958034,-1.9123784898508882,"[-0.53031727, -1.52195286]",0,0,0
100,0.01,0.1,2,0,13,-1.9123784898508873,-1.9123784898508882,"[-0.53031727, -1.52195286]",0,0,0
100,0.01,0.1,2,0,14,-1.7898925627111693,-1.9123784898508882,"[-0.53031727, -1.52195286]",0,0,0
100,0.01,0.1,2,0,15,-1.6223756142579804,-1.9123784898508882,"[-0.53031727, -1.52195286]",0,0,0
100,0.01,0.1,2,0,16,-1.6674066355714503,-1.9123784898508882,"[-0.53031727, -1.52195286]",0,0,0
100,0.01,0.1,2,0,17,-1.6674066355714503,-1.9123784898508882,"[-0.53031727, -1.52195286]",0,0,0
