N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,0.4951447497642291,0.4971171983454656,"[-23.41083377, 37.77257413]",0,0,0
100,0.01,0.1,2,0,1,0.489734883283836,0.6343267725732575,"[18.68330324, 0.95244061]",0,0,0
100,0.01,0.1,2,0,2,0.4814478032646639,0.42379539721999104,"[18.68330324, 13.20782534]",0,0,0
100,0.01,0.1,2,0,3,0.4704934737990785,0.42379539721999104,"[18.68330324, 13.20782534]",0,0,0
100,0.01,0.1,2,0,4,0.45901445197289337,0.42379539721999104,"[18.68330324, 13.20782534]",0,0,0
100,0.01,0.1,2,0,5,0.4339694754752028,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,6,0.42612387076675723,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,7,0.4220025394503655,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,8,0.42253846703056597,0.48498202051120093,"[0.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,9,0.4219012879134166,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,10,0.42253846703056597,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,11,0.4248625072333646,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,12,0.42126410879626724,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,13,0.42253846703056597,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,14,0.42253846703056597,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,15,0.42909808478761136,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,16,0.4261368654676632,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,17,0.4320593041075595,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,18,0.42190128791341663,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,19,0.422538467030566,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,20,0.4320593041075594,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
100,0.01,0.1,2,0,21,0.43205930410755927,0.4212641087962674,"[15.34663381, 5.41516214]",0,0,0
