N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found,diversity_metric
100,0.01,0.1,2,0,0,53.37765915538365,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,1,10.141768112402023,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,2,5.273152050432044,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,3,1.9023680905526632,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,4,0.7054856126366847,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,5,0.49281056700702697,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,6,0.32169731076041785,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,7,0.24445671265060498,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,8,0.20319654662008169,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,9,0.20231702262075402,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,10,0.19061068978515214,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,11,0.19646385620295306,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,12,0.2022049013366067,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,13,0.18475752336735116,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,14,0.19348121235197902,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,15,0.187628045934178,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,16,0.1934812123519789,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,17,0.21689387802318275,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,18,0.18475752336735116,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,19,0.196463856202953,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,20,0.20220490133660682,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,21,0.19348121235197902,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,22,0.2080580677544077,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,23,0.19635173491880578,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,24,0.19933437876977994,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,25,0.18475752336735116,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,26,0.187628045934178,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,27,0.19933437876977986,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,28,0.1964638562029531,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,0,29,0.18475752336735116,0.18475752336735118,"[-0.18340527, -0.26477124]",0,0,0
100,0.01,0.1,2,1,0,100.66954866509121,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,1,15.64372095639123,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,2,2.826860205754079,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,3,1.0492945420247333,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,4,0.6863945221465427,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,5,0.4929610954436907,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,6,0.32490192348861113,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,7,0.2200678563351664,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,8,0.08083922497898484,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,9,0.06289728406311251,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,10,0.043764038864789974,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,11,0.05271089181476731,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,12,0.060244434915232965,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,13,0.05271089181476731,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,14,0.05129758196525563,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,15,0.060244434915232965,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,16,0.060244434915232965,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
100,0.01,0.1,2,1,17,0.0691912878652103,0.04376403886479002,"[-0.12837431, -0.05913569]",0,0,0
