step,fitness,genome
0,10.953633295338479,[2.75747826 3.29985387]
0,9.475836828733588,[-2.99948422 -2.27958665]
0,10.163726197505728,[ 1.94782365 -3.73490057]
0,5.948472200511599,[ 0.49447066 -1.35081782]
0,5.599708832454386,[1.86297077 0.9956618 ]
0,9.731894916407803,[ 3.71671429 -0.89538565]
0,7.746930524768288,[ 0.39531884 -2.29557047]
0,9.084512404512308,[-2.58135169  1.85231369]
0,8.623156224032984,[-2.47320011 -1.26133826]
0,9.084512404512308,[-2.58135169  1.85231369]
0,6.281736188886121,[1.48503488 1.05249102]
0,10.194334011075433,[ 0.04344941 -4.94160349]
0,9.666821709593624,[ 3.27163377 -2.06473715]
0,9.793431746297939,[-3.33196347  1.23322838]
0,11.935113769356834,[-3.84288262  4.14476333]
0,9.81202601390691,[ 2.7156056  -2.28688151]
0,10.320337266064591,[-3.81241655  0.60198084]
0,9.82649120377316,[3.58299959 0.97806972]
0,6.304263705937938,[1.71771705 0.82679329]
0,4.687424918265734,[1.0171122  0.61079805]
0,8.850455218532279,[1.3180151  3.02766133]
0,9.084512404512308,[-2.58135169  1.85231369]
0,8.850455218532279,[1.3180151  3.02766133]
0,9.81202601390691,[ 2.7156056  -2.28688151]
0,7.302581898810267,[-2.06239392  1.79602645]
0,9.475836828733588,[-2.99948422 -2.27958665]
0,11.445249449378183,[-2.470766    3.82669152]
0,9.599646280136517,[0.56514877 3.26552152]
0,8.436793175899886,[1.15498592 2.55375701]
0,12.6152442472404,[-2.41907447  4.79726887]
0,10.320337266064591,[-3.81241655  0.60198084]
0,6.304263705937938,[1.71771705 0.82679329]
0,6.2970815611775315,[-0.84880353  1.69149783]
0,9.731894916407803,[ 3.71671429 -0.89538565]
0,10.778928079514495,[-1.50828758 -3.57818029]
0,10.715316611231398,[-1.44114648  3.81940954]
0,9.666821709593624,[ 3.27163377 -2.06473715]
0,5.948472200511599,[ 0.49447066 -1.35081782]
0,9.666821709593624,[ 3.27163377 -2.06473715]
0,10.778928079514495,[-1.50828758 -3.57818029]
0,9.731894916407803,[ 3.71671429 -0.89538565]
0,11.381337704209855,[ 2.63316136 -4.00220785]
0,6.08669089077129,[1.18884941 1.29817957]
0,6.706908762317084,[-1.55829717  1.16108558]
0,10.261427917933565,[0.58150161 3.52834351]
0,9.793431746297939,[-3.33196347  1.23322838]
0,5.690334216630763,[ 0.19768037 -1.97726382]
0,9.793431746297939,[-3.33196347  1.23322838]
0,10.320337266064591,[-3.81241655  0.60198084]
0,11.935113769356834,[-3.84288262  4.14476333]
0,9.527410886972442,[-2.23571024 -2.76438612]
0,8.728637073435063,[-3.06515936  0.63792941]
0,10.953633295338479,[2.75747826 3.29985387]
0,10.266675995872003,[-2.76807382 -2.49309625]
0,9.731894916407803,[ 3.71671429 -0.89538565]
0,4.5830446662628646,[-1.03263384  0.68982908]
0,8.728637073435063,[-3.06515936  0.63792941]
0,6.304263705937938,[1.71771705 0.82679329]
0,9.599646280136517,[0.56514877 3.26552152]
0,12.562277842048779,[-3.32897158 -4.23682774]
0,9.292088645906901,[-2.08585008 -3.20279023]
0,10.715316611231398,[-1.44114648  3.81940954]
0,8.27964169674937,[-2.27512532 -2.05671596]
0,9.09199082054439,[ 3.99888587 -1.09373581]
0,11.381337704209855,[ 2.63316136 -4.00220785]
0,10.266675995872003,[-2.76807382 -2.49309625]
0,4.5830446662628646,[-1.03263384  0.68982908]
0,10.314195054192894,[0.61938143 3.58808164]
0,5.948472200511599,[ 0.49447066 -1.35081782]
0,6.962515386890525,[1.99127142 1.83360015]
0,6.962515386890525,[1.99127142 1.83360015]
0,6.962515386890525,[1.99127142 1.83360015]
0,6.962515386890525,[1.99127142 1.83360015]
0,11.217810139256219,[ 2.58041723 -3.34149653]
0,9.9173697296584,[0.72031288 3.95307702]
0,11.816656652855096,[4.78070042 1.771255  ]
0,5.599708832454386,[1.86297077 0.9956618 ]
0,9.292088645906901,[-2.08585008 -3.20279023]
0,12.429317570115522,[-4.58314223  2.99577301]
0,4.687424918265734,[1.0171122  0.61079805]
0,10.163726197505728,[ 1.94782365 -3.73490057]
0,3.5509128883367005,[-1.14707463  0.05417132]
0,9.527410886972442,[-2.23571024 -2.76438612]
0,8.640162929882534,[1.88435518 2.36673273]
0,9.793431746297939,[-3.33196347  1.23322838]
0,11.923500523755537,[4.63094027 0.57775247]
0,6.2970815611775315,[-0.84880353  1.69149783]
0,8.640162929882534,[1.88435518 2.36673273]
0,4.687424918265734,[1.0171122  0.61079805]
0,7.033853747756083,[ 1.77940276 -1.27602089]
0,13.187827862906182,[-4.6686649   4.08191853]
0,7.302581898810267,[-2.06239392  1.79602645]
0,11.217810139256219,[ 2.58041723 -3.34149653]
0,8.587262519603797,[-0.63961639  2.70067592]
0,8.850455218532279,[1.3180151  3.02766133]
0,6.962515386890525,[1.99127142 1.83360015]
0,10.163726197505728,[ 1.94782365 -3.73490057]
0,12.738882941542714,[-4.72000692  2.64891981]
0,11.412396892833346,[0.29654817 4.96971099]
0,8.623156224032984,[-2.47320011 -1.26133826]
step,fitness,genome
1,8.27964169674937,[-2.27512532 -2.05671596]
1,7.746930524768288,[ 0.39531884 -2.29557047]
1,6.2970815611775315,[-0.84880353  1.69149783]
1,5.599708832454386,[1.86297077 0.9956618 ]
1,8.623156224032984,[-2.47320011 -1.26133826]
1,9.527410886972442,[-2.23571024 -2.76438612]
1,7.302581898810267,[-2.06239392  1.79602645]
1,7.302581898810267,[-2.06239392  1.79602645]
1,5.948472200511599,[ 0.49447066 -1.35081782]
1,8.850455218532279,[1.3180151  3.02766133]
1,8.850455218532279,[1.3180151  3.02766133]
1,5.690334216630763,[ 0.19768037 -1.97726382]
1,9.666821709593624,[ 3.27163377 -2.06473715]
1,5.948472200511599,[ 0.49447066 -1.35081782]
1,8.640162929882534,[1.88435518 2.36673273]
1,9.731894916407803,[ 3.71671429 -0.89538565]
1,5.599708832454386,[1.86297077 0.9956618 ]
1,6.304263705937938,[1.71771705 0.82679329]
1,9.793431746297939,[-3.33196347  1.23322838]
1,9.599646280136517,[0.56514877 3.26552152]
1,8.728637073435063,[-3.06515936  0.63792941]
1,11.923500523755537,[4.63094027 0.57775247]
1,9.81202601390691,[ 2.7156056  -2.28688151]
1,5.599708832454386,[1.86297077 0.9956618 ]
1,10.163726197505728,[ 1.94782365 -3.73490057]
1,6.304263705937938,[1.71771705 0.82679329]
1,5.599708832454386,[1.86297077 0.9956618 ]
1,4.5830446662628646,[-1.03263384  0.68982908]
1,8.850455218532279,[1.3180151  3.02766133]
1,8.850455218532279,[1.3180151  3.02766133]
1,4.687424918265734,[1.0171122  0.61079805]
1,9.9173697296584,[0.72031288 3.95307702]
1,7.033853747756083,[ 1.77940276 -1.27602089]
1,6.962515386890525,[1.99127142 1.83360015]
1,7.033853747756083,[ 1.77940276 -1.27602089]
1,6.706908762317084,[-1.55829717  1.16108558]
1,9.599646280136517,[0.56514877 3.26552152]
1,8.728637073435063,[-3.06515936  0.63792941]
1,9.599646280136517,[0.56514877 3.26552152]
1,9.81202601390691,[ 2.7156056  -2.28688151]
1,10.778928079514495,[-1.50828758 -3.57818029]
1,9.81202601390691,[ 2.7156056  -2.28688151]
1,9.599646280136517,[0.56514877 3.26552152]
1,6.2970815611775315,[-0.84880353  1.69149783]
1,9.82649120377316,[3.58299959 0.97806972]
1,8.436793175899886,[1.15498592 2.55375701]
1,7.033853747756083,[ 1.77940276 -1.27602089]
1,7.302581898810267,[-2.06239392  1.79602645]
1,8.623156224032984,[-2.47320011 -1.26133826]
1,9.793431746297939,[-3.33196347  1.23322838]
1,6.281736188886121,[1.48503488 1.05249102]
1,8.850455218532279,[1.3180151  3.02766133]
1,9.09199082054439,[ 3.99888587 -1.09373581]
1,5.599708832454386,[1.86297077 0.9956618 ]
1,8.27964169674937,[-2.27512532 -2.05671596]
1,8.728637073435063,[-3.06515936  0.63792941]
1,5.690334216630763,[ 0.19768037 -1.97726382]
1,4.5830446662628646,[-1.03263384  0.68982908]
