step,fitness,genome
0,3.3992947489198535,[0.27243225 0.39405215]
0,8.24793711721083,[-2.98725959  1.87056977]
0,0.6602333871543493,[0.03436453 0.11190739]
0,7.551651187063989,[-2.33059908  0.24082612]
0,7.20348813510609,[ 0.1414726  -2.31806461]
0,3.0682983349151307,[1.03436453 0.11190739]
0,5.72895189940996,[0.27243225 1.39405215]
0,7.6141300713436735,[-0.22663188  2.35511261]
0,8.954009457643808,[-1.69073741  2.39863945]
0,10.30784969985883,[ 1.74143517 -3.3626367 ]
0,9.638114401501738,[-2.3946605   2.30099351]
0,4.683121940590102,[1.02099208 1.18473395]
0,3.3992947489198535,[0.27243225 0.39405215]
0,5.90919926821687,[0.17504395 1.72350171]
0,5.853146405050701,[-0.56665427  1.31165256]
0,7.837501119948756,[ 2.88363731 -0.21981163]
0,5.853146405050701,[-0.56665427  1.31165256]
0,5.853146405050701,[-0.56665427  1.31165256]
0,9.98598808370997,[-3.7288138  -1.16105407]
0,7.258922675754787,[-1.04278611  2.95868864]
0,5.877004415843512,[ 1.31768579 -0.61340451]
0,9.061166702060987,[1.74055309 2.46055437]
0,5.90919926821687,[0.17504395 1.72350171]
0,5.853146405050701,[-0.56665427  1.31165256]
0,7.20348813510609,[ 0.1414726  -2.31806461]
0,5.90919926821687,[0.17504395 1.72350171]
0,7.997103526545212,[-2.4705245  -0.91660516]
0,7.510898579463667,[-2.92105915  0.87559131]
0,7.551651187063989,[-2.33059908  0.24082612]
0,5.877004415843512,[ 1.31768579 -0.61340451]
0,6.333148879579078,[1.47283679 0.65750661]
0,10.300000747986333,[-2.66278823 -2.75660739]
0,4.683121940590102,[1.02099208 1.18473395]
0,7.510898579463667,[-2.92105915  0.87559131]
0,10.23018451219394,[-4.04730768 -1.78298353]
0,7.510898579463667,[-2.92105915  0.87559131]
0,5.877004415843512,[ 1.31768579 -0.61340451]
0,5.853146405050701,[-0.56665427  1.31165256]
0,5.90919926821687,[0.17504395 1.72350171]
0,5.877004415843512,[ 1.31768579 -0.61340451]
0,7.997103526545212,[-2.4705245  -0.91660516]
0,5.877004415843512,[ 1.31768579 -0.61340451]
0,5.853146405050701,[-0.56665427  1.31165256]
0,5.479585665013474,[-1.04278611  1.95868864]
0,3.5617685141030826,[0.17504395 0.72350171]
0,3.3992947489198535,[0.27243225 0.39405215]
0,7.510898579463667,[-2.92105915  0.87559131]
0,7.463711934928458,[ 0.7411472  -2.25495552]
0,10.056948669589822,[-4.09930486 -1.86368282]
0,8.11036743325189,[-2.52427069  0.90268992]
step,fitness,genome
1,7.20348813510609,[ 0.1414726  -2.31806461]
1,5.853146405050701,[-0.56665427  1.31165256]
1,3.3992947489198535,[0.27243225 0.39405215]
1,5.877004415843512,[ 1.31768579 -0.61340451]
1,4.683121940590102,[1.02099208 1.18473395]
1,3.5617685141030826,[0.17504395 0.72350171]
1,5.877004415843512,[ 1.31768579 -0.61340451]
1,5.72895189940996,[0.27243225 1.39405215]
1,5.877004415843512,[ 1.31768579 -0.61340451]
1,4.197265581699121,[1.03436453 1.11190739]
1,3.3992947489198535,[0.27243225 0.39405215]
1,3.3992947489198535,[0.27243225 0.39405215]
1,4.683121940590102,[1.02099208 1.18473395]
1,5.90919926821687,[0.17504395 1.72350171]
1,5.877004415843512,[ 1.31768579 -0.61340451]
1,3.3992947489198535,[0.27243225 0.39405215]
1,0.6602333871543493,[0.03436453 0.11190739]
1,3.648137551063872,[0.43334573 0.31165256]
1,5.72895189940996,[0.27243225 1.39405215]
1,5.853146405050701,[-0.56665427  1.31165256]
1,7.20348813510609,[ 0.1414726  -2.31806461]
1,5.72895189940996,[0.27243225 1.39405215]
1,5.691171106827596,[1.31768579 0.38659549]
1,5.90919926821687,[0.17504395 1.72350171]
1,3.3992947489198535,[0.27243225 0.39405215]
1,3.3992947489198535,[0.27243225 0.39405215]
1,3.3992947489198535,[0.27243225 0.39405215]
1,8.263517596099147,[-2.92105915  1.87559131]
1,4.683121940590102,[1.02099208 1.18473395]
1,3.3992947489198535,[0.27243225 0.39405215]
1,5.853146405050701,[-0.56665427  1.31165256]
1,3.0682983349151307,[1.03436453 0.11190739]
1,0.6602333871543493,[0.03436453 0.11190739]
1,3.0682983349151307,[1.03436453 0.11190739]
1,5.853146405050701,[-0.56665427  1.31165256]
1,3.5617685141030826,[0.17504395 0.72350171]
1,5.853146405050701,[-0.56665427  1.31165256]
1,5.853146405050701,[-0.56665427  1.31165256]
1,3.3992947489198535,[0.27243225 0.39405215]
1,3.0682983349151307,[1.03436453 0.11190739]
1,0.6602333871543493,[0.03436453 0.11190739]
1,3.0682983349151307,[1.03436453 0.11190739]
1,3.0682983349151307,[1.03436453 0.11190739]
1,3.3992947489198535,[0.27243225 0.39405215]
1,5.853146405050701,[-0.56665427  1.31165256]
1,3.5617685141030826,[0.17504395 0.72350171]
1,3.5617685141030826,[0.17504395 0.72350171]
1,7.258922675754787,[-1.04278611  2.95868864]
1,3.3992947489198535,[0.27243225 0.39405215]
1,5.853146405050701,[-0.56665427  1.31165256]
step,fitness,genome
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.3992947489198535,[0.27243225 0.39405215]
2,0.6602333871543493,[0.03436453 0.11190739]
2,4.197265581699121,[1.03436453 1.11190739]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.0682983349151307,[1.03436453 0.11190739]
2,0.6602333871543493,[0.03436453 0.11190739]
2,3.941968906860353,[-0.56665427  0.31165256]
2,3.5617685141030826,[0.17504395 0.72350171]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.0682983349151307,[1.03436453 0.11190739]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.0682983349151307,[1.03436453 0.11190739]
2,3.3992947489198535,[0.27243225 0.39405215]
2,0.6602333871543493,[0.03436453 0.11190739]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.0682983349151307,[1.03436453 0.11190739]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.0682983349151307,[1.03436453 0.11190739]
2,3.0682983349151307,[1.03436453 0.11190739]
2,0.6602333871543493,[0.03436453 0.11190739]
2,4.683121940590102,[1.02099208 1.18473395]
2,0.6602333871543493,[0.03436453 0.11190739]
2,3.0682983349151307,[1.03436453 0.11190739]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.0682983349151307,[1.03436453 0.11190739]
2,0.6602333871543493,[0.03436453 0.11190739]
2,0.6602333871543493,[0.03436453 0.11190739]
2,3.0682983349151307,[1.03436453 0.11190739]
2,0.6602333871543493,[0.03436453 0.11190739]
2,0.6602333871543493,[0.03436453 0.11190739]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.3992947489198535,[0.27243225 0.39405215]
2,0.6602333871543493,[0.03436453 0.11190739]
2,3.3992947489198535,[0.27243225 0.39405215]
2,0.6602333871543493,[0.03436453 0.11190739]
2,3.3992947489198535,[0.27243225 0.39405215]
2,3.0682983349151307,[1.03436453 0.11190739]
2,3.3992947489198535,[0.27243225 0.39405215]
2,0.6602333871543493,[0.03436453 0.11190739]
2,3.5617685141030826,[0.17504395 0.72350171]
2,3.5617685141030826,[0.17504395 0.72350171]
2,3.0682983349151307,[1.03436453 0.11190739]
2,0.6602333871543493,[0.03436453 0.11190739]
step,fitness,genome
3,3.0682983349151307,[1.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,3.0682983349151307,[1.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,3.0682983349151307,[1.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,3.243281026392342,[0.03436453 1.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,3.0682983349151307,[1.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
3,0.6602333871543493,[0.03436453 0.11190739]
