step,fitness,genome
0,8.073074573285675,[2.9653402  1.91477544]
0,9.122205987750512,[-3.20700292  2.00710433]
0,7.78014195177664,[1.13970361 2.90159116]
0,10.449788583967635,[1.28597238 3.56336211]
0,3.2497945063784854,[-0.60921119  0.005262  ]
0,8.150333649157963,[ 0.89450359 -2.55161333]
0,4.922282042956173,[ 0.29310258 -1.20359382]
0,11.088729331706475,[-2.5142944  -3.30510475]
0,10.546397822023616,[-1.39450215 -3.48508424]
0,10.308978139877178,[-3.17176649  2.78111993]
0,8.782417042229827,[1.28220825 2.75798933]
0,7.53179049269057,[-0.43148136 -2.22871491]
0,10.175659905947937,[-3.92082997 -1.28659227]
0,6.575596139877039,[ 1.9981887  -1.98139635]
0,10.204370549080785,[ 4.00267266 -2.18361696]
0,8.30394399563499,[ 0.30962075 -2.55797437]
0,8.532416334932794,[-2.5142944  -1.20359382]
0,10.067676007810983,[-1.15210692 -3.66470737]
0,9.470543372719213,[ 0.29310258 -3.30510475]
0,10.067676007810983,[-1.15210692 -3.66470737]
0,8.30394399563499,[ 0.30962075 -2.55797437]
0,4.423894067661518,[0.9887784  0.71104867]
0,3.455709359887422,[-0.13041388 -0.66414238]
0,10.175659905947937,[-3.92082997 -1.28659227]
0,10.164505347162114,[-0.30015563 -3.64546003]
0,8.603139037536156,[0.51641429 2.63808598]
0,11.050521939632292,[-3.5405403   2.24967135]
0,9.30891760747828,[-1.61147515  2.64240894]
0,5.947851258509321,[-1.05431535  1.80277091]
0,9.78314037321676,[-0.18514035  4.11659612]
0,10.308978139877178,[-3.17176649  2.78111993]
0,4.423894067661518,[0.9887784  0.71104867]
0,10.70745329480104,[-1.70456264  4.0905006 ]
0,9.699407729527037,[-1.04614453  3.70916744]
0,4.423894067661518,[0.9887784  0.71104867]
0,6.4900053593568465,[1.66311959 0.39269914]
0,8.603139037536156,[0.51641429 2.63808598]
0,9.23646759313224,[ 2.84936987 -1.52215185]
0,4.423894067661518,[0.9887784  0.71104867]
0,5.947851258509321,[-1.05431535  1.80277091]
0,8.379945262657802,[0.34916471 2.56687031]
0,8.33136488791799,[-2.7816667  -1.18520485]
0,3.455709359887422,[-0.13041388 -0.66414238]
0,5.757489791187741,[ 0.95471667 -2.08236983]
0,10.295494612556068,[4.99644069 0.07938024]
0,8.782417042229827,[1.28220825 2.75798933]
0,8.532416334932794,[-2.5142944  -1.20359382]
0,9.99702732547838,[-0.30911418  3.86699343]
0,8.958336805806615,[ 2.78380466 -2.12728584]
0,7.78014195177664,[1.13970361 2.90159116]
0,9.23646759313224,[ 2.84936987 -1.52215185]
0,5.757489791187741,[ 0.95471667 -2.08236983]
0,7.135962469592492,[ 1.2749215  -1.63110734]
0,8.881367395862052,[3.16028506 0.72042834]
0,8.881367395862052,[3.16028506 0.72042834]
0,10.204370549080785,[ 4.00267266 -2.18361696]
0,8.073074573285675,[2.9653402  1.91477544]
0,8.532119290120805,[2.85054133 1.25727592]
0,8.30394399563499,[ 0.30962075 -2.55797437]
0,6.4900053593568465,[1.66311959 0.39269914]
0,10.442872759099176,[4.27497515 0.99510794]
0,8.33136488791799,[-2.7816667  -1.18520485]
0,10.442872759099176,[4.27497515 0.99510794]
0,8.33136488791799,[-2.7816667  -1.18520485]
0,8.77268258813535,[-0.22904743 -3.20109607]
0,11.64329549100847,[-4.64725154 -1.17752338]
0,6.4900053593568465,[1.66311959 0.39269914]
0,8.782417042229827,[1.28220825 2.75798933]
0,8.073074573285675,[2.9653402  1.91477544]
0,7.78014195177664,[1.13970361 2.90159116]
0,9.78314037321676,[-0.18514035  4.11659612]
0,6.575596139877039,[ 1.9981887  -1.98139635]
0,11.77395680281235,[-0.60795223 -4.86934936]
0,7.135962469592492,[ 1.2749215  -1.63110734]
0,10.067676007810983,[-1.15210692 -3.66470737]
step,fitness,genome
1,4.423894067661518,[0.9887784  0.71104867]
1,5.947851258509321,[-1.05431535  1.80277091]
1,6.575596139877039,[ 1.9981887  -1.98139635]
1,3.455709359887422,[-0.13041388 -0.66414238]
1,8.117479683718884,[ 2.9653402  -1.20359382]
1,8.992428877761826,[-2.5142944   1.91477544]
1,8.379945262657802,[0.34916471 2.56687031]
1,10.067676007810983,[-1.15210692 -3.66470737]
1,8.073074573285675,[2.9653402  1.91477544]
1,7.53179049269057,[-0.43148136 -2.22871491]
1,7.53179049269057,[-0.43148136 -2.22871491]
1,9.23646759313224,[ 2.84936987 -1.52215185]
1,8.073074573285675,[2.9653402  1.91477544]
1,6.4900053593568465,[1.66311959 0.39269914]
1,5.757489791187741,[ 0.95471667 -2.08236983]
1,8.77268258813535,[-0.22904743 -3.20109607]
