step,fitness,genome
0,1.0283393460881316,[ 2.15865145 -0.10916243]
0,18.44657959902915,[-1.79581757  0.91541348]
0,3.104906840147507,[ 1.35924219 -0.53659042]
0,12.1552303239842,[ 0.14936078 -0.70147044]
0,45.29162435404052,[-3.72143663  0.73735598]
0,3.9289307552521455,[ 1.09545297 -0.43223988]
0,3.104906840147507,[ 1.35924219 -0.53659042]
0,7.3472389340186695,[-0.58202082  1.38400778]
0,1.3692496325356491,[3.05512695 0.22006778]
0,7.3472389340186695,[-0.58202082  1.38400778]
0,1.3692496325356491,[3.05512695 0.22006778]
0,4.090554156060008,[-1.61426158  1.25302928]
0,1.3692496325356491,[3.05512695 0.22006778]
0,3.9289307552521455,[ 1.09545297 -0.43223988]
0,12.1552303239842,[ 0.14936078 -0.70147044]
0,45.29162435404052,[-3.72143663  0.73735598]
0,7.931969009053862,[0.60810751 0.21703014]
0,15.601639395442959,[-0.10965968  0.08872993]
0,3.104906840147507,[ 1.35924219 -0.53659042]
0,7.931969009053862,[0.60810751 0.21703014]
0,3.104906840147507,[ 1.35924219 -0.53659042]
0,1.3692496325356491,[3.05512695 0.22006778]
0,1.0283393460881316,[ 2.15865145 -0.10916243]
0,3.9289307552521455,[ 1.09545297 -0.43223988]
0,1.3692496325356491,[3.05512695 0.22006778]
step,fitness,genome
1,1.3692496325356491,[3.05512695 0.22006778]
1,3.9289307552521455,[ 1.09545297 -0.43223988]
1,3.104906840147507,[ 1.35924219 -0.53659042]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.0283393460881316,[ 2.15865145 -0.10916243]
1,1.0283393460881316,[ 2.15865145 -0.10916243]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.3692496325356491,[3.05512695 0.22006778]
1,3.104906840147507,[ 1.35924219 -0.53659042]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.0283393460881316,[ 2.15865145 -0.10916243]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.0283393460881316,[ 2.15865145 -0.10916243]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.0283393460881316,[ 2.15865145 -0.10916243]
1,7.931969009053862,[0.60810751 0.21703014]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.0283393460881316,[ 2.15865145 -0.10916243]
1,3.104906840147507,[ 1.35924219 -0.53659042]
1,1.3692496325356491,[3.05512695 0.22006778]
1,1.0283393460881316,[ 2.15865145 -0.10916243]
step,fitness,genome
