step,fitness,genome
0,160.26641786494164,[-6.52729859  5.60780857]
0,226.0750491232601,[ 7.08183208 -7.51339312]
0,136.02073303548497,[ 6.62214131 -5.47579001]
0,1418.5668640439653,[-8.03859539 -5.71599606]
0,128.85195330022995,[ 0.66716642 -1.8062582 ]
0,732.3248018663057,[-9.97781403  1.62939467]
0,125.32632923557478,[ 8.59519212 -5.14930739]
0,673.8733124670921,[-2.94361388 -5.21066695]
0,392.68865966908027,[4.59578063 8.7189012 ]
0,136.02073303548497,[ 6.62214131 -5.47579001]
0,217.88047259159802,[1.41594359 9.26374506]
0,217.88047259159802,[1.41594359 9.26374506]
0,139.14012628376415,[ 4.23429196 -4.49275652]
0,144.57606068373042,[ 7.98651009 -5.95716528]
0,145.04793188218315,[ 0.91003421 -2.31381168]
0,128.85195330022995,[ 0.66716642 -1.8062582 ]
0,44.101047925716905,[ 3.00308053 -1.31830135]
0,102.38366049242474,[-6.10298645  7.16125073]
0,329.40359242749145,[-4.45672353 -0.06169456]
0,207.91142317611423,[ 6.52306061 -6.95024505]
0,65.9475991715572,[-3.55017708  9.03514473]
0,27.734416425105156,[-2.91965706  6.00944358]
0,41.99832201099897,[-2.05269632  3.19608478]
0,277.020346837903,[-1.29224469 -2.48142746]
0,125.32632923557478,[ 8.59519212 -5.14930739]
0,702.0815311160244,[-4.07122577 -4.39544564]
0,100.59868335313868,[-6.35354714  9.69083566]
0,49.647887281154965,[-0.10213529  6.96266339]
0,19.72681136847133,[3.02845509 2.94697969]
0,141.15488984061676,[-6.69307517  6.52292979]
0,263.4646950872308,[ 3.00528593 -5.76281221]
0,277.020346837903,[-1.29224469 -2.48142746]
0,284.26172282305924,[-8.46583621  5.61327338]
0,315.8493177500224,[5.70363598 6.66710835]
0,353.1751894437705,[-3.63830524 -1.21968006]
0,102.38366049242474,[-6.10298645  7.16125073]
0,76.69687818880516,[-5.43508823  8.8050682 ]
0,329.40359242749145,[-4.45672353 -0.06169456]
0,115.62076942016148,[ 6.505352   -4.89898469]
0,40.67802693239349,[0.80114015 6.00888947]
0,425.616739746187,[ 6.38818996 -9.9518259 ]
0,144.57606068373042,[ 7.98651009 -5.95716528]
0,426.0988452836823,[9.15293706 4.30647091]
0,54.86284590317951,[ 6.48352325 -1.00247582]
0,142.22670616819542,[ 9.43425299 -2.0633131 ]
0,684.6560013278236,[-8.2047757   0.04736973]
0,27.782176122140044,[-2.33305471  4.41860408]
0,65.9475991715572,[-3.55017708  9.03514473]
0,49.647887281154965,[-0.10213529  6.96266339]
0,41.99832201099897,[-2.05269632  3.19608478]
0,255.57952838728542,[ 5.68450168 -7.32147885]
0,375.96450207488306,[-1.80089259 -3.26626545]
0,93.39910800198385,[ 7.47675935 -4.07307167]
0,125.32632923557478,[ 8.59519212 -5.14930739]
0,128.85195330022995,[ 0.66716642 -1.8062582 ]
0,277.020346837903,[-1.29224469 -2.48142746]
0,48.1486472077023,[0.45151152 6.52447178]
0,27.734416425105156,[-2.91965706  6.00944358]
0,49.647887281154965,[-0.10213529  6.96266339]
0,732.3668806641442,[-4.22244545 -4.51198628]
0,145.04793188218315,[ 0.91003421 -2.31381168]
0,27.734416425105156,[-2.91965706  6.00944358]
0,554.7116259199867,[-4.28028006 -2.82092585]
0,212.21857665146598,[3.52236515 7.3187693 ]
0,100.59868335313868,[-6.35354714  9.69083566]
0,76.79544776156459,[ 2.18106223 -1.79931767]
0,19.72681136847133,[3.02845509 2.94697969]
0,113.32670952057033,[4.3874632  4.59518628]
0,425.616739746187,[ 6.38818996 -9.9518259 ]
0,42.912765212028134,[2.3165201  4.76788157]
0,315.8493177500224,[5.70363598 6.66710835]
0,27.734416425105156,[-2.91965706  6.00944358]
0,286.25788565446845,[2.98629409 8.88299565]
0,65.9475991715572,[-3.55017708  9.03514473]
0,212.21857665146598,[3.52236515 7.3187693 ]
0,42.55399709100263,[3.177097   3.86686394]
0,329.40359242749145,[-4.45672353 -0.06169456]
0,76.79544776156459,[ 2.18106223 -1.79931767]
0,12.284658137776624,[-1.33938243  5.56918494]
0,76.69687818880516,[-5.43508823  8.8050682 ]
0,503.09824820113096,[ 3.9959311  -9.26530265]
0,1027.1630166152656,[-1.90995511 -8.89821535]
0,212.21857665146598,[3.52236515 7.3187693 ]
0,142.22670616819542,[ 9.43425299 -2.0633131 ]
0,554.7116259199867,[-4.28028006 -2.82092585]
0,65.9475991715572,[-3.55017708  9.03514473]
0,284.2755987605425,[-1.244835   -2.62309267]
0,329.40359242749145,[-4.45672353 -0.06169456]
0,100.59868335313868,[-6.35354714  9.69083566]
0,480.90181842570496,[ 2.70934184 -8.12085739]
0,30.53358564903792,[-2.10019047  7.10701807]
0,100.59868335313868,[-6.35354714  9.69083566]
0,355.4695642757442,[3.93898299 8.89407706]
0,323.2859171358642,[6.1509069  6.30259721]
0,30.53358564903792,[-2.10019047  7.10701807]
0,27.782176122140044,[-2.33305471  4.41860408]
0,19.72681136847133,[3.02845509 2.94697969]
0,76.69687818880516,[-5.43508823  8.8050682 ]
0,503.09824820113096,[ 3.9959311  -9.26530265]
0,44.101047925716905,[ 3.00308053 -1.31830135]
step,fitness,genome
1,27.782176122140044,[-2.33305471  4.41860408]
1,207.91142317611423,[ 6.52306061 -6.95024505]
1,263.4646950872308,[ 3.00528593 -5.76281221]
1,27.782176122140044,[-2.33305471  4.41860408]
1,554.7116259199867,[-4.28028006 -2.82092585]
1,102.38366049242474,[-6.10298645  7.16125073]
1,141.15488984061676,[-6.69307517  6.52292979]
1,145.04793188218315,[ 0.91003421 -2.31381168]
1,19.72681136847133,[3.02845509 2.94697969]
1,673.8733124670921,[-2.94361388 -5.21066695]
1,27.734416425105156,[-2.91965706  6.00944358]
1,145.04793188218315,[ 0.91003421 -2.31381168]
1,42.912765212028134,[2.3165201  4.76788157]
1,54.86284590317951,[ 6.48352325 -1.00247582]
1,136.02073303548497,[ 6.62214131 -5.47579001]
1,54.86284590317951,[ 6.48352325 -1.00247582]
1,49.647887281154965,[-0.10213529  6.96266339]
1,115.62076942016148,[ 6.505352   -4.89898469]
1,41.99832201099897,[-2.05269632  3.19608478]
1,19.72681136847133,[3.02845509 2.94697969]
1,128.85195330022995,[ 0.66716642 -1.8062582 ]
1,207.91142317611423,[ 6.52306061 -6.95024505]
1,27.782176122140044,[-2.33305471  4.41860408]
1,19.72681136847133,[3.02845509 2.94697969]
1,277.020346837903,[-1.29224469 -2.48142746]
1,128.85195330022995,[ 0.66716642 -1.8062582 ]
1,100.59868335313868,[-6.35354714  9.69083566]
1,27.782176122140044,[-2.33305471  4.41860408]
1,27.782176122140044,[-2.33305471  4.41860408]
1,65.9475991715572,[-3.55017708  9.03514473]
1,27.734416425105156,[-2.91965706  6.00944358]
1,329.40359242749145,[-4.45672353 -0.06169456]
1,65.9475991715572,[-3.55017708  9.03514473]
1,76.69687818880516,[-5.43508823  8.8050682 ]
1,286.25788565446845,[2.98629409 8.88299565]
1,76.69687818880516,[-5.43508823  8.8050682 ]
1,255.57952838728542,[ 5.68450168 -7.32147885]
1,27.782176122140044,[-2.33305471  4.41860408]
1,128.85195330022995,[ 0.66716642 -1.8062582 ]
1,392.68865966908027,[4.59578063 8.7189012 ]
1,76.69687818880516,[-5.43508823  8.8050682 ]
1,19.72681136847133,[3.02845509 2.94697969]
1,144.57606068373042,[ 7.98651009 -5.95716528]
1,54.86284590317951,[ 6.48352325 -1.00247582]
1,19.72681136847133,[3.02845509 2.94697969]
1,41.99832201099897,[-2.05269632  3.19608478]
1,142.22670616819542,[ 9.43425299 -2.0633131 ]
1,212.21857665146598,[3.52236515 7.3187693 ]
1,136.02073303548497,[ 6.62214131 -5.47579001]
1,142.22670616819542,[ 9.43425299 -2.0633131 ]
1,49.647887281154965,[-0.10213529  6.96266339]
1,27.734416425105156,[-2.91965706  6.00944358]
1,12.284658137776624,[-1.33938243  5.56918494]
1,145.04793188218315,[ 0.91003421 -2.31381168]
1,44.101047925716905,[ 3.00308053 -1.31830135]
1,65.9475991715572,[-3.55017708  9.03514473]
1,30.53358564903792,[-2.10019047  7.10701807]
1,65.9475991715572,[-3.55017708  9.03514473]
1,27.782176122140044,[-2.33305471  4.41860408]
1,315.8493177500224,[5.70363598 6.66710835]
1,125.32632923557478,[ 8.59519212 -5.14930739]
1,286.25788565446845,[2.98629409 8.88299565]
1,42.912765212028134,[2.3165201  4.76788157]
1,100.59868335313868,[-6.35354714  9.69083566]
1,329.40359242749145,[-4.45672353 -0.06169456]
1,100.59868335313868,[-6.35354714  9.69083566]
1,65.9475991715572,[-3.55017708  9.03514473]
1,42.912765212028134,[2.3165201  4.76788157]
1,49.647887281154965,[-0.10213529  6.96266339]
1,76.69687818880516,[-5.43508823  8.8050682 ]
1,125.32632923557478,[ 8.59519212 -5.14930739]
1,76.79544776156459,[ 2.18106223 -1.79931767]
1,76.69687818880516,[-5.43508823  8.8050682 ]
1,139.14012628376415,[ 4.23429196 -4.49275652]
1,65.9475991715572,[-3.55017708  9.03514473]
1,27.734416425105156,[-2.91965706  6.00944358]
1,125.32632923557478,[ 8.59519212 -5.14930739]
1,141.15488984061676,[-6.69307517  6.52292979]
1,145.04793188218315,[ 0.91003421 -2.31381168]
1,375.96450207488306,[-1.80089259 -3.26626545]
1,93.39910800198385,[ 7.47675935 -4.07307167]
1,27.782176122140044,[-2.33305471  4.41860408]
1,30.53358564903792,[-2.10019047  7.10701807]
1,212.21857665146598,[3.52236515 7.3187693 ]
1,212.21857665146598,[3.52236515 7.3187693 ]
1,65.9475991715572,[-3.55017708  9.03514473]
1,226.0750491232601,[ 7.08183208 -7.51339312]
1,100.59868335313868,[-6.35354714  9.69083566]
1,128.85195330022995,[ 0.66716642 -1.8062582 ]
1,27.734416425105156,[-2.91965706  6.00944358]
1,93.39910800198385,[ 7.47675935 -4.07307167]
1,27.782176122140044,[-2.33305471  4.41860408]
1,65.9475991715572,[-3.55017708  9.03514473]
1,42.912765212028134,[2.3165201  4.76788157]
1,42.912765212028134,[2.3165201  4.76788157]
1,44.101047925716905,[ 3.00308053 -1.31830135]
1,27.782176122140044,[-2.33305471  4.41860408]
1,65.9475991715572,[-3.55017708  9.03514473]
1,27.734416425105156,[-2.91965706  6.00944358]
1,48.1486472077023,[0.45151152 6.52447178]
step,fitness,genome
2,48.1486472077023,[0.45151152 6.52447178]
2,27.782176122140044,[-2.33305471  4.41860408]
2,76.69687818880516,[-5.43508823  8.8050682 ]
2,76.79544776156459,[ 2.18106223 -1.79931767]
2,54.86284590317951,[ 6.48352325 -1.00247582]
2,30.53358564903792,[-2.10019047  7.10701807]
2,49.647887281154965,[-0.10213529  6.96266339]
2,27.734416425105156,[-2.91965706  6.00944358]
2,27.782176122140044,[-2.33305471  4.41860408]
2,54.86284590317951,[ 6.48352325 -1.00247582]
2,41.99832201099897,[-2.05269632  3.19608478]
2,93.39910800198385,[ 7.47675935 -4.07307167]
2,27.782176122140044,[-2.33305471  4.41860408]
2,27.734416425105156,[-2.91965706  6.00944358]
2,65.9475991715572,[-3.55017708  9.03514473]
2,27.734416425105156,[-2.91965706  6.00944358]
2,329.40359242749145,[-4.45672353 -0.06169456]
2,41.99832201099897,[-2.05269632  3.19608478]
2,42.912765212028134,[2.3165201  4.76788157]
2,42.912765212028134,[2.3165201  4.76788157]
2,100.59868335313868,[-6.35354714  9.69083566]
2,27.734416425105156,[-2.91965706  6.00944358]
2,102.38366049242474,[-6.10298645  7.16125073]
2,65.9475991715572,[-3.55017708  9.03514473]
2,27.734416425105156,[-2.91965706  6.00944358]
2,27.782176122140044,[-2.33305471  4.41860408]
2,27.734416425105156,[-2.91965706  6.00944358]
2,27.782176122140044,[-2.33305471  4.41860408]
2,27.782176122140044,[-2.33305471  4.41860408]
2,27.782176122140044,[-2.33305471  4.41860408]
2,65.9475991715572,[-3.55017708  9.03514473]
2,54.86284590317951,[ 6.48352325 -1.00247582]
2,49.647887281154965,[-0.10213529  6.96266339]
2,76.69687818880516,[-5.43508823  8.8050682 ]
2,12.284658137776624,[-1.33938243  5.56918494]
2,65.9475991715572,[-3.55017708  9.03514473]
2,49.647887281154965,[-0.10213529  6.96266339]
2,44.101047925716905,[ 3.00308053 -1.31830135]
2,76.79544776156459,[ 2.18106223 -1.79931767]
2,48.1486472077023,[0.45151152 6.52447178]
2,19.72681136847133,[3.02845509 2.94697969]
2,145.04793188218315,[ 0.91003421 -2.31381168]
2,19.72681136847133,[3.02845509 2.94697969]
2,65.9475991715572,[-3.55017708  9.03514473]
2,76.69687818880516,[-5.43508823  8.8050682 ]
2,19.72681136847133,[3.02845509 2.94697969]
2,27.734416425105156,[-2.91965706  6.00944358]
2,42.912765212028134,[2.3165201  4.76788157]
2,65.9475991715572,[-3.55017708  9.03514473]
2,19.72681136847133,[3.02845509 2.94697969]
2,27.734416425105156,[-2.91965706  6.00944358]
2,27.782176122140044,[-2.33305471  4.41860408]
2,226.0750491232601,[ 7.08183208 -7.51339312]
2,142.22670616819542,[ 9.43425299 -2.0633131 ]
2,27.782176122140044,[-2.33305471  4.41860408]
2,19.72681136847133,[3.02845509 2.94697969]
2,27.734416425105156,[-2.91965706  6.00944358]
2,19.72681136847133,[3.02845509 2.94697969]
2,65.9475991715572,[-3.55017708  9.03514473]
2,44.101047925716905,[ 3.00308053 -1.31830135]
2,19.72681136847133,[3.02845509 2.94697969]
2,142.22670616819542,[ 9.43425299 -2.0633131 ]
2,41.99832201099897,[-2.05269632  3.19608478]
2,44.101047925716905,[ 3.00308053 -1.31830135]
2,19.72681136847133,[3.02845509 2.94697969]
2,54.86284590317951,[ 6.48352325 -1.00247582]
2,76.69687818880516,[-5.43508823  8.8050682 ]
2,27.734416425105156,[-2.91965706  6.00944358]
2,27.782176122140044,[-2.33305471  4.41860408]
2,54.86284590317951,[ 6.48352325 -1.00247582]
2,76.69687818880516,[-5.43508823  8.8050682 ]
2,100.59868335313868,[-6.35354714  9.69083566]
2,19.72681136847133,[3.02845509 2.94697969]
2,27.782176122140044,[-2.33305471  4.41860408]
2,128.85195330022995,[ 0.66716642 -1.8062582 ]
2,27.734416425105156,[-2.91965706  6.00944358]
2,128.85195330022995,[ 0.66716642 -1.8062582 ]
2,139.14012628376415,[ 4.23429196 -4.49275652]
2,141.15488984061676,[-6.69307517  6.52292979]
2,65.9475991715572,[-3.55017708  9.03514473]
2,76.79544776156459,[ 2.18106223 -1.79931767]
2,41.99832201099897,[-2.05269632  3.19608478]
2,19.72681136847133,[3.02845509 2.94697969]
2,65.9475991715572,[-3.55017708  9.03514473]
2,42.912765212028134,[2.3165201  4.76788157]
2,27.734416425105156,[-2.91965706  6.00944358]
2,65.9475991715572,[-3.55017708  9.03514473]
2,54.86284590317951,[ 6.48352325 -1.00247582]
2,93.39910800198385,[ 7.47675935 -4.07307167]
2,42.912765212028134,[2.3165201  4.76788157]
2,30.53358564903792,[-2.10019047  7.10701807]
2,19.72681136847133,[3.02845509 2.94697969]
2,27.782176122140044,[-2.33305471  4.41860408]
2,27.782176122140044,[-2.33305471  4.41860408]
2,125.32632923557478,[ 8.59519212 -5.14930739]
2,76.69687818880516,[-5.43508823  8.8050682 ]
2,12.284658137776624,[-1.33938243  5.56918494]
2,65.9475991715572,[-3.55017708  9.03514473]
2,76.69687818880516,[-5.43508823  8.8050682 ]
2,41.99832201099897,[-2.05269632  3.19608478]
step,fitness,genome
3,65.9475991715572,[-3.55017708  9.03514473]
3,27.734416425105156,[-2.91965706  6.00944358]
3,27.782176122140044,[-2.33305471  4.41860408]
3,27.782176122140044,[-2.33305471  4.41860408]
3,41.99832201099897,[-2.05269632  3.19608478]
3,27.782176122140044,[-2.33305471  4.41860408]
3,12.284658137776624,[-1.33938243  5.56918494]
3,41.99832201099897,[-2.05269632  3.19608478]
3,49.647887281154965,[-0.10213529  6.96266339]
3,30.53358564903792,[-2.10019047  7.10701807]
3,19.72681136847133,[3.02845509 2.94697969]
3,27.734416425105156,[-2.91965706  6.00944358]
3,65.9475991715572,[-3.55017708  9.03514473]
3,27.734416425105156,[-2.91965706  6.00944358]
3,48.1486472077023,[0.45151152 6.52447178]
3,19.72681136847133,[3.02845509 2.94697969]
3,19.72681136847133,[3.02845509 2.94697969]
3,27.734416425105156,[-2.91965706  6.00944358]
3,19.72681136847133,[3.02845509 2.94697969]
3,19.72681136847133,[3.02845509 2.94697969]
3,27.782176122140044,[-2.33305471  4.41860408]
3,27.782176122140044,[-2.33305471  4.41860408]
3,19.72681136847133,[3.02845509 2.94697969]
3,100.59868335313868,[-6.35354714  9.69083566]
3,44.101047925716905,[ 3.00308053 -1.31830135]
3,19.72681136847133,[3.02845509 2.94697969]
3,19.72681136847133,[3.02845509 2.94697969]
3,27.734416425105156,[-2.91965706  6.00944358]
3,19.72681136847133,[3.02845509 2.94697969]
3,19.72681136847133,[3.02845509 2.94697969]
3,19.72681136847133,[3.02845509 2.94697969]
3,44.101047925716905,[ 3.00308053 -1.31830135]
3,27.782176122140044,[-2.33305471  4.41860408]
3,27.734416425105156,[-2.91965706  6.00944358]
3,27.782176122140044,[-2.33305471  4.41860408]
3,44.101047925716905,[ 3.00308053 -1.31830135]
3,27.782176122140044,[-2.33305471  4.41860408]
3,19.72681136847133,[3.02845509 2.94697969]
3,27.782176122140044,[-2.33305471  4.41860408]
3,76.79544776156459,[ 2.18106223 -1.79931767]
3,54.86284590317951,[ 6.48352325 -1.00247582]
3,27.734416425105156,[-2.91965706  6.00944358]
3,41.99832201099897,[-2.05269632  3.19608478]
3,48.1486472077023,[0.45151152 6.52447178]
3,54.86284590317951,[ 6.48352325 -1.00247582]
3,76.69687818880516,[-5.43508823  8.8050682 ]
3,30.53358564903792,[-2.10019047  7.10701807]
3,27.782176122140044,[-2.33305471  4.41860408]
3,54.86284590317951,[ 6.48352325 -1.00247582]
3,19.72681136847133,[3.02845509 2.94697969]
3,27.734416425105156,[-2.91965706  6.00944358]
3,125.32632923557478,[ 8.59519212 -5.14930739]
3,27.782176122140044,[-2.33305471  4.41860408]
3,27.734416425105156,[-2.91965706  6.00944358]
3,19.72681136847133,[3.02845509 2.94697969]
3,27.782176122140044,[-2.33305471  4.41860408]
3,44.101047925716905,[ 3.00308053 -1.31830135]
3,65.9475991715572,[-3.55017708  9.03514473]
3,65.9475991715572,[-3.55017708  9.03514473]
3,27.782176122140044,[-2.33305471  4.41860408]
3,27.734416425105156,[-2.91965706  6.00944358]
3,27.734416425105156,[-2.91965706  6.00944358]
3,12.284658137776624,[-1.33938243  5.56918494]
3,41.99832201099897,[-2.05269632  3.19608478]
3,30.53358564903792,[-2.10019047  7.10701807]
3,27.782176122140044,[-2.33305471  4.41860408]
3,19.72681136847133,[3.02845509 2.94697969]
3,93.39910800198385,[ 7.47675935 -4.07307167]
3,27.782176122140044,[-2.33305471  4.41860408]
3,27.734416425105156,[-2.91965706  6.00944358]
3,44.101047925716905,[ 3.00308053 -1.31830135]
3,27.734416425105156,[-2.91965706  6.00944358]
3,27.734416425105156,[-2.91965706  6.00944358]
3,19.72681136847133,[3.02845509 2.94697969]
3,27.734416425105156,[-2.91965706  6.00944358]
3,27.782176122140044,[-2.33305471  4.41860408]
3,49.647887281154965,[-0.10213529  6.96266339]
3,27.782176122140044,[-2.33305471  4.41860408]
3,48.1486472077023,[0.45151152 6.52447178]
3,42.912765212028134,[2.3165201  4.76788157]
3,19.72681136847133,[3.02845509 2.94697969]
3,19.72681136847133,[3.02845509 2.94697969]
3,27.782176122140044,[-2.33305471  4.41860408]
