step,fitness,genome
0,212.54206620003268,[ 9.80159271 -0.21767364]
0,303.5001206380967,[ 6.73311272 -8.57700767]
0,19.711150069402137,[-2.04235528  6.21497115]
0,19.711150069402137,[-2.04235528  6.21497115]
0,31.13140473025801,[-2.31452595  4.14454037]
0,314.60773638282933,[-3.30074625 -1.06025873]
0,352.8975650565312,[5.79529283 7.05688761]
0,28.663762083635483,[ 4.31870728 -0.98454393]
0,707.438319719093,[7.77059974 8.76318463]
0,251.6914956193759,[-8.66579005  6.64553037]
0,294.49245780304096,[9.22770932 2.2939043 ]
0,57.22008774163151,[-3.48458663  4.53733486]
0,217.7758684224164,[3.3909033  7.52911428]
0,707.438319719093,[7.77059974 8.76318463]
0,142.68750127854304,[-2.10310431  0.47539168]
0,39.12760095055536,[-3.66076241  6.80172584]
0,81.22103209915947,[-3.15232065  9.49000588]
0,1.9592767533230622,[0.88735675 2.46779033]
0,18.61778907426774,[3.81295926 1.68503169]
0,582.6036003003808,[-3.77594759 -3.58641431]
0,35.44108471008518,[-0.10566334  1.30613582]
0,173.4557200560053,[-3.42216199  1.27929275]
0,22.99987488143318,[1.10896591 5.05658577]
0,22.99987488143318,[1.10896591 5.05658577]
0,8.30695631304853,[2.397774   2.86057255]
0,294.49245780304096,[9.22770932 2.2939043 ]
0,232.59342672013872,[9.56800892 0.6278697 ]
0,158.91851406791784,[ 0.80616173 -2.4814333 ]
0,217.7758684224164,[3.3909033  7.52911428]
0,47.28813987672251,[2.85914644 4.37857099]
0,0.16820783531312167,[1.062292   3.12973438]
0,134.6070999245957,[-3.49927312  2.16841693]
0,0.16820783531312167,[1.062292   3.12973438]
0,309.8977687687818,[3.75967737 8.48887157]
0,89.16173741045903,[ 2.06609228 -2.02698313]
0,81.22103209915947,[-3.15232065  9.49000588]
0,170.8085004259984,[3.36613487 6.77685454]
0,8.30695631304853,[2.397774   2.86057255]
0,9.894129207300603,[0.88735675 1.68503169]
0,29.003261877537273,[3.81295926 2.46779033]
0,19.711150069402137,[-2.04235528  6.21497115]
0,98.78263456930837,[ 6.65961111 -4.39566651]
0,47.28813987672251,[2.85914644 4.37857099]
0,154.66238028735864,[-2.88854701  1.06217552]
0,309.8977687687818,[3.75967737 8.48887157]
0,159.20520345515084,[ 9.71664602 -6.09187063]
0,67.14651410956553,[ 5.60275871 -3.09105799]
0,141.2886910052231,[ 9.36669472 -5.44183203]
0,197.82532010776313,[ 0.16175594 -2.59934166]
0,294.49245780304096,[9.22770932 2.2939043 ]
0,4.2704722436353,[0.88735675 2.16841693]
0,121.78998196704129,[-3.49927312  2.46779033]
0,18.61778907426774,[3.81295926 1.68503169]
0,8.30695631304853,[2.397774   2.86057255]
0,294.49245780304096,[9.22770932 2.2939043 ]
0,39.12760095055536,[-3.66076241  6.80172584]
0,47.28813987672251,[2.85914644 4.37857099]
0,149.2042196612136,[-6.83175219  6.47976705]
0,31.13140473025801,[-2.31452595  4.14454037]
0,214.82240389638372,[-9.00468261  8.37111279]
0,39.12760095055536,[-3.66076241  6.80172584]
0,149.2042196612136,[-6.83175219  6.47976705]
0,67.14651410956553,[ 5.60275871 -3.09105799]
0,141.2886910052231,[ 9.36669472 -5.44183203]
0,142.68750127854304,[-2.10310431  0.47539168]
0,592.557672281946,[-1.08486664 -6.14629799]
0,31.13140473025801,[-2.31452595  4.14454037]
0,31.13140473025801,[-2.31452595  4.14454037]
0,149.2042196612136,[-6.83175219  6.47976705]
0,436.7115768534444,[ 1.667235   -6.87092045]
0,154.66238028735864,[-2.88854701  1.06217552]
0,0.16820783531312167,[1.062292   3.12973438]
0,391.5809065116849,[-5.45329445  0.20499911]
0,22.99987488143318,[1.10896591 5.05658577]
0,81.22103209915947,[-3.15232065  9.49000588]
step,fitness,genome
1,81.22103209915947,[-3.15232065  9.49000588]
1,31.13140473025801,[-2.31452595  4.14454037]
1,141.2886910052231,[ 9.36669472 -5.44183203]
1,19.711150069402137,[-2.04235528  6.21497115]
1,0.16820783531312167,[1.062292   3.12973438]
1,39.12760095055536,[-3.66076241  6.80172584]
1,47.28813987672251,[2.85914644 4.37857099]
1,170.8085004259984,[3.36613487 6.77685454]
1,31.13140473025801,[-2.31452595  4.14454037]
1,47.28813987672251,[2.85914644 4.37857099]
1,22.99987488143318,[1.10896591 5.05658577]
1,141.2886910052231,[ 9.36669472 -5.44183203]
1,67.14651410956553,[ 5.60275871 -3.09105799]
1,39.12760095055536,[-3.66076241  6.80172584]
1,28.663762083635483,[ 4.31870728 -0.98454393]
1,47.28813987672251,[2.85914644 4.37857099]
1,67.14651410956553,[ 5.60275871 -3.09105799]
1,22.99987488143318,[1.10896591 5.05658577]
1,31.13140473025801,[-2.31452595  4.14454037]
1,19.711150069402137,[-2.04235528  6.21497115]
1,142.68750127854304,[-2.10310431  0.47539168]
1,212.54206620003268,[ 9.80159271 -0.21767364]
1,154.66238028735864,[-2.88854701  1.06217552]
1,81.22103209915947,[-3.15232065  9.49000588]
1,18.61778907426774,[3.81295926 1.68503169]
1,31.13140473025801,[-2.31452595  4.14454037]
1,39.12760095055536,[-3.66076241  6.80172584]
1,214.82240389638372,[-9.00468261  8.37111279]
1,67.14651410956553,[ 5.60275871 -3.09105799]
1,154.66238028735864,[-2.88854701  1.06217552]
1,22.99987488143318,[1.10896591 5.05658577]
1,47.28813987672251,[2.85914644 4.37857099]
1,67.14651410956553,[ 5.60275871 -3.09105799]
1,1.9592767533230622,[0.88735675 2.46779033]
1,67.14651410956553,[ 5.60275871 -3.09105799]
1,67.14651410956553,[ 5.60275871 -3.09105799]
1,19.711150069402137,[-2.04235528  6.21497115]
1,31.13140473025801,[-2.31452595  4.14454037]
1,18.61778907426774,[3.81295926 1.68503169]
1,47.28813987672251,[2.85914644 4.37857099]
1,149.2042196612136,[-6.83175219  6.47976705]
1,31.13140473025801,[-2.31452595  4.14454037]
1,8.30695631304853,[2.397774   2.86057255]
1,47.28813987672251,[2.85914644 4.37857099]
1,47.28813987672251,[2.85914644 4.37857099]
1,173.4557200560053,[-3.42216199  1.27929275]
1,81.22103209915947,[-3.15232065  9.49000588]
1,149.2042196612136,[-6.83175219  6.47976705]
1,47.28813987672251,[2.85914644 4.37857099]
1,81.22103209915947,[-3.15232065  9.49000588]
1,121.78998196704129,[-3.49927312  2.46779033]
1,1.9592767533230622,[0.88735675 2.46779033]
1,19.711150069402137,[-2.04235528  6.21497115]
1,47.28813987672251,[2.85914644 4.37857099]
1,154.66238028735864,[-2.88854701  1.06217552]
1,19.711150069402137,[-2.04235528  6.21497115]
1,31.13140473025801,[-2.31452595  4.14454037]
1,0.16820783531312167,[1.062292   3.12973438]
1,9.894129207300603,[0.88735675 1.68503169]
1,18.61778907426774,[3.81295926 1.68503169]
1,230.5118393088017,[ 4.31870728 -6.14629799]
1,167.5742378580593,[-1.08486664 -0.98454393]
1,134.6070999245957,[-3.49927312  2.16841693]
1,0.16820783531312167,[1.062292   3.12973438]
1,22.99987488143318,[1.10896591 5.05658577]
1,294.49245780304096,[9.22770932 2.2939043 ]
1,89.16173741045903,[ 2.06609228 -2.02698313]
1,8.30695631304853,[2.397774   2.86057255]
1,22.99987488143318,[1.10896591 5.05658577]
1,31.13140473025801,[-2.31452595  4.14454037]
1,39.12760095055536,[-3.66076241  6.80172584]
1,217.7758684224164,[3.3909033  7.52911428]
1,39.12760095055536,[-3.66076241  6.80172584]
1,314.60773638282933,[-3.30074625 -1.06025873]
1,39.12760095055536,[-3.66076241  6.80172584]
step,fitness,genome
2,22.99987488143318,[1.10896591 5.05658577]
2,18.61778907426774,[3.81295926 1.68503169]
2,81.22103209915947,[-3.15232065  9.49000588]
2,47.28813987672251,[2.85914644 4.37857099]
2,0.16820783531312167,[1.062292   3.12973438]
2,8.30695631304853,[2.397774   2.86057255]
2,39.12760095055536,[-3.66076241  6.80172584]
2,0.16820783531312167,[1.062292   3.12973438]
2,47.28813987672251,[2.85914644 4.37857099]
2,22.99987488143318,[1.10896591 5.05658577]
2,19.711150069402137,[-2.04235528  6.21497115]
2,22.99987488143318,[1.10896591 5.05658577]
2,47.28813987672251,[2.85914644 4.37857099]
2,22.99987488143318,[1.10896591 5.05658577]
2,0.16820783531312167,[1.062292   3.12973438]
2,19.711150069402137,[-2.04235528  6.21497115]
2,31.13140473025801,[-2.31452595  4.14454037]
2,18.61778907426774,[3.81295926 1.68503169]
2,47.28813987672251,[2.85914644 4.37857099]
2,31.13140473025801,[-2.31452595  4.14454037]
2,67.14651410956553,[ 5.60275871 -3.09105799]
2,31.13140473025801,[-2.31452595  4.14454037]
2,47.28813987672251,[2.85914644 4.37857099]
2,8.30695631304853,[2.397774   2.86057255]
2,1.9592767533230622,[0.88735675 2.46779033]
2,31.13140473025801,[-2.31452595  4.14454037]
2,47.28813987672251,[2.85914644 4.37857099]
2,134.6070999245957,[-3.49927312  2.16841693]
2,0.16820783531312167,[1.062292   3.12973438]
2,31.13140473025801,[-2.31452595  4.14454037]
2,31.13140473025801,[-2.31452595  4.14454037]
2,47.28813987672251,[2.85914644 4.37857099]
2,22.99987488143318,[1.10896591 5.05658577]
2,39.12760095055536,[-3.66076241  6.80172584]
2,81.22103209915947,[-3.15232065  9.49000588]
2,31.13140473025801,[-2.31452595  4.14454037]
2,19.711150069402137,[-2.04235528  6.21497115]
2,28.663762083635483,[ 4.31870728 -0.98454393]
2,31.13140473025801,[-2.31452595  4.14454037]
2,1.9592767533230622,[0.88735675 2.46779033]
2,31.13140473025801,[-2.31452595  4.14454037]
2,19.711150069402137,[-2.04235528  6.21497115]
2,67.14651410956553,[ 5.60275871 -3.09105799]
2,47.28813987672251,[2.85914644 4.37857099]
2,89.16173741045903,[ 2.06609228 -2.02698313]
2,31.13140473025801,[-2.31452595  4.14454037]
2,31.13140473025801,[-2.31452595  4.14454037]
2,67.14651410956553,[ 5.60275871 -3.09105799]
2,19.711150069402137,[-2.04235528  6.21497115]
2,18.61778907426774,[3.81295926 1.68503169]
2,67.14651410956553,[ 5.60275871 -3.09105799]
2,47.28813987672251,[2.85914644 4.37857099]
2,31.13140473025801,[-2.31452595  4.14454037]
2,31.13140473025801,[-2.31452595  4.14454037]
2,39.12760095055536,[-3.66076241  6.80172584]
2,39.12760095055536,[-3.66076241  6.80172584]
2,8.30695631304853,[2.397774   2.86057255]
2,31.13140473025801,[-2.31452595  4.14454037]
2,19.711150069402137,[-2.04235528  6.21497115]
2,18.61778907426774,[3.81295926 1.68503169]
2,22.99987488143318,[1.10896591 5.05658577]
2,18.61778907426774,[3.81295926 1.68503169]
2,5.581907791601882,[0.88735675 4.14454037]
2,70.45882908696538,[-2.31452595  2.46779033]
2,72.4879488155792,[-3.66076241  4.14454037]
2,26.388656620004337,[-2.31452595  6.80172584]
