step,fitness,genome
0,67.34677371308725,[-6.56898992  0.88461306]
0,92.40310202174122,[-11.16202884   0.39229029]
0,119.54774268915325,[0.13528073 1.42692701]
0,46.15288768508087,[-11.88058546   1.62431846]
0,46.15288768508087,[-11.88058546   1.62431846]
0,168.0879921990438,[-11.61891072  -1.47482224]
0,67.34677371308725,[-6.56898992  0.88461306]
0,99.06791178798068,[-12.78299584   0.65315604]
0,13.850354734297408,[-12.78299584   1.65315604]
0,67.34677371308725,[-6.56898992  0.88461306]
0,124.52162781095936,[-5.97829586  1.90696238]
0,92.40310202174122,[-11.16202884   0.39229029]
0,49.66234764133857,[-13.21241602   1.49936346]
0,46.15288768508087,[-11.88058546   1.62431846]
0,49.66234764133857,[-13.21241602   1.49936346]
0,49.66234764133857,[-13.21241602   1.49936346]
0,49.66234764133857,[-13.21241602   1.49936346]
0,108.06982972454371,[-8.66896694  1.91913102]
0,47.78668355567176,[-12.86471927   1.42692701]
0,115.44667162910541,[-12.69225611   0.2787618 ]
0,47.78668355567176,[-12.86471927   1.42692701]
0,135.6135390291597,[-13.78155271   0.06123427]
0,129.86082680384357,[-8.51590224 -0.96079209]
0,47.78668355567176,[-12.86471927   1.42692701]
0,13.850354734297408,[-12.78299584   1.65315604]
step,fitness,genome
1,46.15288768508087,[-11.88058546   1.62431846]
1,13.850354734297408,[-12.78299584   1.65315604]
1,67.34677371308725,[-6.56898992  0.88461306]
1,13.850354734297408,[-12.78299584   1.65315604]
1,46.15288768508087,[-11.88058546   1.62431846]
1,46.15288768508087,[-11.88058546   1.62431846]
1,47.78668355567176,[-12.86471927   1.42692701]
1,94.05937194869337,[0.43101008 0.88461306]
1,47.78668355567176,[-12.86471927   1.42692701]
1,13.850354734297408,[-12.78299584   1.65315604]
1,13.850354734297408,[-12.78299584   1.65315604]
1,49.66234764133857,[-13.21241602   1.49936346]
1,46.15288768508087,[-11.88058546   1.62431846]
1,49.66234764133857,[-13.21241602   1.49936346]
1,49.66234764133857,[-13.21241602   1.49936346]
1,128.65897213336,[0.21700416 1.65315604]
1,47.78668355567176,[-12.86471927   1.42692701]
1,13.850354734297408,[-12.78299584   1.65315604]
1,121.25452995684348,[1.78758398 1.49936346]
1,13.850354734297408,[-12.78299584   1.65315604]
1,49.66234764133857,[-13.21241602   1.49936346]
1,47.78668355567176,[-12.86471927   1.42692701]
1,46.15288768508087,[-11.88058546   1.62431846]
1,13.850354734297408,[-12.78299584   1.65315604]
1,49.66234764133857,[-13.21241602   1.49936346]
step,fitness,genome
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,128.65897213336,[0.21700416 1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,46.15288768508087,[-11.88058546   1.62431846]
2,46.15288768508087,[-11.88058546   1.62431846]
2,46.15288768508087,[-11.88058546   1.62431846]
2,46.15288768508087,[-11.88058546   1.62431846]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,46.15288768508087,[-11.88058546   1.62431846]
2,46.15288768508087,[-11.88058546   1.62431846]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
2,99.06791178798068,[-12.78299584   0.65315604]
2,13.850354734297408,[-12.78299584   1.65315604]
step,fitness,genome
3,128.65897213336,[0.21700416 1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,128.65897213336,[0.21700416 1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
3,13.850354734297408,[-12.78299584   1.65315604]
step,fitness,genome
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,128.65897213336,[0.21700416 1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,128.65897213336,[0.21700416 1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
4,13.850354734297408,[-12.78299584   1.65315604]
step,fitness,genome
5,99.06791178798068,[-12.78299584   0.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
5,13.850354734297408,[-12.78299584   1.65315604]
step,fitness,genome
6,13.850354734297408,[-12.78299584   1.65315604]
6,13.850354734297408,[-12.78299584   1.65315604]
