step,fitness,genome
0,60.060126153794876,[-12.89621897   2.0234987 ]
0,113.53029303555111,[-10.15305868   2.319724  ]
0,71.98427193466942,[-12.07869872   1.97682394]
0,118.89174033534621,[-13.6364926    0.44687928]
0,120.97853236457776,[-13.05547836   0.24161382]
0,59.38184059161983,[-14.54291341   2.46704428]
0,102.68610366833178,[-11.65767511   0.30491071]
0,60.060126153794876,[-12.89621897   2.0234987 ]
0,70.44710231801145,[-13.05080863   1.20738638]
0,117.13000974430416,[-12.71723265   0.24597261]
0,52.564589588686374,[-6.17216271  0.10505459]
0,113.78477016409131,[-10.82408361   2.46611772]
0,98.46412980672636,[-5.42972526  1.26343784]
0,149.4014671424557,[-7.28167628  2.76149576]
0,59.38184059161983,[-14.54291341   2.46704428]
0,60.060126153794876,[-12.89621897   2.0234987 ]
0,117.13000974430416,[-12.71723265   0.24597261]
0,118.89174033534621,[-13.6364926    0.44687928]
0,113.78477016409131,[-10.82408361   2.46611772]
0,98.46412980672636,[-5.42972526  1.26343784]
0,52.564589588686374,[-6.17216271  0.10505459]
0,70.44710231801145,[-13.05080863   1.20738638]
0,70.44710231801145,[-13.05080863   1.20738638]
0,59.38184059161983,[-14.54291341   2.46704428]
0,98.46412980672636,[-5.42972526  1.26343784]
step,fitness,genome
1,70.44710231801145,[-13.05080863   1.20738638]
1,60.060126153794876,[-12.89621897   2.0234987 ]
1,59.38184059161983,[-14.54291341   2.46704428]
1,52.564589588686374,[-6.17216271  0.10505459]
1,60.060126153794876,[-12.89621897   2.0234987 ]
1,52.564589588686374,[-6.17216271  0.10505459]
1,52.564589588686374,[-6.17216271  0.10505459]
1,113.78477016409131,[-10.82408361   2.46611772]
1,52.564589588686374,[-6.17216271  0.10505459]
1,52.564589588686374,[-6.17216271  0.10505459]
1,60.060126153794876,[-12.89621897   2.0234987 ]
1,59.38184059161983,[-14.54291341   2.46704428]
1,113.78477016409131,[-10.82408361   2.46611772]
1,59.38184059161983,[-14.54291341   2.46704428]
1,52.564589588686374,[-6.17216271  0.10505459]
1,59.38184059161983,[-14.54291341   2.46704428]
1,52.564589588686374,[-6.17216271  0.10505459]
1,60.060126153794876,[-12.89621897   2.0234987 ]
1,60.060126153794876,[-12.89621897   2.0234987 ]
1,52.564589588686374,[-6.17216271  0.10505459]
1,70.44710231801145,[-13.05080863   1.20738638]
1,60.060126153794876,[-12.89621897   2.0234987 ]
1,60.060126153794876,[-12.89621897   2.0234987 ]
1,98.46412980672636,[-5.42972526  1.26343784]
1,60.060126153794876,[-12.89621897   2.0234987 ]
step,fitness,genome
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,60.060126153794876,[-12.89621897   2.0234987 ]
2,52.564589588686374,[-6.17216271  0.10505459]
2,59.38184059161983,[-14.54291341   2.46704428]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,59.38184059161983,[-14.54291341   2.46704428]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
2,52.564589588686374,[-6.17216271  0.10505459]
step,fitness,genome
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
3,52.564589588686374,[-6.17216271  0.10505459]
step,fitness,genome
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
4,52.564589588686374,[-6.17216271  0.10505459]
step,fitness,genome
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
5,52.564589588686374,[-6.17216271  0.10505459]
step,fitness,genome
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
6,52.564589588686374,[-6.17216271  0.10505459]
step,fitness,genome
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
7,52.564589588686374,[-6.17216271  0.10505459]
