step,fitness,genome
0,66.56909740436289,[-13.52014572   2.27061933]
0,28.760873118441,[-7.79212109  0.68976334]
0,82.29548311010869,[-6.97749657  1.16361185]
0,110.99838697540615,[-8.62149806  1.97506048]
0,31.16424816381039,[-10.1029339    1.11780736]
0,50.85889365094028,[-8.44481886  0.9716542 ]
0,162.748674012088,[-7.29645882 -2.11545005]
0,102.97191260888941,[-8.53647816 -0.3313055 ]
0,79.2435902678545,[-14.62897626   1.51284822]
0,79.2435902678545,[-14.62897626   1.51284822]
0,96.23664104088517,[-11.0139758    2.13903058]
0,18.450698378836492,[-9.58965762  0.95364302]
0,75.61465630489036,[-14.53405284   2.68345907]
0,28.022031828643662,[-7.2913017   0.45325911]
0,79.2435902678545,[-14.62897626   1.51284822]
0,78.46403381136894,[-8.16705756  0.05163544]
0,102.2141407872989,[-8.44481886 -0.3313055 ]
0,49.30353894344074,[-8.53647816  0.9716542 ]
0,116.04775421528349,[-13.80548433   0.56008894]
0,132.2252126713415,[-10.35504514  -0.6759872 ]
0,93.94716926447143,[-11.3398826    0.40357405]
0,93.79596295187811,[-5.31794749  1.16169583]
0,69.40704101674764,[-8.80540169  0.29378307]
0,123.94578564186554,[-13.262238     0.22342236]
0,18.450698378836492,[-9.58965762  0.95364302]
0,92.7041140437653,[-5.58591396 -0.54656271]
0,82.29548311010869,[-6.97749657  1.16361185]
0,92.7041140437653,[-5.58591396 -0.54656271]
0,76.09161937604755,[-10.3208616    1.64414647]
0,132.2252126713415,[-10.35504514  -0.6759872 ]
0,96.23664104088517,[-11.0139758    2.13903058]
0,94.76274290345978,[-11.94533871   2.32454026]
0,99.94533235068016,[-11.01213215   2.21137519]
0,82.94949478423841,[-12.13324963   0.78444946]
0,78.09916669016343,[-9.41738088  0.27701364]
0,142.5068390873986,[-8.86245922 -1.24506388]
0,50.85889365094028,[-8.44481886  0.9716542 ]
0,15.973521331279112,[-12.501589     1.58833276]
0,120.12090186187343,[-9.58965762 -0.52318919]
0,34.93302957702284,[-10.37134867   0.95364302]
0,80.89696426437999,[-11.99399334   0.78444946]
0,63.15672606071232,[-12.13324963   1.87076526]
0,134.1543004286324,[-9.22981391  2.65142564]
0,50.71180199646352,[-5.03659304e+00 -2.99283099e-03]
0,97.62242632785436,[-13.80548433   0.95364302]
0,59.964623142198015,[-9.58965762  0.56008894]
0,65.76235361248781,[-11.99399334   1.87076526]
0,99.94533235068016,[-11.01213215   2.21137519]
0,70.44149165748196,[-10.5118434    1.60111678]
0,50.85889365094028,[-8.44481886  0.9716542 ]
0,76.09161937604755,[-10.3208616    1.64414647]
0,39.22646140888231,[-9.18301179  0.99708449]
0,162.748674012088,[-7.29645882 -2.11545005]
0,93.79596295187811,[-5.31794749  1.16169583]
0,31.16424816381039,[-10.1029339    1.11780736]
0,76.09161937604755,[-10.3208616    1.64414647]
0,105.58884385893761,[-6.97749657  1.60111678]
0,24.217374648291493,[-10.5118434    1.16361185]
0,78.46403381136894,[-8.16705756  0.05163544]
0,58.06054706633356,[-6.93648568  0.8178954 ]
0,178.6213263523017,[-6.17608113 -2.80775212]
0,99.94488484247623,[-8.70988045  1.75726031]
0,137.58571130772992,[-8.59277557  2.63095351]
0,18.450698378836492,[-9.58965762  0.95364302]
0,57.52749230949075,[-10.1029339    0.68976334]
0,71.48086725431268,[-7.79212109  1.11780736]
0,141.14357957702254,[-10.98753959  -0.78461198]
0,70.44149165748196,[-10.5118434    1.60111678]
0,92.46782730880457,[-9.22981391e+00 -2.99283099e-03]
0,99.94533235068016,[-11.01213215   2.21137519]
0,41.55510038096018,[-5.22815403  0.10104967]
0,41.55510038096018,[-5.22815403  0.10104967]
0,70.44149165748196,[-10.5118434    1.60111678]
0,76.09161937604755,[-10.3208616    1.64414647]
0,39.22646140888231,[-9.18301179  0.99708449]
step,fitness,genome
1,39.22646140888231,[-9.18301179  0.99708449]
1,18.450698378836492,[-9.58965762  0.95364302]
1,24.217374648291493,[-10.5118434    1.16361185]
1,18.450698378836492,[-9.58965762  0.95364302]
1,18.450698378836492,[-9.58965762  0.95364302]
1,50.85889365094028,[-8.44481886  0.9716542 ]
1,15.973521331279112,[-12.501589     1.58833276]
1,31.16424816381039,[-10.1029339    1.11780736]
1,18.450698378836492,[-9.58965762  0.95364302]
1,76.09161937604755,[-10.3208616    1.64414647]
1,58.88390933091292,[-7.79212109  0.95364302]
1,44.52286598090013,[-9.58965762  1.11780736]
1,39.22646140888231,[-9.18301179  0.99708449]
1,93.79596295187811,[-5.31794749  1.16169583]
1,31.16424816381039,[-10.1029339    1.11780736]
1,31.16424816381039,[-10.1029339    1.11780736]
1,76.09161937604755,[-10.3208616    1.64414647]
1,50.85889365094028,[-8.44481886  0.9716542 ]
1,99.94533235068016,[-11.01213215   2.21137519]
1,39.22646140888231,[-9.18301179  0.99708449]
1,78.46403381136894,[-8.16705756  0.05163544]
1,50.71180199646352,[-5.03659304e+00 -2.99283099e-03]
1,28.760873118441,[-7.79212109  0.68976334]
1,70.44149165748196,[-10.5118434    1.60111678]
1,58.06054706633356,[-6.93648568  0.8178954 ]
1,82.29548311010869,[-6.97749657  1.16361185]
1,31.16424816381039,[-10.1029339    1.11780736]
1,41.55510038096018,[-5.22815403  0.10104967]
1,58.06054706633356,[-6.93648568  0.8178954 ]
1,76.09161937604755,[-10.3208616    1.64414647]
1,99.94533235068016,[-11.01213215   2.21137519]
1,76.09161937604755,[-10.3208616    1.64414647]
1,34.93302957702284,[-10.37134867   0.95364302]
1,39.22646140888231,[-9.18301179  0.99708449]
1,18.450698378836492,[-9.58965762  0.95364302]
1,18.450698378836492,[-9.58965762  0.95364302]
1,140.38326223209907,[-8.44481886  2.68345907]
1,106.85043044651601,[-14.53405284   0.9716542 ]
1,15.973521331279112,[-12.501589     1.58833276]
1,28.022031828643662,[-7.2913017   0.45325911]
1,70.44149165748196,[-10.5118434    1.60111678]
1,28.760873118441,[-7.79212109  0.68976334]
1,58.06054706633356,[-6.93648568  0.8178954 ]
1,50.85889365094028,[-8.44481886  0.9716542 ]
1,95.89905145728774,[-10.1029339    0.10104967]
1,91.94284400919207,[-5.22815403  1.11780736]
1,34.93302957702284,[-10.37134867   0.95364302]
1,28.760873118441,[-7.79212109  0.68976334]
1,78.46403381136894,[-8.16705756  0.05163544]
1,76.09161937604755,[-10.3208616    1.64414647]
1,57.52749230949075,[-10.1029339    0.68976334]
1,31.16424816381039,[-10.1029339    1.11780736]
1,39.22646140888231,[-9.18301179  0.99708449]
1,66.56909740436289,[-13.52014572   2.27061933]
1,18.450698378836492,[-9.58965762  0.95364302]
1,18.450698378836492,[-9.58965762  0.95364302]
1,63.15672606071232,[-12.13324963   1.87076526]
1,34.93302957702284,[-10.37134867   0.95364302]
1,58.06054706633356,[-6.93648568  0.8178954 ]
1,80.89696426437999,[-11.99399334   0.78444946]
1,34.93302957702284,[-10.37134867   0.95364302]
1,18.450698378836492,[-9.58965762  0.95364302]
1,62.46509146023581,[-7.79212109  0.99708449]
1,39.18899608150892,[-9.18301179  0.68976334]
1,39.22646140888231,[-9.18301179  0.99708449]
1,31.16424816381039,[-10.1029339    1.11780736]
1,18.450698378836492,[-9.58965762  0.95364302]
1,24.217374648291493,[-10.5118434    1.16361185]
1,39.22646140888231,[-9.18301179  0.99708449]
1,82.94949478423841,[-12.13324963   0.78444946]
1,39.22646140888231,[-9.18301179  0.99708449]
1,41.55510038096018,[-5.22815403  0.10104967]
1,18.450698378836492,[-9.58965762  0.95364302]
1,18.450698378836492,[-9.58965762  0.95364302]
1,87.51378890379337,[-10.5118434    1.87076526]
step,fitness,genome
2,39.22646140888231,[-9.18301179  0.99708449]
2,76.09161937604755,[-10.3208616    1.64414647]
2,34.93302957702284,[-10.37134867   0.95364302]
2,39.22646140888231,[-9.18301179  0.99708449]
2,18.450698378836492,[-9.58965762  0.95364302]
2,18.450698378836492,[-9.58965762  0.95364302]
2,15.973521331279112,[-12.501589     1.58833276]
2,18.450698378836492,[-9.58965762  0.95364302]
