step,fitness,genome
0,-1.4931156990265366,[-4.65937679 -6.55153033]
0,-1.5231090095437336,[-3.04202029  0.7500196 ]
0,-1.8790451039679186,[ 1.539551  -4.1156006]
0,-1.6352672003930724,[-8.03413733  4.41975587]
0,-1.6685497102014397,[-1.27385685 -8.24253954]
0,-1.5430426230349943,[ 0.16588017 -5.17353001]
0,-1.8790451039679186,[ 1.539551  -4.1156006]
0,-2.0376290776073627,[ 0.91848953 -1.22004812]
0,-1.4329139056220703,[6.68075549 7.21323112]
0,-2.026290952252141,[1.03646326 0.89446002]
0,-1.8168263425786941,[-2.29774795 -4.53689179]
0,-1.7741858160218702,[-4.36173254 -4.11183318]
0,-1.8790451039679186,[ 1.539551  -4.1156006]
0,-1.7478660525901222,[-4.56038737  0.44518105]
0,-1.5981791573995021,[7.26546378 3.87360989]
0,-1.8790451039679186,[ 1.539551  -4.1156006]
0,-1.6720205253021994,[ 6.94081381 -1.55081177]
0,-1.6352672003930724,[-8.03413733  4.41975587]
0,-1.5954021691382188,[1.55566852 8.70067649]
0,-1.8758929216559195,[-0.34110894  0.99476472]
0,-1.472996895494645,[-2.57424057 -6.01293086]
0,-1.4345159708206727,[-2.7888278   3.29942263]
0,-1.6997153471679727,[-5.36919146 -2.47218867]
0,-1.7172026700647731,[3.44803104 1.86383115]
0,-1.3689434508395661,[-2.73719676 -3.22570202]
0,-1.5738023267842491,[0.05817658 1.61893318]
0,-2.0129467287759097,[ 1.87243673 -1.80252356]
0,-1.7172026700647731,[3.44803104 1.86383115]
0,-1.8790451039679186,[ 1.539551  -4.1156006]
0,-1.714616933292762,[0.65627525 0.16687848]
0,-1.4221351654922196,[ 2.85143237 -2.97742271]
0,-1.616514853703662,[-8.55253734 -1.1787372 ]
0,-1.5981791573995021,[7.26546378 3.87360989]
0,-1.4919768244561582,[-8.61877783  5.47028581]
0,-1.4595271747461653,[-7.24184936  8.62323603]
0,-1.779133266607624,[-2.39446957  2.57914685]
0,-1.616514853703662,[-8.55253734 -1.1787372 ]
0,-1.713652590113092,[-5.71770539 -1.42457197]
0,-1.4761739934601878,[8.58448196 7.87128387]
0,-1.356998223664799,[5.9043875  0.14003838]
0,-1.3587257938227688,[-7.51483607 -9.88028713]
0,-1.6683898241556459,[3.55629601 4.66822887]
0,-1.7028238916220109,[3.68004454 2.48418915]
0,-1.4128558612810973,[ 2.85923159 -8.57428666]
0,-1.9672587218075532,[-2.26354897  1.29871833]
0,-1.6229733749017905,[0.38122217 5.47028581]
0,-1.580863549239528,[-1.36912161  8.75437063]
0,-1.5625982037681272,[ 7.96648086 -0.42436836]
0,-1.6685497102014397,[-1.27385685 -8.24253954]
0,-1.3862247548542375,[ 5.93529325 -8.52855865]
0,-1.4642563972640648,[-3.04202029 -4.2499804 ]
0,-1.836220018324116,[2.07711336 2.58055742]
0,-1.7926686732263302,[-2.04631699 -0.28045268]
0,-1.5625982037681272,[ 7.96648086 -0.42436836]
0,-1.8021662420501372,[ 2.18670057 -3.8921971 ]
0,-1.631371173923022,[ 5.70202206 -4.87905306]
0,-1.3862247548542375,[ 5.93529325 -8.52855865]
0,-1.7675133404436978,[ 4.71116838 -4.07592076]
0,-1.616514853703662,[-8.55253734 -1.1787372 ]
0,-1.6997153471679727,[-5.36919146 -2.47218867]
0,-1.7340208908826513,[3.49886106 1.93686338]
0,-1.7213261246112639,[4.33978784 0.37355485]
0,-1.9672587218075532,[-2.26354897  1.29871833]
0,-1.7213261246112639,[4.33978784 0.37355485]
0,-1.4931156990265366,[-4.65937679 -6.55153033]
0,-1.9572150786489686,[ 0.69915404 -1.96073471]
0,-1.5792051052311853,[-8.27125895  5.20547854]
0,-1.5068447171517352,[1.24335512 3.21263691]
0,-1.4999913682343,[3.785073   8.62546905]
0,-1.5831656813380268,[-7.05399756  5.23702495]
0,-1.5828548320987168,[-8.17724919  5.257587  ]
0,-1.8021662420501372,[ 2.18670057 -3.8921971 ]
0,-2.0156372441949317,[-1.91335616  1.07370163]
0,-1.7478660525901222,[-4.56038737  0.44518105]
0,-1.6685497102014397,[-1.27385685 -8.24253954]
0,-1.428151284112473,[-0.26010695 -3.00772116]
0,-1.4031601668633507,[-5.19255149  6.12270937]
0,-1.6352672003930724,[-8.03413733  4.41975587]
0,-1.5583805524523666,[ 2.7020927  -7.67062368]
0,-1.6502281366936404,[-0.63246741  5.66606328]
0,-1.5712469711927937,[0.36753259 5.66606328]
0,-1.7213261246112639,[4.33978784 0.37355485]
0,-1.6977360111763462,[2.38737113 3.58088076]
0,-1.8790451039679186,[ 1.539551  -4.1156006]
0,-1.580863549239528,[-1.36912161  8.75437063]
0,-1.8168263425786941,[-2.29774795 -4.53689179]
0,-1.6638171788200569,[-7.96353674  0.89446002]
0,-1.713652590113092,[-5.71770539 -1.42457197]
0,-1.4919768244561582,[-8.61877783  5.47028581]
0,-1.4999913682343,[3.785073   8.62546905]
0,-1.7340208908826513,[3.49886106 1.93686338]
0,-2.0000397326281827,[2.07711336 1.58055742]
0,-1.4764420591070424,[-8.61472274  3.66236165]
0,-1.779133266607624,[-2.39446957  2.57914685]
0,-1.4999913682343,[3.785073   8.62546905]
0,-1.8663149486102726,[-4.08443183  1.79441361]
0,-1.616514853703662,[-8.55253734 -1.1787372 ]
0,-1.4353511571372517,[ 6.7429634  -8.24674517]
0,-1.741531442811649,[4.00818941 4.99177047]
0,-1.6306043215353851,[4.03305735 0.23196149]
step,fitness,genome
1,-1.7172026700647731,[3.44803104 1.86383115]
1,-1.7172026700647731,[3.44803104 1.86383115]
1,-1.9672587218075532,[-2.26354897  1.29871833]
1,-1.5981791573995021,[7.26546378 3.87360989]
1,-2.0129467287759097,[ 1.87243673 -1.80252356]
1,-1.616514853703662,[-8.55253734 -1.1787372 ]
1,-2.0129467287759097,[ 1.87243673 -1.80252356]
1,-1.6720205253021994,[ 6.94081381 -1.55081177]
