step,fitness,genome
0,-1.7999378894789273,[-2.77067532  1.48432112]
0,-1.5973322970125854,[ 0.39055141 -2.87248586]
0,-1.4887001431811213,[6.45025112 1.34206953]
0,-1.8646511754915858,[-4.4877785   1.96716479]
0,-2.0426322330641757,[1.36275926 1.77302964]
0,-1.762329893791599,[2.60621303 2.42771278]
0,-1.7908907658241253,[-2.14752713  2.67600707]
0,-1.7908907658241253,[-2.14752713  2.67600707]
0,-1.7745951809675964,[ 0.59343551 -3.9757696 ]
0,-1.9100711409273468,[ 2.08517997 -0.58261286]
0,-1.8072309812961416,[0.85247287 2.67600707]
0,-1.6138690765718031,[0.21436855 3.98427205]
0,-1.657869478862578,[-7.82145144  0.79373969]
0,-1.5386569524193656,[ 0.6794718  -6.66356694]
0,-1.7401432797243317,[ 1.39055141 -2.87248586]
0,-1.6035083255738116,[-5.75579699  5.03661948]
0,-1.7850020337946795,[-4.51562033  4.73481565]
0,-1.9100711409273468,[ 2.08517997 -0.58261286]
0,-1.691463002230749,[1.04004193 7.74138798]
0,-1.5386569524193656,[ 0.6794718  -6.66356694]
0,-1.7850020337946795,[-4.51562033  4.73481565]
0,-1.9511062953978002,[-0.70177789  0.67998207]
0,-1.986459585835537,[-0.62447747  1.31065793]
0,-1.631609043869538,[ 4.47937364 -7.12278781]
0,-2.0426322330641757,[1.36275926 1.77302964]
0,-2.020375943498494,[ 1.79750979 -1.80350212]
0,-1.762329893791599,[2.60621303 2.42771278]
0,-1.8205426694415074,[-5.20249021 -1.80350212]
0,-1.8470108981142528,[ 3.87138268 -1.70487289]
0,-1.9100711409273468,[ 2.08517997 -0.58261286]
0,-1.657869478862578,[-7.82145144  0.79373969]
0,-1.986459585835537,[-0.62447747  1.31065793]
0,-1.862789679387295,[ 2.44850616 -2.16440532]
0,-1.730386848065374,[ 5.06387168 -2.52575672]
0,-1.691463002230749,[1.04004193 7.74138798]
0,-2.017177402245112,[1.36275926 0.77302964]
0,-1.8205426694415074,[-5.20249021 -1.80350212]
0,-1.6858145339279855,[ 1.31434279 -3.36897394]
0,-1.862789679387295,[ 2.44850616 -2.16440532]
0,-1.7638210096163287,[3.5460414  1.79139454]
0,-1.9100711409273468,[ 2.08517997 -0.58261286]
0,-1.862789679387295,[ 2.44850616 -2.16440532]
0,-1.9100711409273468,[ 2.08517997 -0.58261286]
0,-1.7401432797243317,[ 1.39055141 -2.87248586]
0,-1.7999378894789273,[-2.77067532  1.48432112]
0,-1.823791707860781,[ 2.20919177 -4.13789586]
0,-1.854874874447829,[2.08517997 0.41738714]
0,-1.8470108981142528,[ 3.87138268 -1.70487289]
0,-1.81644234277767,[-4.68689289  2.27244781]
0,-1.9511062953978002,[-0.70177789  0.67998207]
0,-1.9100711409273468,[ 2.08517997 -0.58261286]
0,-1.691463002230749,[1.04004193 7.74138798]
0,-1.7850020337946795,[-4.51562033  4.73481565]
0,-1.9511062953978002,[-0.70177789  0.67998207]
0,-1.6035083255738116,[-5.75579699  5.03661948]
0,-1.8470108981142528,[ 3.87138268 -1.70487289]
0,-1.6498546702165688,[-5.34673249  2.66139202]
0,-1.4143358692864159,[-9.69981913  1.52434411]
0,-1.986459585835537,[-0.62447747  1.31065793]
0,-1.8205426694415074,[-5.20249021 -1.80350212]
0,-1.8470108981142528,[ 3.87138268 -1.70487289]
0,-1.5357540337128563,[7.54295367 8.10718459]
0,-1.7212956235925847,[5.06387168 0.47424328]
0,-1.862789679387295,[ 2.44850616 -2.16440532]
0,-1.7908907658241253,[-2.14752713  2.67600707]
0,-1.9511062953978002,[-0.70177789  0.67998207]
0,-1.8028988637356973,[-5.34673249  1.66139202]
0,-1.9100711409273468,[ 2.08517997 -0.58261286]
0,-1.928400096757199,[-1.90418717 -0.55431212]
0,-1.7469178187641519,[0.45172488 4.17318059]
0,-1.7908907658241253,[-2.14752713  2.67600707]
0,-1.81644234277767,[-4.68689289  2.27244781]
0,-1.928400096757199,[-1.90418717 -0.55431212]
0,-1.762329893791599,[2.60621303 2.42771278]
0,-1.823791707860781,[ 2.20919177 -4.13789586]
0,-1.862789679387295,[ 2.44850616 -2.16440532]
0,-1.7492347004953601,[5.06387168 4.17318059]
0,-1.768645135451582,[ 0.45172488 -2.52575672]
0,-1.745037145547872,[-4.90170257 -3.97331842]
0,-1.776480033063786,[-5.35140366  0.95933457]
0,-1.7212956235925847,[5.06387168 0.47424328]
0,-2.0426322330641757,[1.36275926 1.77302964]
0,-1.6870384018005709,[ 3.77283608 -5.16144287]
0,-1.691463002230749,[1.04004193 7.74138798]
0,-1.762329893791599,[2.60621303 2.42771278]
0,-1.928400096757199,[-1.90418717 -0.55431212]
0,-1.8201607683645562,[-5.21497937  1.19499428]
0,-2.0426322330641757,[1.36275926 1.77302964]
0,-1.762329893791599,[2.60621303 2.42771278]
0,-1.7908907658241253,[-2.14752713  2.67600707]
0,-1.6858145339279855,[ 1.31434279 -3.36897394]
0,-2.0426322330641757,[1.36275926 1.77302964]
0,-1.823791707860781,[ 2.20919177 -4.13789586]
0,-1.882086084884103,[-4.51562033  1.73481565]
0,-1.823791707860781,[ 2.20919177 -4.13789586]
0,-1.7908907658241253,[-2.14752713  2.67600707]
0,-1.8470108981142528,[ 3.87138268 -1.70487289]
0,-1.762329893791599,[2.60621303 2.42771278]
0,-1.6656060709009595,[ 2.13715672 -7.19318052]
0,-1.8201607683645562,[-5.21497937  1.19499428]
step,fitness,genome
1,-2.017177402245112,[1.36275926 0.77302964]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.8072309812961416,[0.85247287 2.67600707]
1,-1.928400096757199,[-1.90418717 -0.55431212]
1,-1.7908907658241253,[-2.14752713  2.67600707]
1,-1.8470108981142528,[ 3.87138268 -1.70487289]
1,-1.9156742265821534,[1.08517997 0.41738714]
1,-1.8470108981142528,[ 3.87138268 -1.70487289]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-1.928400096757199,[-1.90418717 -0.55431212]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-2.020375943498494,[ 1.79750979 -1.80350212]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.986459585835537,[-0.62447747  1.31065793]
1,-1.8470108981142528,[ 3.87138268 -1.70487289]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-2.017177402245112,[1.36275926 0.77302964]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.928400096757199,[-1.90418717 -0.55431212]
1,-1.986459585835537,[-0.62447747  1.31065793]
1,-1.928400096757199,[-1.90418717 -0.55431212]
1,-1.8072309812961416,[0.85247287 2.67600707]
1,-1.8470108981142528,[ 3.87138268 -1.70487289]
1,-1.882086084884103,[-4.51562033  1.73481565]
1,-1.986459585835537,[-0.62447747  1.31065793]
1,-1.928400096757199,[-1.90418717 -0.55431212]
1,-1.8028988637356973,[-5.34673249  1.66139202]
1,-1.823791707860781,[ 2.20919177 -4.13789586]
1,-1.8646511754915858,[-4.4877785   1.96716479]
1,-2.020375943498494,[ 1.79750979 -1.80350212]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-1.7908907658241253,[-2.14752713  2.67600707]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-1.8470108981142528,[ 3.87138268 -1.70487289]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.8221865180345196,[-5.20249021  1.19649788]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-1.8470108981142528,[ 3.87138268 -1.70487289]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-1.928400096757199,[-1.90418717 -0.55431212]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-1.8470108981142528,[ 3.87138268 -1.70487289]
1,-1.928400096757199,[-1.90418717 -0.55431212]
1,-1.986459585835537,[-0.62447747  1.31065793]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-1.862789679387295,[ 2.44850616 -2.16440532]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-1.928400096757199,[-1.90418717 -0.55431212]
1,-2.020375943498494,[ 1.79750979 -1.80350212]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.8470108981142528,[ 3.87138268 -1.70487289]
1,-1.986459585835537,[-0.62447747  1.31065793]
1,-1.8470108981142528,[ 3.87138268 -1.70487289]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.986459585835537,[-0.62447747  1.31065793]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.8072309812961416,[0.85247287 2.67600707]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.928400096757199,[-1.90418717 -0.55431212]
1,-1.9012924485371108,[0.37552253 1.31065793]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.8135168198314857,[-0.62447747  0.31065793]
1,-1.986459585835537,[-0.62447747  1.31065793]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.862789679387295,[ 2.44850616 -2.16440532]
1,-1.986459585835537,[-0.62447747  1.31065793]
1,-1.8470108981142528,[ 3.87138268 -1.70487289]
1,-2.017177402245112,[1.36275926 0.77302964]
1,-1.988347482784214,[ 1.36275926 -2.16440532]
1,-1.9089924285043385,[2.44850616 1.77302964]
1,-1.862789679387295,[ 2.44850616 -2.16440532]
1,-1.9100711409273468,[ 2.08517997 -0.58261286]
1,-1.9884342911980895,[-0.70177789  1.67998207]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-1.9511062953978002,[-0.70177789  0.67998207]
1,-1.862789679387295,[ 2.44850616 -2.16440532]
1,-2.0426322330641757,[1.36275926 1.77302964]
1,-1.882086084884103,[-4.51562033  1.73481565]
1,-2.020375943498494,[ 1.79750979 -1.80350212]
1,-1.8201607683645562,[-5.21497937  1.19499428]
step,fitness,genome
2,-1.986459585835537,[-0.62447747  1.31065793]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.017177402245112,[1.36275926 0.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.020375943498494,[ 1.79750979 -1.80350212]
2,-1.9511062953978002,[-0.70177789  0.67998207]
2,-2.017177402245112,[1.36275926 0.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.017177402245112,[1.36275926 0.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-1.9511062953978002,[-0.70177789  0.67998207]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.020375943498494,[ 1.79750979 -1.80350212]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.017177402245112,[1.36275926 0.77302964]
2,-2.020375943498494,[ 1.79750979 -1.80350212]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.020375943498494,[ 1.79750979 -1.80350212]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.017177402245112,[1.36275926 0.77302964]
2,-2.017177402245112,[1.36275926 0.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-1.928400096757199,[-1.90418717 -0.55431212]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-2.020375943498494,[ 1.79750979 -1.80350212]
2,-1.9511062953978002,[-0.70177789  0.67998207]
2,-2.0426322330641757,[1.36275926 1.77302964]
2,-1.9884342911980895,[-0.70177789  1.67998207]
2,-2.020375943498494,[ 1.79750979 -1.80350212]
2,-2.0426322330641757,[1.36275926 1.77302964]
