step,fitness,genome
0,-1.9597035465236001,[-0.77534507  0.66126959]
0,-1.7419423082312646,[-2.86851111 -1.3262937 ]
0,-1.5115190370811005,[-6.5005079   1.94430568]
0,-1.7322244451991897,[-4.66992903 -2.62029107]
0,-1.572847746484202,[ 4.45362377 -6.77326235]
0,-1.9977448277292362,[-0.6884588   1.12428229]
0,-1.7948344788125357,[-3.67506469  1.02541304]
0,-1.9977448277292362,[-0.6884588   1.12428229]
0,-1.6246070600074654,[-5.54918968 -5.31894724]
0,-1.688951296575824,[-1.72019     8.05920425]
0,-1.2819171289502,[-9.30273036 -2.26092083]
0,-1.473491264375032,[5.92774769 3.63264722]
0,-1.7325692314109853,[ 4.74928473 -0.42678202]
0,-1.73613846329329,[-3.83191644 -4.69260585]
0,-1.734839157027768,[1.97566801 3.51010358]
0,-1.7325692314109853,[ 4.74928473 -0.42678202]
0,-1.5389061131578698,[ 8.68536841 -0.71949509]
0,-2.062213505980615,[-1.30308454  1.31065862]
0,-1.8057026810179895,[-1.72019    -5.31894724]
0,-1.7948344788125357,[-3.67506469  1.02541304]
0,-1.2332869482149182,[-6.36842317 -7.1232321 ]
0,-1.3245833000677942,[-8.40430363  9.89398402]
0,-1.752145211119199,[2.80339601 0.89498721]
0,-2.0287755360155635,[ 1.05628385 -0.90394846]
0,-1.5926943743285027,[-3.79942474  7.73566598]
0,-1.1531821792521013,[ 5.03979862 -6.30451838]
0,-1.7757330098416897,[ 4.14028173 -4.33538622]
0,-1.2857106758124874,[ 7.80372389 -3.07516024]
0,-1.7859905158552112,[-2.24380127  3.84704238]
0,-1.682204105147072,[ 1.46820458 -2.94682829]
0,-1.6355562802834205,[-4.99625126  7.71878145]
0,-2.062213505980615,[-1.30308454  1.31065862]
0,-2.0287755360155635,[ 1.05628385 -0.90394846]
0,-1.4973748131552926,[-4.78416292 -3.01342118]
0,-1.734839157027768,[1.97566801 3.51010358]
0,-1.734839157027768,[1.97566801 3.51010358]
0,-1.8101579567303652,[2.22674935 4.01047237]
0,-1.6860689055021718,[-3.90300086 -0.35604049]
0,-1.8057026810179895,[-1.72019    -5.31894724]
0,-1.9597035465236001,[-0.77534507  0.66126959]
0,-1.6527254307515447,[6.83863278 1.45208608]
0,-1.538261639446408,[-6.84094858 -3.82566928]
0,-1.7322244451991897,[-4.66992903 -2.62029107]
0,-1.7325692314109853,[ 4.74928473 -0.42678202]
0,-1.8057026810179895,[-1.72019    -5.31894724]
0,-1.682204105147072,[ 1.46820458 -2.94682829]
0,-1.7948344788125357,[-3.67506469  1.02541304]
0,-1.5502649205529735,[ 2.869047   -5.39615958]
0,-1.6817094411505442,[8.13147324 1.29494714]
0,-2.0287755360155635,[ 1.05628385 -0.90394846]
0,-1.1163271432562114,[ 6.1875958  -9.03261974]
0,-1.598566894418503,[7.88032021 0.52470363]
0,-1.7859905158552112,[-2.24380127  3.84704238]
0,-1.7419423082312646,[-2.86851111 -1.3262937 ]
0,-1.6343599982202437,[2.90303806 0.58160187]
0,-1.6625620215404233,[-1.85598772 -8.24934516]
