step,fitness,genome
0,-1.666223222993308,[-8.19534217  1.89641841]
0,-1.689687205921676,[5.45568281 4.88235987]
0,-1.5873268609181432,[ 1.86172355 -8.69311313]
0,-1.3471152315274069,[-0.01856188 -2.21638902]
0,-1.9597815346188259,[-2.17134551 -1.90419328]
0,-1.795225412791039,[ 2.5116372  -0.51981821]
0,-1.5783154251763192,[ 5.37225076 -8.0444687 ]
0,-1.5289192009587809,[ 7.27808553 -7.22837865]
0,-1.8492030992049728,[2.56415512 2.02024898]
0,-1.7809005803927715,[ 4.78359462 -4.63273987]
0,-1.5878786436128716,[6.72556834 2.14813346]
0,-1.4719419228956907,[ 5.86818027 -3.54267957]
0,-1.9770512822459412,[-0.73210922 -1.85837849]
0,-1.7034220566007812,[ 7.23769571 -1.35765069]
0,-1.9597815346188259,[-2.17134551 -1.90419328]
0,-1.8492030992049728,[2.56415512 2.02024898]
0,-1.4424286995401159,[-2.91114747 -8.07460435]
0,-1.8084350138530985,[ 4.78165556 -0.70743176]
0,-1.5873268609181432,[ 1.86172355 -8.69311313]
0,-1.7809005803927715,[ 4.78359462 -4.63273987]
0,-1.3949178564065,[ 8.77326918 -6.9274898 ]
0,-1.8492030992049728,[2.56415512 2.02024898]
0,-1.6420266505976875,[4.79492687 7.3245027 ]
0,-1.7854137388318214,[-2.42562247 -4.20802784]
0,-1.5131147688375304,[ 6.50184723 -1.93400343]
0,-1.5783154251763192,[ 5.37225076 -8.0444687 ]
0,-1.4344221499190777,[-8.53532706  0.27095737]
0,-1.7034220566007812,[ 7.23769571 -1.35765069]
0,-1.4424286995401159,[-2.91114747 -8.07460435]
0,-1.848820207458368,[-2.07700356 -4.62239284]
0,-1.7854137388318214,[-2.42562247 -4.20802784]
0,-1.8492030992049728,[2.56415512 2.02024898]
0,-1.5268179167924678,[8.20926156 7.76048806]
0,-1.795225412791039,[ 2.5116372  -0.51981821]
0,-1.4344221499190777,[-8.53532706  0.27095737]
0,-1.735640227940633,[4.50260108 0.40923565]
0,-1.9331062235153063,[-2.25584699  1.99234419]
0,-1.661537378583152,[-8.230147   -1.90681219]
0,-1.9597815346188259,[-2.17134551 -1.90419328]
0,-1.8492030992049728,[2.56415512 2.02024898]
0,-1.6818496222093577,[1.64336561 5.80430706]
0,-1.7034220566007812,[ 7.23769571 -1.35765069]
0,-1.7843637401952428,[-1.72868395 -5.42691099]
0,-1.5065831404866148,[-8.75849872  5.12367298]
0,-1.4344221499190777,[-8.53532706  0.27095737]
0,-1.6509428587579678,[-2.48884534  5.5825305 ]
0,-1.9331062235153063,[-2.25584699  1.99234419]
0,-1.689687205921676,[5.45568281 4.88235987]
0,-1.6818496222093577,[1.64336561 5.80430706]
0,-1.795225412791039,[ 2.5116372  -0.51981821]
0,-1.52836682487753,[-5.34213681  6.81071369]
0,-1.5574967391468255,[8.56428912 4.97819531]
0,-1.8248960949943827,[-2.03946266 -0.33606932]
0,-1.4047813006697432,[ 2.7951638  -8.76482051]
0,-1.8327009757900483,[-1.20428044  5.13368071]
0,-1.7809005803927715,[ 4.78359462 -4.63273987]
0,-1.8492030992049728,[2.56415512 2.02024898]
0,-1.6509428587579678,[-2.48884534  5.5825305 ]
0,-1.7809005803927715,[ 4.78359462 -4.63273987]
0,-1.441947454596272,[-8.99871726  4.09167323]
0,-1.615228834805502,[1.24358098 8.57757373]
0,-1.661537378583152,[-8.230147   -1.90681219]
0,-1.4424286995401159,[-2.91114747 -8.07460435]
0,-1.661537378583152,[-8.230147   -1.90681219]
0,-1.661537378583152,[-8.230147   -1.90681219]
0,-1.666223222993308,[-8.19534217  1.89641841]
0,-1.4848215113232872,[ 7.88529997 -6.85256161]
0,-1.689687205921676,[5.45568281 4.88235987]
0,-1.4424286995401159,[-2.91114747 -8.07460435]
