step,fitness,genome
0,-1.3432678656262696e-08,[5.88115319 6.38688257]
0,-5.7057818804308475e-06,[1.42021391 1.56186607]
0,-6.077818225356377e-197,[-14.45939062  14.99840137]
0,0.0,[ 68.69757247 -39.50230252]
0,-0.0,[81.05969092 74.33978202]
0,-1.3432678656262696e-08,[5.88115319 6.38688257]
0,0.0,[-22.98112254  62.15419125]
0,0.0,[-60.14787022 -29.9933765 ]
0,0.0,[-62.78440586  83.85084912]
0,0.0,[60.2370843   7.16152082]
0,-0.0,[-44.51484251   7.27568847]
0,0.0,[  3.46800852 -36.35303846]
0,-1.3432678656262696e-08,[5.88115319 6.38688257]
0,-0.0,[-52.63188807  40.89445248]
0,0.0,[ 17.50741974 -54.03880807]
0,0.0,[-78.18616974  99.86315649]
0,0.0,[-74.48960084 -33.79891654]
0,-0.0,[20.79058699 78.69681631]
0,-0.0,[-17.09313789  96.88790449]
0,0.0,[-37.99040714  90.32254018]
0,0.0,[-24.81306595 -17.14895051]
0,-6.077818225356377e-197,[-14.45939062  14.99840137]
0,0.0,[-37.99040714  90.32254018]
0,0.0,[-87.45204556 -41.01261496]
0,-0.0,[-17.09313789  96.88790449]
0,-0.0,[-44.51484251   7.27568847]
0,-0.0,[-99.15324278 -89.23701106]
0,-0.0,[ 26.10919831 -36.58213253]
0,-0.0,[86.37704061 52.58581793]
0,0.0,[-78.18616974  99.86315649]
0,0.0,[-60.14787022 -29.9933765 ]
0,-0.0,[-17.09313789  96.88790449]
0,-0.0,[86.37704061 52.58581793]
0,-1.3432678656262696e-08,[5.88115319 6.38688257]
0,0.0,[-97.827052   -63.36096546]
0,0.0,[  9.91655899 -67.63304209]
0,-0.0,[ 42.59508859 -63.7964009 ]
0,-1.3432678656262696e-08,[5.88115319 6.38688257]
0,-0.0,[-39.40945124 -14.40313189]
0,0.0,[-28.68469737 -62.5942072 ]
0,0.0,[ 97.16371854 -69.70415873]
0,-6.077818225356377e-197,[-14.45939062  14.99840137]
0,-0.0,[57.53778121 48.81259079]
0,0.0,[88.80086005 34.00076682]
0,0.0,[-90.19495131 -45.2431467 ]
0,-0.0,[-86.67531104  95.21612236]
0,0.0,[ 80.59340501 -60.70094998]
0,-0.0,[ 37.67581804 -89.38925716]
0,0.0,[ 8.73551157 63.44747739]
0,0.0,[  2.4445915  -81.82862972]
0,0.0,[ 8.73551157 63.44747739]
0,0.0,[ 97.16371854 -69.70415873]
0,0.0,[-99.48788966  16.2141605 ]
0,0.0,[  0.64065913 -66.87025057]
0,-0.0,[-52.63188807  40.89445248]
0,0.0,[ 34.25222154 -68.81181674]
0,-0.0,[-1.38346183 57.21664359]
0,-0.0,[ 79.8765883  -40.52006055]
0,-0.0,[86.37704061 52.58581793]
0,-0.0,[-17.09313789  96.88790449]
0,-0.0,[-99.15324278 -89.23701106]
0,-0.0,[-86.6680986   80.57585079]
0,-0.0,[ 10.64810952 -72.73169433]
0,-0.0,[-16.84910104 -92.48863915]
0,-0.0,[31.07889517 50.37298868]
0,-0.0,[ 37.67581804 -89.38925716]
0,0.0,[ 73.46488332 -18.19779061]
0,0.0,[54.97647569 63.50301012]
0,0.0,[-97.827052   -63.36096546]
0,0.0,[56.12728631  2.6206025 ]
0,0.0,[-33.20620729 -76.15218031]
0,0.0,[-90.19495131 -45.2431467 ]
0,-0.0,[-52.63188807  40.89445248]
0,-6.077818225356377e-197,[-14.45939062  14.99840137]
0,0.0,[ 53.31230327 -51.19425616]
0,0.0,[-70.92653228  57.29013262]
0,0.0,[ 8.73551157 63.44747739]
0,-0.0,[57.53778121 48.81259079]
0,-0.0,[-55.92171839  36.77709538]
0,-0.0,[-26.62839859  76.53330728]
0,0.0,[51.03438614 15.97628938]
0,0.0,[-60.14787022 -29.9933765 ]
0,0.0,[ 8.73551157 63.44747739]
0,-0.0,[57.53778121 48.81259079]
0,-0.0,[57.53778121 48.81259079]
0,-0.0,[ 69.94331025 -94.30366993]
0,-0.0,[-40.35435217   8.17407951]
0,-6.077818225356377e-197,[-14.45939062  14.99840137]
0,-0.0,[ 79.8765883  -40.52006055]
0,-0.0,[55.06368446 39.25507312]
0,0.0,[ 73.46488332 -18.19779061]
0,-0.0,[ 42.59508859 -63.7964009 ]
0,0.0,[-60.14787022 -29.9933765 ]
0,-0.0,[-39.40945124 -14.40313189]
0,0.0,[-78.18616974  99.86315649]
0,0.0,[-90.19495131 -45.2431467 ]
0,-0.0,[81.05969092 74.33978202]
0,-0.0,[-52.63188807  40.89445248]
0,-0.0,[86.37704061 52.58581793]
0,-0.0,[ 79.8765883  -40.52006055]
step,fitness,genome
1,0.0,[ 17.50741974 -54.03880807]
1,-0.0,[57.53778121 48.81259079]
1,-0.0,[57.53778121 48.81259079]
1,-0.0,[81.05969092 74.33978202]
1,-0.0,[ 42.59508859 -63.7964009 ]
1,0.0,[ 68.69757247 -39.50230252]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,0.0,[-62.78440586  83.85084912]
1,-0.0,[-52.63188807  40.89445248]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,-0.0,[86.37704061 52.58581793]
1,-0.0,[57.53778121 48.81259079]
1,-1.3432678656262696e-08,[5.88115319 6.38688257]
1,0.0,[-22.98112254  62.15419125]
1,0.0,[-22.98112254  62.15419125]
1,-0.0,[86.37704061 52.58581793]
1,0.0,[ 8.73551157 63.44747739]
1,-0.0,[-99.15324278 -89.23701106]
1,0.0,[ 8.73551157 63.44747739]
1,-0.0,[-52.63188807  40.89445248]
1,-0.0,[-17.09313789  96.88790449]
1,0.0,[56.12728631  2.6206025 ]
1,-0.0,[-52.63188807  40.89445248]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,-0.0,[-39.40945124 -14.40313189]
1,0.0,[-62.78440586  83.85084912]
1,-0.0,[57.53778121 48.81259079]
1,-1.3432678656262696e-08,[5.88115319 6.38688257]
1,-0.0,[-86.6680986   80.57585079]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,-0.0,[ 37.67581804 -89.38925716]
1,-0.0,[ 10.64810952 -72.73169433]
1,-1.3432678656262696e-08,[5.88115319 6.38688257]
1,0.0,[88.80086005 34.00076682]
1,0.0,[-78.18616974  99.86315649]
1,-0.0,[ 37.67581804 -89.38925716]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,-0.0,[-17.09313789  96.88790449]
1,-0.0,[ 69.94331025 -94.30366993]
1,-0.0,[-17.09313789  96.88790449]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,0.0,[  2.4445915  -81.82862972]
1,0.0,[ 80.59340501 -60.70094998]
1,0.0,[-60.14787022 -29.9933765 ]
1,-0.0,[ 26.10919831 -36.58213253]
1,-0.0,[-52.63188807  40.89445248]
1,-0.0,[86.37704061 52.58581793]
1,0.0,[-90.19495131 -45.2431467 ]
1,-0.0,[-52.63188807  40.89445248]
1,0.0,[-37.99040714  90.32254018]
1,-5.7057818804308475e-06,[1.42021391 1.56186607]
1,-1.3432678656262696e-08,[5.88115319 6.38688257]
1,0.0,[ 8.73551157 63.44747739]
1,-1.3432678656262696e-08,[5.88115319 6.38688257]
1,-1.3432678656262696e-08,[5.88115319 6.38688257]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,0.0,[-60.14787022 -29.9933765 ]
1,-1.3432678656262696e-08,[5.88115319 6.38688257]
1,0.0,[ 8.73551157 63.44747739]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,0.0,[-90.19495131 -45.2431467 ]
1,0.0,[-60.14787022 -29.9933765 ]
1,0.0,[54.97647569 63.50301012]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,-0.0,[81.05969092 74.33978202]
1,0.0,[-87.45204556 -41.01261496]
1,-0.0,[-86.6680986   80.57585079]
1,-0.0,[ 79.8765883  -40.52006055]
1,-0.0,[-86.6680986   80.57585079]
1,0.0,[  2.4445915  -81.82862972]
1,-0.0,[ 42.59508859 -63.7964009 ]
1,-0.0,[-16.84910104 -92.48863915]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,-0.0,[-52.63188807  40.89445248]
1,0.0,[-33.20620729 -76.15218031]
1,-0.0,[ 1.90686211 96.88790449]
1,0.0,[ 8.73551157 63.44747739]
1,0.0,[-62.78440586  83.85084912]
1,-0.0,[-39.40945124 -14.40313189]
1,-0.0,[-39.40945124 -14.40313189]
1,-0.0,[ 79.8765883  -40.52006055]
1,-0.0,[-39.40945124 -14.40313189]
1,-1.3432678656262696e-08,[5.88115319 6.38688257]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,-0.0,[-52.63188807  40.89445248]
1,0.0,[-37.99040714  90.32254018]
1,-0.0,[57.53778121 48.81259079]
1,-0.0,[-86.6680986   80.57585079]
1,0.0,[ 97.16371854 -69.70415873]
1,-1.3432678656262696e-08,[5.88115319 6.38688257]
1,0.0,[60.2370843   7.16152082]
1,0.0,[-90.19495131 -45.2431467 ]
1,-0.0,[20.79058699 78.69681631]
1,-1.3432678656262696e-08,[5.88115319 6.38688257]
1,-6.077818225356377e-197,[-14.45939062  14.99840137]
1,-0.0,[86.37704061 52.58581793]
1,-0.0,[31.07889517 50.37298868]
1,0.0,[-90.19495131 -45.2431467 ]
step,fitness,genome
2,-0.0,[-99.15324278 -89.23701106]
2,-0.0,[ 37.67581804 -89.38925716]
2,0.0,[ 80.59340501 -60.70094998]
2,-0.0,[-52.63188807  40.89445248]
2,-1.3432678656262696e-08,[5.88115319 6.38688257]
2,-6.077818225356377e-197,[-14.45939062  14.99840137]
2,-1.3432678656262696e-08,[5.88115319 6.38688257]
2,-1.3432678656262696e-08,[5.88115319 6.38688257]
2,-0.0,[57.53778121 48.81259079]
2,-0.0,[-17.09313789  96.88790449]
2,-6.077818225356377e-197,[-14.45939062  14.99840137]
