step,fitness,genome
0,0.0,[-19.92319713 -73.39390909]
0,-0.0,[-29.63840431 -98.30996644]
0,0.0,[-21.50798157  62.62127509]
0,0.0,[ 95.04736482 -15.40110542]
0,0.0,[ 65.47186919 -45.24719683]
0,-0.0,[-14.91962506  77.00867981]
0,-0.0,[99.98959429 99.88803192]
0,-0.0,[93.22956944  5.13006949]
0,-1.0041493131252376e-190,[23.91964949  1.30358823]
0,0.0,[-79.80524502  25.29486696]
0,0.0,[77.81476782 68.01120503]
0,0.0,[-53.60764379   7.00741627]
0,0.0,[-42.54900326 -96.16995672]
0,0.0,[-30.02488574 -34.69895409]
0,-0.0,[ -4.79754154 -25.54787789]
0,-0.0,[ 96.54415428 -73.57639676]
0,0.0,[-44.09248646 -35.01651956]
0,0.0,[-21.50798157  62.62127509]
0,0.0,[59.3963262   0.71300238]
0,0.0,[-95.61706886 -41.82809538]
0,-0.0,[-53.29383322  53.41149368]
0,0.0,[ 96.54415428 -25.54787789]
0,-0.0,[18.63893405 32.67641449]
0,0.0,[-87.82002488 -98.32431907]
0,0.0,[-72.08981625  76.43393394]
0,0.0,[-57.9539686  -33.07748344]
0,-0.0,[ 16.21868015 -21.39569605]
0,0.0,[-66.99759311 -93.67884206]
0,-0.0,[51.77355431 25.5606371 ]
0,-0.0,[59.3963262  77.71300238]
0,-0.0,[-29.78840283  10.47673108]
0,1.4593531857887244e-234,[-19.92319713   1.60609091]
0,-0.0,[93.22956944  5.13006949]
0,0.0,[ 64.78856595 -75.09196792]
0,-3.95618524363806e-259,[ -5.83454405 -19.53142929]
0,0.0,[ 85.69405731 -57.44644689]
0,-0.0,[ 0.98959429 99.88803192]
0,0.0,[-37.26044827  91.32363794]
0,-2.501717378096364e-124,[ 5.39530944 19.82928961]
0,0.0,[-57.9539686  -33.07748344]
0,0.0,[ 95.04736482 -15.40110542]
0,0.0,[-49.84773004 -27.03461383]
0,-0.0,[59.3963262  77.71300238]
0,-0.0,[ 57.67912003 -24.72825518]
0,-0.0,[ 57.67912003 -24.72825518]
0,3.8044484298596493e-16,[8.09547615 0.05418066]
0,0.0,[-48.38731194   1.4659817 ]
0,0.0,[-41.22977171 -68.52622189]
0,-0.0,[65.47186919 77.00867981]
0,-0.0,[45.12722676 86.86294742]
0,-0.0,[-65.39245223 -73.13522772]
0,0.0,[-32.48972565 -10.60301122]
0,0.0,[41.78511363 32.71685579]
0,-0.0,[-12.60559753  51.02210331]
0,0.0,[-13.54243102 -84.75146998]
0,0.0,[  4.80614144 -35.22946966]
0,-0.0,[ 33.63556065 -73.39390909]
0,-0.0,[-19.92319713 -44.91645897]
0,-0.0,[ 23.91964949 -55.69641177]
0,-0.0,[51.77355431 25.5606371 ]
0,-0.0,[45.12722676 86.86294742]
0,0.0,[-49.84773004 -27.03461383]
0,0.0,[ 76.45773017 -33.55210349]
0,-0.0,[ 93.2725577  -94.49232006]
0,-0.0,[50.1896601  17.42470753]
0,-0.0,[-87.81284205 -56.25201618]
0,0.0,[37.91368464 77.89388004]
0,-4.5813556551121835e-125,[ 11.93090591 -11.2633496 ]
0,2.5900581024774117e-05,[1.49201843 1.62127509]
0,-0.0,[ 16.21868015 -21.39569605]
0,0.0,[ 31.41434398 -35.13627386]
0,0.0,[-13.54243102 -84.75146998]
0,0.0,[ 50.9108395  -27.11034556]
0,0.0,[14.73912022 76.37932715]
