step,fitness,genome
0,0.0,[ 91.11710822 -12.35797198]
0,-0.0,[ 35.9272358  -52.00544799]
0,-0.0,[58.59411217 16.21144537]
0,-0.0,[58.59411217 16.21144537]
0,-0.0,[-57.88231281 -19.47232452]
0,0.0,[-84.04730578  89.01022823]
0,0.0,[ 83.09877659 -28.82426063]
0,0.0,[-80.07633685  32.50106728]
0,-0.0,[ 35.9272358  -52.00544799]
0,0.0,[51.71392967 95.95136461]
0,0.0,[-84.04730578  89.01022823]
0,-0.0,[ 35.9272358  -52.00544799]
0,-0.0,[ 98.63433694 -48.20261569]
0,0.0,[-84.04730578  89.01022823]
0,-0.0,[52.82387394 29.13981574]
0,0.0,[-75.60237672 -77.26081814]
0,-0.0,[ 98.63433694 -48.20261569]
0,-0.0,[-56.30923339 -95.17285645]
0,-0.0,[37.02048466 32.4229644 ]
0,-0.0,[-14.77430511 -45.94238229]
0,-0.0,[ 97.70445198 -33.37568889]
0,0.0,[-80.07633685  32.50106728]
0,0.0,[-7.72782128 91.59827209]
0,0.0,[-80.07633685  32.50106728]
0,-0.0,[52.82387394 29.13981574]
step,fitness,genome
1,-0.0,[52.82387394 29.13981574]
1,-0.0,[ 98.63433694 -48.20261569]
1,-0.0,[ 35.9272358  -52.00544799]
1,-0.0,[-57.88231281 -19.47232452]
1,0.0,[-80.07633685  32.50106728]
1,-0.0,[-14.77430511 -45.94238229]
1,-0.0,[52.82387394 29.13981574]
1,0.0,[ 83.09877659 -28.82426063]
1,0.0,[-80.07633685  32.50106728]
1,0.0,[-80.07633685  32.50106728]
1,-0.0,[-57.88231281 -19.47232452]
1,0.0,[-80.07633685  32.50106728]
1,0.0,[-84.04730578  89.01022823]
1,-0.0,[ 35.9272358  -52.00544799]
1,0.0,[ 83.09877659 -28.82426063]
1,-0.0,[ 35.9272358  -52.00544799]
1,-0.0,[ 35.9272358  -52.00544799]
1,-0.0,[ 98.63433694 -48.20261569]
1,-0.0,[ 98.63433694 -48.20261569]
1,-0.0,[-14.77430511 -45.94238229]
1,0.0,[-84.04730578  89.01022823]
1,-0.0,[ 98.63433694 -48.20261569]
1,0.0,[-7.72782128 91.59827209]
1,0.0,[-80.07633685  32.50106728]
1,0.0,[-80.07633685  32.50106728]
step,fitness,genome
2,-0.0,[52.82387394 29.13981574]
2,0.0,[ 83.09877659 -28.82426063]
2,-0.0,[ 98.63433694 -48.20261569]
2,0.0,[-80.07633685  32.50106728]
2,-0.0,[-57.88231281 -19.47232452]
2,-0.0,[-57.88231281 -19.47232452]
2,-0.0,[ 98.63433694 -48.20261569]
2,-0.0,[ 35.9272358  -52.00544799]
2,-0.0,[ 98.63433694 -48.20261569]
2,-0.0,[ 98.63433694 -48.20261569]
2,0.0,[-80.07633685  32.50106728]
2,-0.0,[ 35.9272358  -52.00544799]
2,0.0,[-80.07633685  32.50106728]
2,-0.0,[ 98.63433694 -48.20261569]
2,-0.0,[ 35.9272358  -52.00544799]
2,-0.0,[ 98.63433694 -48.20261569]
2,0.0,[-80.07633685  32.50106728]
2,-0.0,[-14.77430511 -45.94238229]
2,0.0,[-80.07633685  32.50106728]
2,0.0,[-80.07633685  32.50106728]
2,-0.0,[ 35.9272358  -52.00544799]
2,-0.0,[ 98.63433694 -48.20261569]
2,-0.0,[ 35.9272358  -52.00544799]
2,-0.0,[-57.88231281 -19.47232452]
2,0.0,[-80.07633685  32.50106728]
step,fitness,genome
3,-0.0,[ 98.63433694 -48.20261569]
3,-0.0,[ 98.63433694 -48.20261569]
3,-0.0,[52.82387394 29.13981574]
3,-0.0,[ 98.63433694 -48.20261569]
3,-0.0,[52.82387394 29.13981574]
3,0.0,[-80.07633685  32.50106728]
3,-0.0,[-14.77430511 -45.94238229]
3,-0.0,[ 98.63433694 -48.20261569]
3,-0.0,[-14.77430511 -45.94238229]
3,-0.0,[-57.88231281 -19.47232452]
3,0.0,[-80.07633685  32.50106728]
3,-0.0,[ 98.63433694 -48.20261569]
3,-0.0,[ 98.63433694 -48.20261569]
3,0.0,[-80.07633685  32.50106728]
3,-0.0,[ 35.9272358  -52.00544799]
3,-0.0,[ 35.9272358  -52.00544799]
3,-0.0,[-14.77430511 -45.94238229]
3,-0.0,[ 35.9272358  -52.00544799]
3,-0.0,[ 98.63433694 -48.20261569]
3,-0.0,[-57.88231281 -19.47232452]
3,-0.0,[ 98.63433694 -48.20261569]
3,-0.0,[ 35.9272358  -52.00544799]
3,0.0,[-80.07633685  32.50106728]
3,-0.0,[ 98.63433694 -48.20261569]
3,-0.0,[ 98.63433694 -48.20261569]
step,fitness,genome
4,-0.0,[ 98.63433694 -48.20261569]
4,-0.0,[ 98.63433694 -48.20261569]
4,0.0,[-80.07633685  32.50106728]
4,-0.0,[ 98.63433694 -48.20261569]
4,-0.0,[ 35.9272358  -52.00544799]
4,-0.0,[ 35.9272358  -52.00544799]
4,-0.0,[-14.77430511 -45.94238229]
4,-0.0,[ 35.9272358  -52.00544799]
4,-0.0,[ 35.9272358  -52.00544799]
4,-0.0,[ 98.63433694 -48.20261569]
4,-0.0,[ 98.63433694 -48.20261569]
