step,fitness,genome
0,-0.0,[ 62.08910346 -69.27758364]
0,-0.0,[ 64.40962038 -34.05865846]
0,0.0,[-21.74864598  32.5239683 ]
0,0.0,[46.00725443 38.29069325]
0,0.0,[92.37464818 94.26528907]
0,0.0,[-80.08154501  -7.66420323]
0,1.9221454899187963e-125,[20.04445003  3.69098822]
0,-4.549361619780867e-13,[8.23774855 4.09795833]
0,0.0,[ 98.31313487 -68.24095053]
0,0.0,[ 92.43170769 -44.59155006]
0,-0.0,[92.37464818 47.15031046]
0,-0.0,[36.16923417 94.26528907]
0,-0.0,[-35.97256201 -15.07034008]
0,0.0,[-66.59083803  62.99306884]
0,0.0,[98.91710107 38.29069325]
0,0.0,[ 46.00725443 -44.08231906]
0,5.926535598861296e-17,[5.33180796 8.78075673]
0,-0.0,[-73.11069811 -39.81016629]
0,-0.0,[ 90.42010572 -86.13506947]
0,-0.0,[-92.95434113 -99.36549362]
0,-0.0,[-35.97256201 -15.07034008]
0,0.0,[ 66.45235731 -88.50406117]
0,0.0,[-26.60620909  77.12714693]
0,-0.0,[ 76.12017833 -50.17618314]
0,-0.0,[ 81.72348285 -13.94560642]
0,0.0,[37.42168231 84.47107909]
0,-0.0,[ 76.12017833 -50.17618314]
0,-0.0,[39.28466098 42.29576489]
0,0.0,[-21.74864598  32.5239683 ]
0,-4.549361619780867e-13,[8.23774855 4.09795833]
0,-0.0,[-91.81144021  29.63115613]
0,-0.0,[-43.13441466  94.82888678]
0,0.0,[-78.48054808  12.39678235]
0,-0.0,[-86.08840657 -53.50606388]
0,-0.0,[-77.9239303  -79.04289391]
0,0.0,[-78.48054808  12.39678235]
0,-0.0,[-86.08840657 -53.50606388]
0,-0.0,[-27.62901468  77.82599563]
0,0.0,[ 64.40962038 -99.36549362]
0,0.0,[-92.95434113 -34.05865846]
0,0.0,[  5.33180796 -39.81016629]
0,0.0,[37.42168231 84.47107909]
0,0.0,[76.12017833 67.21939217]
0,0.0,[-85.05409876 -50.17618314]
0,0.0,[-80.08154501  -7.66420323]
0,0.0,[-61.86273773  54.735357  ]
0,-0.0,[-92.95434113 -99.36549362]
0,0.0,[37.42168231 84.47107909]
0,0.0,[-48.00577155 -12.4833511 ]
0,-0.0,[-52.09769499  96.50494302]
step,fitness,genome
1,-0.0,[36.16923417 94.26528907]
1,-0.0,[92.37464818 47.15031046]
1,0.0,[-85.05409876 -50.17618314]
1,-0.0,[ 76.12017833 -50.17618314]
1,0.0,[-66.59083803  62.99306884]
1,0.0,[-78.48054808  12.39678235]
1,-0.0,[92.37464818 47.15031046]
1,0.0,[-80.08154501  -7.66420323]
1,0.0,[ 46.00725443 -44.08231906]
1,0.0,[-92.95434113 -34.05865846]
1,0.0,[-92.95434113  77.82599563]
1,-0.0,[-27.62901468 -34.05865846]
1,-4.549361619780867e-13,[8.23774855 4.09795833]
1,-4.549361619780867e-13,[8.23774855 4.09795833]
1,-0.0,[-35.97256201 -15.07034008]
1,0.0,[-21.74864598  32.5239683 ]
1,0.0,[37.42168231 84.47107909]
1,0.0,[37.42168231 84.47107909]
1,0.0,[-85.05409876 -50.17618314]
1,0.0,[ 66.45235731 -88.50406117]
1,0.0,[ 8.23774855 94.82888678]
1,0.0,[-43.13441466   4.09795833]
1,-0.0,[92.37464818 47.15031046]
1,0.0,[46.00725443 38.29069325]
1,0.0,[-78.48054808  12.39678235]
1,-0.0,[39.28466098 42.29576489]
1,-0.0,[ 90.42010572 -86.13506947]
1,0.0,[-80.08154501  -7.66420323]
1,0.0,[46.00725443 38.29069325]
1,0.0,[46.00725443 38.29069325]
1,0.0,[-26.60620909  77.12714693]
1,0.0,[37.42168231 84.47107909]
1,-0.0,[-86.08840657 -53.50606388]
1,-4.549361619780867e-13,[8.23774855 4.09795833]
1,-0.0,[36.16923417 94.26528907]
1,-0.0,[-86.08840657 -53.50606388]
1,-0.0,[92.37464818 47.15031046]
1,-0.0,[ 76.12017833 -50.17618314]
1,0.0,[ 98.31313487 -68.24095053]
1,0.0,[-85.05409876 -50.17618314]
1,-0.0,[39.28466098 42.29576489]
1,-0.0,[-52.09769499  96.50494302]
1,0.0,[37.42168231 84.47107909]
1,-0.0,[-86.08840657 -53.50606388]
1,0.0,[ 92.43170769 -44.59155006]
1,0.0,[-85.05409876 -50.17618314]
1,-0.0,[-92.95434113 -99.36549362]
1,-0.0,[-92.95434113 -99.36549362]
1,-0.0,[-80.08154501  54.735357  ]
1,-0.0,[-61.86273773  -7.66420323]
step,fitness,genome
2,0.0,[-92.95434113 -34.05865846]
2,0.0,[37.42168231 84.47107909]
2,0.0,[37.42168231 84.47107909]
2,0.0,[-80.08154501  -7.66420323]
2,0.0,[-92.95434113  77.82599563]
2,-0.0,[-86.08840657 -53.50606388]
2,-4.549361619780867e-13,[8.23774855 4.09795833]
2,-0.0,[-86.08840657 -53.50606388]
2,-0.0,[-80.08154501  54.735357  ]
2,0.0,[46.00725443 38.29069325]
2,0.0,[-92.95434113 -34.05865846]
2,0.0,[-85.05409876 -50.17618314]
2,-0.0,[ 90.42010572 -86.13506947]
2,-0.0,[-86.08840657 -53.50606388]
2,-0.0,[-61.86273773  -7.66420323]
2,0.0,[-78.48054808  12.39678235]
2,0.0,[37.42168231 84.47107909]
2,-0.0,[92.37464818 47.15031046]
2,0.0,[-85.05409876 -50.17618314]
2,0.0,[-80.08154501  -7.66420323]
2,0.0,[-78.48054808  12.39678235]
2,-0.0,[36.16923417 94.26528907]
2,0.0,[ 36.16923417 -53.50606388]
2,0.0,[-86.08840657  94.26528907]
2,0.0,[ 98.31313487 -68.24095053]
2,-0.0,[92.37464818 47.15031046]
2,-0.0,[-66.59083803  47.15031046]
2,0.0,[92.37464818 62.99306884]
2,0.0,[-26.60620909  77.12714693]
2,0.0,[-21.74864598  32.5239683 ]
2,-0.0,[92.37464818 96.50494302]
2,-0.0,[-52.09769499  47.15031046]
2,-0.0,[-85.05409876 -53.50606388]
2,0.0,[-86.08840657 -50.17618314]
2,-4.549361619780867e-13,[8.23774855 4.09795833]
2,-0.0,[39.28466098 42.29576489]
2,-0.0,[-27.62901468 -34.05865846]
2,0.0,[ 98.31313487 -68.24095053]
2,0.0,[ 98.31313487 -68.24095053]
2,-0.0,[-61.86273773  -7.66420323]
2,-0.0,[-86.08840657 -53.50606388]
2,-0.0,[92.37464818 47.15031046]
2,-0.0,[39.28466098 42.29576489]
2,-0.0,[ 90.42010572 -86.13506947]
2,-0.0,[36.16923417 94.26528907]
2,-4.549361619780867e-13,[8.23774855 4.09795833]
2,-0.0,[92.37464818 47.15031046]
2,-0.0,[-61.86273773  -7.66420323]
2,0.0,[37.42168231 84.47107909]
2,0.0,[ 98.31313487 -68.24095053]
step,fitness,genome
3,-0.0,[-61.86273773  -7.66420323]
3,-0.0,[-85.05409876 -53.50606388]
3,-0.0,[92.37464818 47.15031046]
3,0.0,[92.37464818 62.99306884]
3,-0.0,[92.37464818 47.15031046]
3,0.0,[46.00725443 38.29069325]
3,-0.0,[-66.59083803  47.15031046]
3,-0.0,[-61.86273773  -7.66420323]
3,-0.0,[36.16923417 94.26528907]
3,0.0,[-80.08154501  -7.66420323]
3,-0.0,[92.37464818 96.50494302]
3,-4.549361619780867e-13,[8.23774855 4.09795833]
3,-4.549361619780867e-13,[8.23774855 4.09795833]
3,-0.0,[-86.08840657 -53.50606388]
3,-0.0,[39.28466098 42.29576489]
3,-4.549361619780867e-13,[8.23774855 4.09795833]
3,0.0,[ 98.31313487 -68.24095053]
3,-0.0,[92.37464818 47.15031046]
3,-4.549361619780867e-13,[8.23774855 4.09795833]
3,-0.0,[92.37464818 47.15031046]
3,-0.0,[-52.09769499  47.15031046]
3,-0.0,[-66.59083803  47.15031046]
3,0.0,[37.42168231 84.47107909]
3,0.0,[92.37464818 62.99306884]
3,-0.0,[36.16923417 94.26528907]
3,-4.549361619780867e-13,[8.23774855 4.09795833]
3,0.0,[37.42168231 84.47107909]
3,0.0,[ 36.16923417 -53.50606388]
3,0.0,[37.42168231 84.47107909]
3,0.0,[ 98.31313487 -68.24095053]
3,0.0,[-85.05409876 -50.17618314]
3,0.0,[-80.08154501  -7.66420323]
3,-0.0,[92.37464818 47.15031046]
3,0.0,[46.00725443 38.29069325]
3,-0.0,[36.16923417 94.26528907]
3,0.0,[-85.05409876 -50.17618314]
3,0.0,[46.00725443 38.29069325]
3,0.0,[37.42168231 84.47107909]
3,-0.0,[36.16923417 94.26528907]
3,-4.549361619780867e-13,[8.23774855 4.09795833]
3,0.0,[37.42168231 84.47107909]
3,0.0,[-86.08840657  94.26528907]
3,0.0,[-26.60620909  77.12714693]
3,-0.0,[-86.08840657 -53.50606388]
3,0.0,[-86.08840657  94.26528907]
3,-4.549361619780867e-13,[8.23774855 4.09795833]
3,0.0,[ 98.31313487 -68.24095053]
3,-4.549361619780867e-13,[8.23774855 4.09795833]
3,-0.0,[92.37464818 47.15031046]
3,0.0,[-92.95434113 -34.05865846]
step,fitness,genome
4,0.0,[46.00725443 38.29069325]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-0.0,[92.37464818 47.15031046]
4,-0.0,[-52.09769499  47.15031046]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-0.0,[  8.23774855 -53.50606388]
4,-0.0,[-86.08840657   4.09795833]
4,-0.0,[36.16923417 94.26528907]
4,-0.0,[92.37464818 47.15031046]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-0.0,[-86.08840657  47.15031046]
4,-0.0,[ 92.37464818 -53.50606388]
4,-0.0,[36.16923417 94.26528907]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-0.0,[-66.59083803  47.15031046]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,0.0,[-86.08840657  94.26528907]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-0.0,[ 8.23774855 47.15031046]
4,-0.0,[-66.59083803   4.09795833]
4,0.0,[-92.95434113 -34.05865846]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,0.0,[ 98.31313487 -68.24095053]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,0.0,[-80.08154501  -7.66420323]
4,0.0,[37.42168231 84.47107909]
4,0.0,[46.00725443 38.29069325]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-0.0,[92.37464818 47.15031046]
4,0.0,[-26.60620909  77.12714693]
4,0.0,[-80.08154501  -7.66420323]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,0.0,[46.00725443 38.29069325]
4,0.0,[92.37464818 62.99306884]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,0.0,[ 36.16923417 -53.50606388]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-0.0,[-85.05409876 -53.50606388]
4,0.0,[-86.08840657 -50.17618314]
4,-4.549361619780867e-13,[8.23774855 4.09795833]
4,-0.0,[-86.08840657 -53.50606388]
step,fitness,genome
5,0.0,[-92.95434113 -34.05865846]
5,-4.549361619780867e-13,[8.23774855 4.09795833]
5,-0.0,[92.37464818 47.15031046]
5,-4.549361619780867e-13,[8.23774855 4.09795833]
5,-4.549361619780867e-13,[8.23774855 4.09795833]
5,-4.549361619780867e-13,[8.23774855 4.09795833]
