step,fitness,genome
0,-331.6360352496746,[366.06284091 141.11890982]
0,-472.2160989179198,[-419.68077961  404.32946663]
0,-585.2257200022049,[-451.46537541 -358.12711486]
0,-174.57317962688913,[-287.4962263   189.76705739]
0,52.06390310763847,[-210.28472351 -438.09212504]
0,450.80293270447453,[ 306.57078349 -272.3143396 ]
0,-381.36482465496465,[-363.71263981 -377.56299755]
0,-567.737933502716,[ 452.55781678 -287.68692487]
0,-452.71386381304137,[-148.88678553  449.51041891]
0,-315.6882963775976,[ 261.93745459 -190.92113387]
0,-613.2496488283708,[-361.70274313 -387.31361573]
0,-390.09428219427144,[-124.87197186 -501.88719595]
0,-477.17724405624773,[ 318.01146176 -468.16372195]
0,-452.71386381304137,[-148.88678553  449.51041891]
0,-377.60915503928686,[-504.61748297  293.0548384 ]
0,-406.02423127501845,[-273.30508086  263.55416363]
0,43.637210330909824,[-13.02009558  59.24674358]
0,-472.2160989179198,[-419.68077961  404.32946663]
0,-281.1564242000579,[-210.28472351 -272.3143396 ]
0,-341.76798298936586,[223.79221192 226.13508268]
0,-743.0272294708152,[469.96415672 475.48382883]
0,-331.6360352496746,[366.06284091 141.11890982]
0,-341.76798298936586,[223.79221192 226.13508268]
0,-567.737933502716,[ 452.55781678 -287.68692487]
0,-377.8602027255911,[ 107.16261846 -381.17095802]
0,-477.17724405624773,[ 318.01146176 -468.16372195]
0,-375.59751585784915,[362.44933675 244.22233834]
0,-195.32843810765246,[-66.30708636 361.86688395]
0,-61.24791943068301,[ 51.61477788 165.87721199]
0,-197.67024970181967,[503.33176362 250.74573382]
0,-381.36482465496465,[-363.71263981 -377.56299755]
0,-331.6360352496746,[366.06284091 141.11890982]
0,-174.57317962688913,[-287.4962263   189.76705739]
0,-183.04828516928634,[ 306.57078349 -438.09212504]
0,-477.17724405624773,[ 318.01146176 -468.16372195]
0,-315.6882963775976,[ 261.93745459 -190.92113387]
0,-377.8602027255911,[ 107.16261846 -381.17095802]
0,-301.26528843383323,[-320.6541097   -70.16699143]
0,-381.36482465496465,[-363.71263981 -377.56299755]
0,-377.60915503928686,[-504.61748297  293.0548384 ]
0,-297.13889075859987,[ 58.15926098 375.8262559 ]
0,-377.60915503928686,[-504.61748297  293.0548384 ]
0,101.98100676409234,[  44.25422179 -142.57477299]
0,-375.59751585784915,[362.44933675 244.22233834]
0,514.130366054107,[ 223.79221192 -358.12711486]
0,286.46497723741413,[-451.46537541  226.13508268]
