step,fitness,genome
0,-183.3186558126277,[  42.80017307 -192.76134027]
0,-183.3186558126277,[  42.80017307 -192.76134027]
0,-231.48235541764063,[ 213.96363525 -501.92090733]
0,-232.46470851600517,[-455.74184374    0.66462917]
0,24.454713436982928,[-210.94667891  426.58769119]
0,169.90183696493563,[318.110525     0.36181702]
0,-14.372946692792553,[ -74.39660125 -114.25697493]
0,-135.47780790067924,[ 245.71918753 -218.59167297]
0,-348.7108193517276,[485.4702721  400.47511686]
0,-589.8619851779126,[ 253.65765006 -497.6900357 ]
0,-348.7108193517276,[485.4702721  400.47511686]
0,-135.47780790067924,[ 245.71918753 -218.59167297]
0,-232.46470851600517,[-455.74184374    0.66462917]
0,-183.3186558126277,[  42.80017307 -192.76134027]
0,-117.22345520120739,[-14.11276041 138.37773594]
0,-495.0731958102232,[ 431.31333907 -294.18350106]
0,-459.6521696175763,[-354.15302467  492.87436691]
0,-459.6521696175763,[-354.15302467  492.87436691]
0,163.47834421467292,[ -76.69098435 -474.02786716]
0,-213.16986172505557,[-134.83233226   93.00547218]
0,-495.0731958102232,[ 431.31333907 -294.18350106]
0,-348.7108193517276,[485.4702721  400.47511686]
0,-495.0731958102232,[ 431.31333907 -294.18350106]
0,-633.6184646221473,[-288.39270594  495.25443553]
0,-348.7108193517276,[485.4702721  400.47511686]
step,fitness,genome
1,-232.46470851600517,[-455.74184374    0.66462917]
1,-232.46470851600517,[-455.74184374    0.66462917]
1,-348.7108193517276,[485.4702721  400.47511686]
1,-14.372946692792553,[ -74.39660125 -114.25697493]
1,-183.3186558126277,[  42.80017307 -192.76134027]
1,-459.6521696175763,[-354.15302467  492.87436691]
1,-348.7108193517276,[485.4702721  400.47511686]
1,-213.16986172505557,[-134.83233226   93.00547218]
1,-495.0731958102232,[ 431.31333907 -294.18350106]
1,-495.0731958102232,[ 431.31333907 -294.18350106]
1,-117.22345520120739,[-14.11276041 138.37773594]
1,-459.6521696175763,[-354.15302467  492.87436691]
1,-633.6184646221473,[-288.39270594  495.25443553]
1,-495.0731958102232,[ 431.31333907 -294.18350106]
1,-348.7108193517276,[485.4702721  400.47511686]
1,-348.7108193517276,[485.4702721  400.47511686]
1,24.454713436982928,[-210.94667891  426.58769119]
1,-183.3186558126277,[  42.80017307 -192.76134027]
1,-495.0731958102232,[ 431.31333907 -294.18350106]
1,-495.0731958102232,[ 431.31333907 -294.18350106]
1,-348.7108193517276,[485.4702721  400.47511686]
1,-633.6184646221473,[-288.39270594  495.25443553]
1,-232.46470851600517,[-455.74184374    0.66462917]
1,-348.7108193517276,[485.4702721  400.47511686]
1,-495.0731958102232,[ 431.31333907 -294.18350106]
step,fitness,genome
2,-495.0731958102232,[ 431.31333907 -294.18350106]
2,-232.46470851600517,[-455.74184374    0.66462917]
2,-633.6184646221473,[-288.39270594  495.25443553]
2,-232.46470851600517,[-455.74184374    0.66462917]
2,-348.7108193517276,[485.4702721  400.47511686]
2,-348.7108193517276,[485.4702721  400.47511686]
2,-495.0731958102232,[ 431.31333907 -294.18350106]
2,-348.7108193517276,[485.4702721  400.47511686]
2,-633.6184646221473,[-288.39270594  495.25443553]
2,-633.6184646221473,[-288.39270594  495.25443553]
2,-348.7108193517276,[485.4702721  400.47511686]
2,379.5909686042831,[-354.15302467    1.87436691]
2,-495.0731958102232,[ 431.31333907 -294.18350106]
2,-348.7108193517276,[485.4702721  400.47511686]
