step,fitness,genome
0,379.9142875777608,[-41.3693904 496.1323142]
0,152.9556199416552,[-234.75336308  113.89671114]
0,-169.92397833833948,[151.21806129  40.95948308]
0,-284.6485472578994,[ 83.2754241  342.98296389]
0,-284.6485472578994,[ 83.2754241  342.98296389]
0,-284.6485472578994,[ 83.2754241  342.98296389]
0,-284.328340580882,[-459.8687903    77.11392513]
0,-287.6893748458202,[-326.54498179  -59.69714671]
0,152.9556199416552,[-234.75336308  113.89671114]
0,-284.328340580882,[-459.8687903    77.11392513]
0,-284.328340580882,[-459.8687903    77.11392513]
0,-284.328340580882,[-459.8687903    77.11392513]
0,-284.328340580882,[-459.8687903    77.11392513]
0,-197.68162296725188,[-22.74012758 179.29592537]
0,-84.51800105573346,[ 291.9544779  -428.91147188]
0,-84.51800105573346,[ 291.9544779  -428.91147188]
0,69.54623367279514,[-234.75336308  330.79203616]
0,-112.13638902967568,[-138.00294083  113.89671114]
0,291.00793209946346,[-358.38622355  -15.70412028]
0,-284.6485472578994,[ 83.2754241  342.98296389]
0,291.00793209946346,[-358.38622355  -15.70412028]
0,291.00793209946346,[-358.38622355  -15.70412028]
0,-159.79124069539125,[-213.63092774   27.99824358]
0,-279.3848891533925,[-248.96629655    1.17090528]
0,-286.7156337880426,[116.3354841  271.78356176]
step,fitness,genome
1,-284.6485472578994,[ 83.2754241  342.98296389]
1,-284.328340580882,[-459.8687903    77.11392513]
1,-284.328340580882,[-459.8687903    77.11392513]
1,379.9142875777608,[-41.3693904 496.1323142]
1,-279.3848891533925,[-248.96629655    1.17090528]
1,-284.328340580882,[-459.8687903    77.11392513]
1,-286.7156337880426,[116.3354841  271.78356176]
1,-84.51800105573346,[ 291.9544779  -428.91147188]
1,-284.328340580882,[-459.8687903    77.11392513]
1,-3.5559833695563516,[ 0.21806129 40.95948308]
1,-284.328340580882,[-459.8687903    77.11392513]
1,-287.6893748458202,[-326.54498179  -59.69714671]
1,-284.6485472578994,[ 83.2754241  342.98296389]
1,-284.6485472578994,[ 83.2754241  342.98296389]
1,-169.92397833833948,[151.21806129  40.95948308]
1,-284.328340580882,[-459.8687903    77.11392513]
1,-286.7156337880426,[116.3354841  271.78356176]
1,-197.68162296725188,[-22.74012758 179.29592537]
1,-140.02331378752802,[116.3354841   77.11392513]
1,166.67612394511775,[-459.8687903   271.78356176]
1,-284.328340580882,[-459.8687903    77.11392513]
1,123.44206460211925,[ 1.1312097  77.11392513]
1,-29.499898378491306,[0.03370345 1.17090528]
1,-284.328340580882,[-459.8687903    77.11392513]
1,-284.6485472578994,[ 83.2754241  342.98296389]
step,fitness,genome
2,-386.7941210882618,[-459.8687903   342.98296389]
2,122.97002783401983,[ 0.2754241  77.11392513]
2,-287.6893748458202,[-326.54498179  -59.69714671]
2,-169.92397833833948,[151.21806129  40.95948308]
2,-284.6485472578994,[ 83.2754241  342.98296389]
2,-287.6893748458202,[-326.54498179  -59.69714671]
2,123.44206460211925,[ 1.1312097  77.11392513]
2,-284.328340580882,[-459.8687903    77.11392513]
2,-284.328340580882,[-459.8687903    77.11392513]
2,-284.328340580882,[-459.8687903    77.11392513]
2,-287.6893748458202,[-326.54498179  -59.69714671]
2,-284.6485472578994,[ 83.2754241  342.98296389]
2,-284.328340580882,[-459.8687903    77.11392513]
2,-287.6893748458202,[-326.54498179  -59.69714671]
2,-286.7156337880426,[116.3354841  271.78356176]
2,-284.6485472578994,[ 83.2754241  342.98296389]
2,-286.7156337880426,[116.3354841  271.78356176]
2,-286.7156337880426,[116.3354841  271.78356176]
2,-284.6485472578994,[ 83.2754241  342.98296389]
2,-284.328340580882,[-459.8687903    77.11392513]
2,-140.02331378752802,[116.3354841   77.11392513]
2,-284.328340580882,[-459.8687903    77.11392513]
2,-284.328340580882,[-459.8687903    77.11392513]
2,-286.7156337880426,[116.3354841  271.78356176]
2,-197.68162296725188,[-22.74012758 179.29592537]
step,fitness,genome
3,-386.7941210882618,[-459.8687903   342.98296389]
3,-140.02331378752802,[116.3354841   77.11392513]
3,-287.6893748458202,[-326.54498179  -59.69714671]
3,-287.6893748458202,[-326.54498179  -59.69714671]
3,-284.328340580882,[-459.8687903    77.11392513]
3,-284.328340580882,[-459.8687903    77.11392513]
3,-284.6485472578994,[ 83.2754241  342.98296389]
3,-287.6893748458202,[-326.54498179  -59.69714671]
3,-284.6485472578994,[ 83.2754241  342.98296389]
3,-386.7941210882618,[-459.8687903   342.98296389]
3,-286.7156337880426,[116.3354841  271.78356176]
3,-287.6893748458202,[-326.54498179  -59.69714671]
3,-386.7941210882618,[-459.8687903   342.98296389]
3,-287.6893748458202,[-326.54498179  -59.69714671]
3,-284.328340580882,[-459.8687903    77.11392513]
3,-287.6893748458202,[-326.54498179  -59.69714671]
3,-284.6485472578994,[ 83.2754241  342.98296389]
3,-284.328340580882,[-459.8687903    77.11392513]
3,-284.6485472578994,[ 83.2754241  342.98296389]
3,-140.02331378752802,[116.3354841   77.11392513]
3,-386.7941210882618,[-459.8687903   342.98296389]
3,-286.7156337880426,[116.3354841  271.78356176]
3,-286.7156337880426,[116.3354841  271.78356176]
3,-284.6485472578994,[ 83.2754241  342.98296389]
3,-287.6893748458202,[-326.54498179  -59.69714671]
step,fitness,genome
4,-287.6893748458202,[-326.54498179  -59.69714671]
4,-287.6893748458202,[-326.54498179  -59.69714671]
4,-287.6893748458202,[-326.54498179  -59.69714671]
4,-284.6485472578994,[ 83.2754241  342.98296389]
4,-284.76240688443556,[-459.8687903     1.98296389]
