step,fitness,genome
0,-384.0550182961451,[493.4738878  10.1769822]
0,-525.1586137677249,[-369.3451589   507.86581495]
0,-295.44714702374944,[-174.24163197  427.90368547]
0,-376.6407924601369,[  59.71508439 -377.35893864]
0,-483.7071353443493,[303.32614404 510.72705124]
0,-187.0908853520667,[ -2.43794303 168.47332446]
0,-136.6248915056078,[-121.24255748  370.94963751]
0,-301.5421427326495,[-439.13056814 -398.59961778]
0,-369.811867735977,[-317.52267425 -503.50633324]
0,-295.44714702374944,[-174.24163197  427.90368547]
0,-758.3168177053014,[425.31400367 455.36834096]
0,-81.01750103641785,[-331.12533224 -445.51728972]
0,-306.78836415864976,[ 204.06893982 -450.4022094 ]
0,-272.590370903442,[-315.17707985  -75.21342195]
0,-525.1586137677249,[-369.3451589   507.86581495]
0,-217.15867776905174,[-244.66368803 -191.89278967]
0,-486.6552581856193,[-381.36792684 -416.39884503]
0,-136.6248915056078,[-121.24255748  370.94963751]
0,-272.590370903442,[-315.17707985  -75.21342195]
0,-766.8772087616346,[-498.45721217  391.40321302]
0,-290.5773599629865,[-132.39885667 -277.40314292]
0,-306.78836415864976,[ 204.06893982 -450.4022094 ]
0,-483.7071353443493,[303.32614404 510.72705124]
0,-486.6552581856193,[-381.36792684 -416.39884503]
0,-758.3168177053014,[425.31400367 455.36834096]
0,-486.6552581856193,[-381.36792684 -416.39884503]
0,-166.24791766248742,[  2.61237617 172.6426937 ]
0,-758.3168177053014,[425.31400367 455.36834096]
0,-657.421159086414,[ 269.16334821 -498.51505556]
0,-525.1586137677249,[-369.3451589   507.86581495]
0,-306.78836415864976,[ 204.06893982 -450.4022094 ]
0,-425.22365992068603,[-57.98692084 386.83603659]
0,-151.1671275500559,[-423.83278866  159.06761872]
0,-758.3168177053014,[425.31400367 455.36834096]
0,-413.922166957609,[-341.41310337 -426.55986209]
0,-301.5421427326495,[-439.13056814 -398.59961778]
0,-657.421159086414,[ 269.16334821 -498.51505556]
0,-184.64248597573578,[484.81022269 247.47917904]
0,-213.07328956127856,[-239.56709758 -167.17203365]
0,-384.0550182961451,[493.4738878  10.1769822]
0,-483.7071353443493,[303.32614404 510.72705124]
0,-758.3168177053014,[425.31400367 455.36834096]
0,-384.0550182961451,[493.4738878  10.1769822]
0,-766.8772087616346,[-498.45721217  391.40321302]
0,-376.6407924601369,[  59.71508439 -377.35893864]
0,-301.5421427326495,[-439.13056814 -398.59961778]
0,-758.3168177053014,[425.31400367 455.36834096]
0,-147.55810754430934,[-45.36187961 450.07801935]
0,-119.68438648972504,[ -61.87744519 -286.81844976]
0,-147.55810754430934,[-45.36187961 450.07801935]
0,-425.22365992068603,[-57.98692084 386.83603659]
0,-508.7061486712824,[476.23710037 473.09515599]
0,-508.7061486712824,[476.23710037 473.09515599]
0,-151.1671275500559,[-423.83278866  159.06761872]
0,-525.1586137677249,[-369.3451589   507.86581495]
0,-766.8772087616346,[-498.45721217  391.40321302]
0,-766.8772087616346,[-498.45721217  391.40321302]
0,-525.1586137677249,[-369.3451589   507.86581495]
0,-483.7071353443493,[303.32614404 510.72705124]
0,-129.83430193262802,[-314.5516473   289.80942808]
0,-508.7061486712824,[476.23710037 473.09515599]
0,-657.421159086414,[ 269.16334821 -498.51505556]
0,-272.590370903442,[-315.17707985  -75.21342195]
0,-184.64248597573578,[484.81022269 247.47917904]
0,-525.1586137677249,[-369.3451589   507.86581495]
0,-758.3168177053014,[425.31400367 455.36834096]
0,-413.922166957609,[-341.41310337 -426.55986209]
0,-758.3168177053014,[425.31400367 455.36834096]
0,-525.1586137677249,[-369.3451589   507.86581495]
0,-483.7071353443493,[303.32614404 510.72705124]
0,-657.421159086414,[ 269.16334821 -498.51505556]
0,-525.1586137677249,[-369.3451589   507.86581495]
0,-290.5773599629865,[-132.39885667 -277.40314292]
0,-295.44714702374944,[-174.24163197  427.90368547]
0,-525.1586137677249,[-369.3451589   507.86581495]
step,fitness,genome
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-508.7061486712824,[476.23710037 473.09515599]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-508.7061486712824,[476.23710037 473.09515599]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-384.0550182961451,[493.4738878  10.1769822]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-483.7071353443493,[303.32614404 510.72705124]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-486.6552581856193,[-381.36792684 -416.39884503]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-508.7061486712824,[476.23710037 473.09515599]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-486.6552581856193,[-381.36792684 -416.39884503]
1,-657.421159086414,[ 269.16334821 -498.51505556]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-657.421159086414,[ 269.16334821 -498.51505556]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-483.7071353443493,[303.32614404 510.72705124]
1,-483.7071353443493,[303.32614404 510.72705124]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-486.6552581856193,[-381.36792684 -416.39884503]
1,-483.7071353443493,[303.32614404 510.72705124]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-483.7071353443493,[303.32614404 510.72705124]
1,-290.5773599629865,[-132.39885667 -277.40314292]
1,-295.44714702374944,[-174.24163197  427.90368547]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-483.7071353443493,[303.32614404 510.72705124]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-384.0550182961451,[493.4738878  10.1769822]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-766.8772087616346,[-498.45721217  391.40321302]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-758.3168177053014,[425.31400367 455.36834096]
1,-295.44714702374944,[-174.24163197  427.90368547]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-525.1586137677249,[-369.3451589   507.86581495]
1,-758.3168177053014,[425.31400367 455.36834096]
step,fitness,genome
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-525.1586137677249,[-369.3451589   507.86581495]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-525.1586137677249,[-369.3451589   507.86581495]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-525.1586137677249,[-369.3451589   507.86581495]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-525.1586137677249,[-369.3451589   507.86581495]
2,-758.3168177053014,[425.31400367 455.36834096]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-766.8772087616346,[-498.45721217  391.40321302]
2,-758.3168177053014,[425.31400367 455.36834096]
step,fitness,genome
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-758.3168177053014,[425.31400367 455.36834096]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
3,-766.8772087616346,[-498.45721217  391.40321302]
step,fitness,genome
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
4,-766.8772087616346,[-498.45721217  391.40321302]
