step,fitness,genome
0,128.63603133674093,[0.16996681 1.10870632]
0,88.65782964006831,[-1.18666971  1.73243038]
0,5.145722866439017,[ 3.50255114 -1.11106087]
0,88.65782964006831,[-1.18666971  1.73243038]
0,98.44972877900076,[ 1.65146798 -0.08969884]
0,74.93657530496212,[1.12297376 1.6620567 ]
0,69.08359808727631,[ 2.14764525 -0.62490543]
0,1.0247412705919225,[-3.81880896 -3.14725915]
0,19.277217787623687,[2.6363631  2.93431592]
0,52.61856266964581,[-1.53469827  2.25750722]
0,137.88205365220395,[-1.23604584  4.335338  ]
0,43.047864007070466,[-1.22720378  3.14129914]
0,170.5478198090752,[ 0.42259791 -1.86406309]
0,166.18872362477398,[ 0.35555115 -0.1967892 ]
0,13.005198092678793,[ 3.35555115 -0.1967892 ]
0,18.383777985183855,[3.02706126 0.16164637]
0,13.005198092678793,[ 3.35555115 -0.1967892 ]
0,62.27763533076015,[1.45764779 1.58653828]
0,60.23467712782865,[1.71341797 1.25209047]
0,102.61238422293718,[ 2.63382234 -3.3560801 ]
0,19.277217787623687,[2.6363631  2.93431592]
0,76.191157734223,[2.69025261 3.61070372]
0,18.383777985183855,[3.02706126 0.16164637]
0,11.32395738115856,[3.27376633 0.61444396]
0,58.678459211042465,[0.97322545 3.00440881]
0,85.21432495815401,[ 1.84876469 -0.08276082]
0,35.7776435678079,[-2.80777241  1.98357889]
0,69.08359808727631,[ 2.14764525 -0.62490543]
0,18.885977882496242,[ 3.5902242  -2.76870953]
0,170.5478198090752,[ 0.42259791 -1.86406309]
0,40.86556676380751,[1.45764779 2.58653828]
0,58.35018912135939,[2.14764525 0.37509457]
0,4.342487492031719,[3.04748976 2.43079741]
0,113.566594045399,[-0.88343739  1.38630585]
0,66.1511733490662,[-0.88343739  2.38630585]
0,60.23467712782865,[1.71341797 1.25209047]
0,50.29257672043314,[1.59028993 1.76305002]
0,3.8707546339878767,[3.12425662 1.38333661]
0,82.28362658106147,[1.43803008 1.04217392]
0,43.047864007070466,[-1.22720378  3.14129914]
0,30.09253197607471,[ 2.88454248 -2.45761805]
0,74.93657530496212,[1.12297376 1.6620567 ]
0,52.61856266964581,[-1.53469827  2.25750722]
0,89.38040969077394,[-0.39861297  2.00748635]
0,124.2872765560938,[3.09498373 3.84534285]
0,66.1511733490662,[-0.88343739  2.38630585]
0,5.428952155958975,[ 3.74943623 -2.33804779]
0,40.86556676380751,[1.45764779 2.58653828]
0,3.028159118205698,[3.27376633 1.61444396]
0,36.905395159263115,[-3.49495733 -2.11838675]
0,64.7398246313582,[-3.96780412  3.30239799]
0,137.2925903752261,[0.97322545 0.00440881]
0,40.86556676380751,[1.45764779 2.58653828]
0,48.04566914781557,[-1.2911428   2.58758676]
0,58.678459211042465,[0.97322545 3.00440881]
0,19.277217787623687,[2.6363631  2.93431592]
0,8.144428006712287,[ 3.16996681 -1.89129368]
0,60.23467712782865,[1.71341797 1.25209047]
0,58.678459211042465,[0.97322545 3.00440881]
0,166.60717040636123,[-0.82380499 -1.97255201]
0,1.0247412705919225,[-3.81880896 -3.14725915]
0,5.145722866439017,[ 3.50255114 -1.11106087]
0,40.86556676380751,[1.45764779 2.58653828]
0,13.905008896085961,[3.10237217 0.51819255]
0,5.428952155958975,[ 3.74943623 -2.33804779]
0,42.244586091388264,[-3.91057757 -4.17241531]
0,31.74838651564032,[2.46367788 0.82363492]
0,58.678459211042465,[0.97322545 3.00440881]
0,76.191157734223,[2.69025261 3.61070372]
0,14.23791120764095,[3.51445348 0.32129815]
0,4.342487492031719,[3.04748976 2.43079741]
0,85.21432495815401,[ 1.84876469 -0.08276082]
0,80.66214657310007,[-1.40971007  1.76305002]
0,60.23467712782865,[1.71341797 1.25209047]
0,64.7398246313582,[-3.96780412  3.30239799]
0,30.09253197607471,[ 2.88454248 -2.45761805]
0,58.678459211042465,[0.97322545 3.00440881]
0,3.8707546339878767,[3.12425662 1.38333661]
0,83.79002053567447,[ 1.94631322 -1.25286241]
0,3.8707546339878767,[3.12425662 1.38333661]
0,114.7304334176578,[-3.99146548  1.57604344]
0,13.538119278921545,[3.21448356 0.34653785]
0,124.2872765560938,[3.09498373 3.84534285]
0,18.885977882496242,[ 3.5902242  -2.76870953]
0,137.45025632522547,[-0.39861297  1.00748635]
0,14.23791120764095,[3.51445348 0.32129815]
0,19.277217787623687,[2.6363631  2.93431592]
0,19.277217787623687,[2.6363631  2.93431592]
0,58.678459211042465,[0.97322545 3.00440881]
0,43.69124428583143,[1.46530173 2.25750722]
0,5.145722866439017,[ 3.50255114 -1.11106087]
0,67.77787566198009,[0.79449203 2.22931193]
0,181.68313534131207,[ 0.5902242  -2.76870953]
0,67.24324686926963,[-2.73630385  1.3513185 ]
0,85.21432495815401,[ 1.84876469 -0.08276082]
0,85.21432495815401,[ 1.84876469 -0.08276082]
0,13.538119278921545,[3.21448356 0.34653785]
0,72.65900100883539,[0.50112499 3.24768887]
0,121.01236169259627,[-1.75851459  0.68139686]
0,43.047864007070466,[-1.22720378  3.14129914]
step,fitness,genome
1,43.69124428583143,[1.46530173 2.25750722]
1,60.23467712782865,[1.71341797 1.25209047]
1,3.8707546339878767,[3.12425662 1.38333661]
1,19.277217787623687,[2.6363631  2.93431592]
1,3.028159118205698,[3.27376633 1.61444396]
1,13.005198092678793,[ 3.35555115 -0.1967892 ]
1,50.29257672043314,[1.59028993 1.76305002]
1,5.428952155958975,[ 3.74943623 -2.33804779]
1,5.145722866439017,[ 3.50255114 -1.11106087]
1,42.244586091388264,[-3.91057757 -4.17241531]
1,18.885977882496242,[ 3.5902242  -2.76870953]
1,52.61856266964581,[-1.53469827  2.25750722]
1,19.277217787623687,[2.6363631  2.93431592]
1,1.0247412705919225,[-3.81880896 -3.14725915]
1,31.74838651564032,[2.46367788 0.82363492]
1,19.277217787623687,[2.6363631  2.93431592]
1,1.0247412705919225,[-3.81880896 -3.14725915]
1,13.905008896085961,[3.10237217 0.51819255]
1,18.885977882496242,[ 3.5902242  -2.76870953]
1,5.145722866439017,[ 3.50255114 -1.11106087]
1,179.3136192474434,[ 1.18119104 -3.14725915]
1,1.0247412705919225,[-3.81880896 -3.14725915]
1,5.145722866439017,[ 3.50255114 -1.11106087]
1,11.32395738115856,[3.27376633 0.61444396]
1,14.636117836000981,[3.12425662 0.38333661]
1,11.32395738115856,[3.27376633 0.61444396]
1,3.8707546339878767,[3.12425662 1.38333661]
1,18.383777985183855,[3.02706126 0.16164637]
1,5.428952155958975,[ 3.74943623 -2.33804779]
1,14.23791120764095,[3.51445348 0.32129815]
1,18.383777985183855,[3.02706126 0.16164637]
1,14.23791120764095,[3.51445348 0.32129815]
1,5.428952155958975,[ 3.74943623 -2.33804779]
1,5.428952155958975,[ 3.74943623 -2.33804779]
1,1.0247412705919225,[-3.81880896 -3.14725915]
1,3.8707546339878767,[3.12425662 1.38333661]
1,18.885977882496242,[ 3.5902242  -2.76870953]
1,5.428952155958975,[ 3.74943623 -2.33804779]
1,4.342487492031719,[3.04748976 2.43079741]
1,52.61856266964581,[-1.53469827  2.25750722]
1,60.23467712782865,[1.71341797 1.25209047]
1,89.38040969077394,[-0.39861297  2.00748635]
1,153.5937212657023,[0.10237217 0.51819255]
1,42.244586091388264,[-3.91057757 -4.17241531]
1,3.028159118205698,[3.27376633 1.61444396]
1,5.428952155958975,[ 3.74943623 -2.33804779]
1,13.538119278921545,[3.21448356 0.34653785]
1,13.005198092678793,[ 3.35555115 -0.1967892 ]
1,3.8707546339878767,[3.12425662 1.38333661]
1,3.028159118205698,[3.27376633 1.61444396]
1,43.69124428583143,[1.46530173 2.25750722]
1,30.09253197607471,[ 2.88454248 -2.45761805]
1,4.861340045779546,[2.6363631  1.93431592]
1,3.8707546339878767,[3.12425662 1.38333661]
1,42.244586091388264,[-3.91057757 -4.17241531]
1,18.383777985183855,[3.02706126 0.16164637]
1,14.23791120764095,[3.51445348 0.32129815]
1,3.8707546339878767,[3.12425662 1.38333661]
1,11.32395738115856,[3.27376633 0.61444396]
1,67.77787566198009,[0.79449203 2.22931193]
1,3.8707546339878767,[3.12425662 1.38333661]
1,60.23467712782865,[1.71341797 1.25209047]
1,13.538119278921545,[3.21448356 0.34653785]
1,19.277217787623687,[2.6363631  2.93431592]
1,3.8707546339878767,[3.12425662 1.38333661]
1,5.145722866439017,[ 3.50255114 -1.11106087]
1,1.0247412705919225,[-3.81880896 -3.14725915]
1,19.277217787623687,[2.6363631  2.93431592]
1,60.23467712782865,[1.71341797 1.25209047]
1,13.538119278921545,[3.21448356 0.34653785]
