step,fitness,genome
0,-1.0726789588120769,[ 3.45114141 -6.2101584 ]
0,-2.931519591691812,[-1.76743986  6.34632509]
0,-1.594204565598147,[7.14146573 2.13410111]
0,-1.1709469771889967,[ 9.08665568 -1.02111357]
0,-3.7210382649806055,[8.47399494 4.03535034]
0,-3.3488170524913916,[-9.03796161  8.35449687]
0,-3.5697907953115835,[-8.2443459  -0.71793695]
0,-0.29024796112569345,[0.74497276 7.75639874]
0,-1.1709469771889967,[ 9.08665568 -1.02111357]
0,-1.8325734748193885,[ 3.35348532 -9.36597439]
0,-8.569703854897972,[-8.36299489  8.49719979]
0,-3.7210382649806055,[8.47399494 4.03535034]
0,-2.5687567964447235,[-1.13641675 -6.31140189]
0,-1.1709469771889967,[ 9.08665568 -1.02111357]
0,-1.8325734748193885,[ 3.35348532 -9.36597439]
0,-2.931519591691812,[-1.76743986  6.34632509]
0,-2.5687567964447235,[-1.13641675 -6.31140189]
0,-7.51319251324768,[ 1.2361843  -9.77329912]
0,-1.977005687960781,[0.63700511 8.49719979]
0,-2.5687567964447235,[-1.13641675 -6.31140189]
0,-1.34759430393562,[ 0.5133214  -6.29220063]
0,-4.944199528021737,[-8.54575939  3.55100409]
0,-1.0726789588120769,[ 3.45114141 -6.2101584 ]
0,-2.86005843653046,[ 1.86358325 -6.31140189]
0,-2.3130264364730744,[8.47399494 1.03535034]
step,fitness,genome
1,-1.1709469771889967,[ 9.08665568 -1.02111357]
1,-2.931519591691812,[-1.76743986  6.34632509]
1,-2.5687567964447235,[-1.13641675 -6.31140189]
1,-2.5687567964447235,[-1.13641675 -6.31140189]
1,-3.3488170524913916,[-9.03796161  8.35449687]
1,-3.3488170524913916,[-9.03796161  8.35449687]
1,-7.51319251324768,[ 1.2361843  -9.77329912]
1,-7.51319251324768,[ 1.2361843  -9.77329912]
1,-1.594204565598147,[7.14146573 2.13410111]
1,-2.931519591691812,[-1.76743986  6.34632509]
1,-1.34759430393562,[ 0.5133214  -6.29220063]
1,-8.569703854897972,[-8.36299489  8.49719979]
1,-2.3130264364730744,[8.47399494 1.03535034]
1,-1.34759430393562,[ 0.5133214  -6.29220063]
1,-2.931519591691812,[-1.76743986  6.34632509]
1,-3.3488170524913916,[-9.03796161  8.35449687]
1,-2.5687567964447235,[-1.13641675 -6.31140189]
1,-3.7210382649806055,[8.47399494 4.03535034]
1,-2.86005843653046,[ 1.86358325 -6.31140189]
1,-1.594204565598147,[7.14146573 2.13410111]
1,-2.5687567964447235,[-1.13641675 -6.31140189]
1,-1.247299911231741,[-1.13641675  0.68859811]
1,-7.51319251324768,[ 1.2361843  -9.77329912]
1,-2.86005843653046,[ 1.86358325 -6.31140189]
1,-3.7210382649806055,[8.47399494 4.03535034]
step,fitness,genome
2,-2.931519591691812,[-1.76743986  6.34632509]
2,-2.931519591691812,[-1.76743986  6.34632509]
2,-2.931519591691812,[-1.76743986  6.34632509]
2,-2.931519591691812,[-1.76743986  6.34632509]
2,-2.5687567964447235,[-1.13641675 -6.31140189]
2,-7.51319251324768,[ 1.2361843  -9.77329912]
2,-2.931519591691812,[-1.76743986  6.34632509]
2,-7.51319251324768,[ 1.2361843  -9.77329912]
2,-3.7210382649806055,[8.47399494 4.03535034]
2,-7.51319251324768,[ 1.2361843  -9.77329912]
2,-8.569703854897972,[-8.36299489  8.49719979]
2,-7.51319251324768,[ 1.2361843  -9.77329912]
2,-7.51319251324768,[ 1.2361843  -9.77329912]
2,-2.931519591691812,[-1.76743986  6.34632509]
2,-7.51319251324768,[ 1.2361843  -9.77329912]
2,-7.51319251324768,[ 1.2361843  -9.77329912]
2,-2.86005843653046,[ 1.86358325 -6.31140189]
2,-3.3488170524913916,[-9.03796161  8.35449687]
2,-3.7210382649806055,[8.47399494 4.03535034]
2,-1.594204565598147,[7.14146573 2.13410111]
2,-7.51319251324768,[ 1.2361843  -9.77329912]
2,-7.51319251324768,[ 1.2361843  -9.77329912]
2,-2.931519591691812,[-1.76743986  6.34632509]
2,-8.569703854897972,[-8.36299489  8.49719979]
2,-8.569703854897972,[-8.36299489  8.49719979]
step,fitness,genome
3,-2.931519591691812,[-1.76743986  6.34632509]
3,-2.86005843653046,[ 1.86358325 -6.31140189]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
3,-3.7210382649806055,[8.47399494 4.03535034]
3,-8.569703854897972,[-8.36299489  8.49719979]
3,-8.569703854897972,[-8.36299489  8.49719979]
3,-8.569703854897972,[-8.36299489  8.49719979]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
3,-8.569703854897972,[-8.36299489  8.49719979]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
3,-8.569703854897972,[-8.36299489  8.49719979]
3,-8.569703854897972,[-8.36299489  8.49719979]
3,-8.569703854897972,[-8.36299489  8.49719979]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
3,-8.569703854897972,[-8.36299489  8.49719979]
3,-3.3488170524913916,[-9.03796161  8.35449687]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
3,-2.5687567964447235,[-1.13641675 -6.31140189]
3,-0.4975516485170668,[1.2361843  1.22670088]
3,-7.51319251324768,[ 1.2361843  -9.77329912]
step,fitness,genome
4,-8.569703854897972,[-8.36299489  8.49719979]
4,-8.569703854897972,[-8.36299489  8.49719979]
4,-7.51319251324768,[ 1.2361843  -9.77329912]
4,-7.51319251324768,[ 1.2361843  -9.77329912]
4,-8.569703854897972,[-8.36299489  8.49719979]
4,-8.569703854897972,[-8.36299489  8.49719979]
4,-7.51319251324768,[ 1.2361843  -9.77329912]
4,-3.7210382649806055,[8.47399494 4.03535034]
4,-7.51319251324768,[ 1.2361843  -9.77329912]
4,-7.51319251324768,[ 1.2361843  -9.77329912]
