step,fitness,genome
0,-4.630163671576782,[-7.54940231  3.51360387]
0,-1.4070565826972858,[ 5.42486341 -4.0922703 ]
0,-1.7987602335305408,[ 9.90522801 -5.02580069]
0,-1.5103280521239915,[-0.1979867   9.87827154]
0,-12.26784631910843,[-7.14355345 -9.5194891 ]
0,-4.630163671576782,[-7.54940231  3.51360387]
0,-2.82525092768288,[1.34848377 6.34758722]
0,-5.908890793771994,[9.05885793 8.79315518]
0,-1.1206472661182074,[-1.45060304 -3.22028658]
0,-4.743045050992361,[-3.6873495   9.39574546]
0,-1.4835311370654654,[-3.7179928  -7.27195909]
0,-4.743045050992361,[-3.6873495   9.39574546]
0,-1.91511703636562,[-5.19292458  8.12980968]
0,-1.7987602335305408,[ 9.90522801 -5.02580069]
0,-7.138461613140883,[1.77346498 9.2572819 ]
0,-12.26784631910843,[-7.14355345 -9.5194891 ]
0,-4.743045050992361,[-3.6873495   9.39574546]
0,-1.4070565826972858,[ 5.42486341 -4.0922703 ]
0,-12.26784631910843,[-7.14355345 -9.5194891 ]
0,-1.91511703636562,[-5.19292458  8.12980968]
0,-7.138461613140883,[1.77346498 9.2572819 ]
0,-12.26784631910843,[-7.14355345 -9.5194891 ]
0,-4.630163671576782,[-7.54940231  3.51360387]
0,-4.630163671576782,[-7.54940231  3.51360387]
0,-4.630163671576782,[-7.54940231  3.51360387]
step,fitness,genome
1,-4.743045050992361,[-3.6873495   9.39574546]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
1,-7.138461613140883,[1.77346498 9.2572819 ]
1,-4.743045050992361,[-3.6873495   9.39574546]
1,-5.908890793771994,[9.05885793 8.79315518]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
1,-4.630163671576782,[-7.54940231  3.51360387]
1,-4.743045050992361,[-3.6873495   9.39574546]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
1,-12.26784631910843,[-7.14355345 -9.5194891 ]
