step,fitness,genome
0,-3.4121495133312223,[-6.52912628  9.96028601]
0,-8.988425039978477,[-4.21040332  9.70728073]
0,-8.988425039978477,[-4.21040332  9.70728073]
0,-4.32363195488374,[ 2.27288335 -8.85068262]
0,-8.988425039978477,[-4.21040332  9.70728073]
0,-4.097255337389428,[ 5.38633708 -6.63557951]
0,-6.481209239533988,[-9.81222241 -8.66241176]
0,-6.124098901083712,[-3.81857594  9.72151965]
0,-4.084825155839248,[7.39022658 2.96476735]
0,-2.648463887329678,[8.96920773 2.56762039]
0,-3.0986108312712255,[3.93845464 8.49489049]
0,-1.8108300282597969,[-7.44569538 -2.04778077]
0,-9.867834209512056,[ 7.43786024 -8.72218287]
0,-0.9825737634736242,[4.78156282 4.36441624]
0,-4.084825155839248,[7.39022658 2.96476735]
0,-6.124098901083712,[-3.81857594  9.72151965]
0,-0.9367384543642074,[1.59558844 4.01215213]
0,-6.729361049580372,[ 2.2092285  -9.79711171]
0,-1.5338957963216535,[-5.18788627  2.4298295 ]
0,-6.124098901083712,[-3.81857594  9.72151965]
0,-17.473620410403978,[-8.34223566  9.34726064]
0,-9.867834209512056,[ 7.43786024 -8.72218287]
0,-17.473620410403978,[-8.34223566  9.34726064]
0,-6.124098901083712,[-3.81857594  9.72151965]
0,-1.3144644632216012,[-9.23334149 -0.1142864 ]
0,-6.729361049580372,[ 2.2092285  -9.79711171]
0,-6.226858829742506,[-8.82877194  8.50828848]
0,-1.3144644632216012,[-9.23334149 -0.1142864 ]
0,-4.32363195488374,[ 2.27288335 -8.85068262]
0,-17.473620410403978,[-8.34223566  9.34726064]
0,-9.867834209512056,[ 7.43786024 -8.72218287]
0,-0.16884455773555004,[6.5621839  1.37222952]
0,-9.867834209512056,[ 7.43786024 -8.72218287]
0,-8.988425039978477,[-4.21040332  9.70728073]
0,-4.048996382705352,[ 6.5621839  -9.62777048]
0,-17.473620410403978,[-8.34223566  9.34726064]
0,-6.252395470379119,[-4.38246971 -8.76941825]
0,-17.473620410403978,[-8.34223566  9.34726064]
0,-9.867834209512056,[ 7.43786024 -8.72218287]
0,-6.226858829742506,[-8.82877194  8.50828848]
0,-8.988425039978477,[-4.21040332  9.70728073]
0,-9.867834209512056,[ 7.43786024 -8.72218287]
0,-6.252395470379119,[-4.38246971 -8.76941825]
0,-6.226858829742506,[-8.82877194  8.50828848]
0,-6.481209239533988,[-9.81222241 -8.66241176]
0,-6.226858829742506,[-8.82877194  8.50828848]
0,-6.252395470379119,[-4.38246971 -8.76941825]
0,-17.473620410403978,[-8.34223566  9.34726064]
0,-6.252395470379119,[-4.38246971 -8.76941825]
0,-6.481209239533988,[-9.81222241 -8.66241176]
step,fitness,genome
1,-8.988425039978477,[-4.21040332  9.70728073]
1,-6.252395470379119,[-4.38246971 -8.76941825]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-6.252395470379119,[-4.38246971 -8.76941825]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-3.4587194752197608,[7.43786024 0.27781713]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-8.988425039978477,[-4.21040332  9.70728073]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-4.426408947198036,[0.65776434 9.34726064]
1,-8.988425039978477,[-4.21040332  9.70728073]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-4.357558357498734,[-8.34223566  0.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-8.988425039978477,[-4.21040332  9.70728073]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-6.226858829742506,[-8.82877194  8.50828848]
1,-6.252395470379119,[-4.38246971 -8.76941825]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-6.252395470379119,[-4.38246971 -8.76941825]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-6.729361049580372,[ 2.2092285  -9.79711171]
1,-17.473620410403978,[-8.34223566  9.34726064]
1,-9.867834209512056,[ 7.43786024 -8.72218287]
1,-6.252395470379119,[-4.38246971 -8.76941825]
1,-17.473620410403978,[-8.34223566  9.34726064]
step,fitness,genome
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-4.426408947198036,[0.65776434 9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-1.9185314799306608,[ 0.43786024 -8.72218287]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-8.988425039978477,[-4.21040332  9.70728073]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-17.473620410403978,[-8.34223566  9.34726064]
2,-9.867834209512056,[ 7.43786024 -8.72218287]
2,-17.473620410403978,[-8.34223566  9.34726064]
step,fitness,genome
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-4.357558357498734,[-8.34223566  0.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-4.357558357498734,[-8.34223566  0.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
3,-17.473620410403978,[-8.34223566  9.34726064]
step,fitness,genome
4,-17.473620410403978,[-8.34223566  9.34726064]
4,-17.473620410403978,[-8.34223566  9.34726064]
4,-17.473620410403978,[-8.34223566  9.34726064]
4,-17.473620410403978,[-8.34223566  9.34726064]
4,-17.473620410403978,[-8.34223566  9.34726064]
