step,fitness,genome
0,-2.8824516915810268,[7.73904174 2.22411826]
0,-10.63030311066369,[5.07130058 9.87022869]
0,-5.564910825169363,[-6.71288521 -9.18471368]
0,-5.564910825169363,[-6.71288521 -9.18471368]
0,-3.5482124609325134,[ 7.19346079 -3.17791815]
0,-4.35116447580821,[-8.76595702  3.11720265]
0,-4.071827231363019,[-7.19036902  7.28280683]
0,-10.832989371036554,[-7.06753872  9.97902519]
0,-1.4163334742655806,[-4.63943397 -2.39316287]
0,-8.382124915826513,[-8.38799177 -6.85250454]
0,-3.80203122515419,[-9.8288003  -3.03752409]
0,-4.071827231363019,[-7.19036902  7.28280683]
0,-4.4575047979408335,[2.60063659 9.69898937]
0,-2.8824516915810268,[7.73904174 2.22411826]
0,-3.5482124609325134,[ 7.19346079 -3.17791815]
0,-8.382124915826513,[-8.38799177 -6.85250454]
0,-6.91493865129439,[-8.01872509 -7.18702085]
0,-10.832989371036554,[-7.06753872  9.97902519]
0,-6.91493865129439,[-8.01872509 -7.18702085]
0,-10.63030311066369,[5.07130058 9.87022869]
0,-3.3663098836253313,[-6.67745136 -8.67343038]
0,-10.832989371036554,[-7.06753872  9.97902519]
0,-4.35116447580821,[-8.76595702  3.11720265]
0,-8.382124915826513,[-8.38799177 -6.85250454]
0,-7.6552729669643265,[4.04555236 9.9418158 ]
0,-7.6552729669643265,[4.04555236 9.9418158 ]
0,-5.564910825169363,[-6.71288521 -9.18471368]
0,-6.91493865129439,[-8.01872509 -7.18702085]
0,-6.91493865129439,[-8.01872509 -7.18702085]
0,-5.564910825169363,[-6.71288521 -9.18471368]
0,-4.923734080095449,[ 9.60584092 -9.63445092]
0,-4.35116447580821,[-8.76595702  3.11720265]
0,-4.071827231363019,[-7.19036902  7.28280683]
0,-12.139599889505796,[ 7.30257765 -9.09422853]
0,-3.4767745984906386,[-7.57069757 -4.01321496]
0,-16.952128212769853,[7.87116332 9.20434427]
0,-7.6552729669643265,[4.04555236 9.9418158 ]
0,-12.139599889505796,[ 7.30257765 -9.09422853]
0,-4.071827231363019,[-7.19036902  7.28280683]
0,-10.63030311066369,[5.07130058 9.87022869]
0,-8.382124915826513,[-8.38799177 -6.85250454]
0,-10.63030311066369,[5.07130058 9.87022869]
0,-8.382124915826513,[-8.38799177 -6.85250454]
0,-4.4575047979408335,[2.60063659 9.69898937]
0,-3.4767745984906386,[-7.57069757 -4.01321496]
0,-3.80203122515419,[-9.8288003  -3.03752409]
0,-10.63030311066369,[5.07130058 9.87022869]
0,-6.476277665375556,[7.38662898 6.95993852]
0,-1.6154786618354795,[ 3.70730097 -7.17738494]
0,-12.139599889505796,[ 7.30257765 -9.09422853]
0,-4.35116447580821,[-8.76595702  3.11720265]
0,-10.832989371036554,[-7.06753872  9.97902519]
0,-7.6552729669643265,[4.04555236 9.9418158 ]
0,-5.564910825169363,[-6.71288521 -9.18471368]
0,-10.63030311066369,[5.07130058 9.87022869]
0,-4.112570829480752,[-5.39115687  6.53193311]
0,-7.6552729669643265,[4.04555236 9.9418158 ]
0,-8.382124915826513,[-8.38799177 -6.85250454]
0,-4.071827231363019,[-7.19036902  7.28280683]
0,-2.0824693853453686,[-0.2782081   9.94126273]
0,-8.382124915826513,[-8.38799177 -6.85250454]
0,-10.63030311066369,[5.07130058 9.87022869]
0,-16.952128212769853,[7.87116332 9.20434427]
0,-4.112570829480752,[-5.39115687  6.53193311]
0,-3.9103210916395237,[-8.91303988  5.58112292]
0,-3.4119616851347017,[-9.20283974 -8.69928582]
0,-3.3663098836253313,[-6.67745136 -8.67343038]
0,-2.8824516915810268,[7.73904174 2.22411826]
0,-3.4119616851347017,[-9.20283974 -8.69928582]
0,-10.832989371036554,[-7.06753872  9.97902519]
0,-3.80203122515419,[-9.8288003  -3.03752409]
0,-2.8824516915810268,[7.73904174 2.22411826]
0,-10.832989371036554,[-7.06753872  9.97902519]
0,-16.952128212769853,[7.87116332 9.20434427]
0,-2.0824693853453686,[-0.2782081   9.94126273]
step,fitness,genome
1,-10.63030311066369,[5.07130058 9.87022869]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-8.382124915826513,[-8.38799177 -6.85250454]
1,-6.91493865129439,[-8.01872509 -7.18702085]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-3.80203122515419,[-9.8288003  -3.03752409]
1,-7.6552729669643265,[4.04555236 9.9418158 ]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-6.476277665375556,[7.38662898 6.95993852]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-8.382124915826513,[-8.38799177 -6.85250454]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-6.91493865129439,[-8.01872509 -7.18702085]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-4.112570829480752,[-5.39115687  6.53193311]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-8.382124915826513,[-8.38799177 -6.85250454]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-7.6552729669643265,[4.04555236 9.9418158 ]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-6.91493865129439,[-8.01872509 -7.18702085]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-8.382124915826513,[-8.38799177 -6.85250454]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-5.564910825169363,[-6.71288521 -9.18471368]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-10.832989371036554,[-7.06753872  9.97902519]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-12.139599889505796,[ 7.30257765 -9.09422853]
1,-16.952128212769853,[7.87116332 9.20434427]
1,-10.63030311066369,[5.07130058 9.87022869]
1,-10.832989371036554,[-7.06753872  9.97902519]
step,fitness,genome
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-10.832989371036554,[-7.06753872  9.97902519]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-10.832989371036554,[-7.06753872  9.97902519]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-10.832989371036554,[-7.06753872  9.97902519]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-10.832989371036554,[-7.06753872  9.97902519]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-10.832989371036554,[-7.06753872  9.97902519]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-10.832989371036554,[-7.06753872  9.97902519]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-12.139599889505796,[ 7.30257765 -9.09422853]
2,-10.832989371036554,[-7.06753872  9.97902519]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-10.832989371036554,[-7.06753872  9.97902519]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-16.952128212769853,[7.87116332 9.20434427]
2,-10.832989371036554,[-7.06753872  9.97902519]
step,fitness,genome
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
3,-16.952128212769853,[7.87116332 9.20434427]
step,fitness,genome
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
4,-16.952128212769853,[7.87116332 9.20434427]
step,fitness,genome
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
5,-16.952128212769853,[7.87116332 9.20434427]
