step,fitness,genome
0,1.2290010008781636,[5.58996727 5.48320508]
0,1.7865703593340498,[3.87903445 5.73600109]
0,0.715621922059446,[1.40242831 2.86344834]
0,0.715621922059446,[1.40242831 2.86344834]
0,0.7055184828444698,[-4.28277205 -3.96742876]
0,0.5646939110262634,[-3.5680974  -2.75644272]
0,1.9063746487447104,[ 0.9222535 -1.8331609]
0,1.4036108074521305,[-4.05926107 -5.46776245]
0,1.486124620677777,[2.70085108 4.64641204]
0,0.715621922059446,[1.40242831 2.86344834]
0,1.0705814398365456,[-2.88796533 -4.36400208]
0,0.26463817954242974,[2.31713958 1.66604684]
0,1.7048678460785904,[-2.74093532 -4.86372521]
0,0.8481484869653297,[-2.18312398 -0.41610554]
0,0.9094097581017717,[2.94376142 1.22875621]
0,0.27778505273569387,[-0.24526919 -1.25572497]
0,0.21554765550346744,[-0.98163444 -0.0775807 ]
0,0.26463817954242974,[2.31713958 1.66604684]
0,0.715621922059446,[1.40242831 2.86344834]
0,1.486124620677777,[2.70085108 4.64641204]
0,0.2904338330661692,[-1.44706001 -0.43725315]
0,0.27778505273569387,[-0.24526919 -1.25572497]
0,4.2972484067565215,[5.02174142 1.05810518]
0,1.2290010008781636,[5.58996727 5.48320508]
0,4.2972484067565215,[5.02174142 1.05810518]
0,1.4036108074521305,[-4.05926107 -5.46776245]
0,1.0705814398365456,[-2.88796533 -4.36400208]
0,0.9094097581017717,[2.94376142 1.22875621]
0,2.3688807570083465,[-3.61180474 -6.0137733 ]
0,1.6073047896631785,[-6.36223779 -6.31335885]
0,0.14752155172367962,[0.17586918 0.91255084]
0,0.21554765550346744,[-0.98163444 -0.0775807 ]
0,1.486124620677777,[2.70085108 4.64641204]
0,10.634026628991082,[-1.84207112 -8.05632692]
0,3.7134526011972753,[7.47688979 9.35382622]
0,1.9131201054274083,[-2.95991466 -5.1943691 ]
0,1.6073047896631785,[-6.36223779 -6.31335885]
0,1.9063746487447104,[ 0.9222535 -1.8331609]
0,0.7055184828444698,[-4.28277205 -3.96742876]
0,1.2290010008781636,[5.58996727 5.48320508]
0,1.0705814398365456,[-2.88796533 -4.36400208]
0,2.5977070008810688,[3.5551995  0.43190847]
0,0.2904338330661692,[-1.44706001 -0.43725315]
0,8.124608005349572,[-9.07696216 -4.01290806]
0,0.7055184828444698,[-4.28277205 -3.96742876]
0,1.7048678460785904,[-2.74093532 -4.86372521]
0,1.6073047896631785,[-6.36223779 -6.31335885]
0,1.9063746487447104,[ 0.9222535 -1.8331609]
0,1.2290010008781636,[5.58996727 5.48320508]
0,1.6073047896631785,[-6.36223779 -6.31335885]
0,1.7504869763046322,[4.94962522 6.33199595]
0,0.14752155172367962,[0.17586918 0.91255084]
0,0.7587918828832931,[-1.60572658 -3.07501059]
0,1.2290010008781636,[5.58996727 5.48320508]
0,0.3459195796148862,[2.51320761 1.69051207]
0,0.8481484869653297,[-2.18312398 -0.41610554]
0,2.3688807570083465,[-3.61180474 -6.0137733 ]
0,1.7419940843663693,[2.8407366  0.27568432]
0,1.0705814398365456,[-2.88796533 -4.36400208]
0,1.2919005683087317,[2.10427494 4.01938206]
0,2.7191364542680767,[-2.95287337  0.30220006]
0,0.14752155172367962,[0.17586918 0.91255084]
0,0.14752155172367962,[0.17586918 0.91255084]
0,0.5646939110262634,[-3.5680974  -2.75644272]
0,0.5646939110262634,[-3.5680974  -2.75644272]
