step,fitness,genome
0,0.10340240136146356,[0.7165185  1.22863619]
0,4.354920577663485,[3.03570518 6.72474647]
0,1.8391229917963727,[-6.80817109 -6.75015278]
0,19.735800021816363,[ 3.79264616 -5.08857128]
0,4.332183677127709,[6.27809542 9.08631985]
0,0.901798189290167,[4.81367025 4.64520351]
0,3.301041789102257,[9.23282936 8.81601767]
0,0.10340240136146356,[0.7165185  1.22863619]
0,17.615626001173975,[ 8.15276882 -0.0848808 ]
0,1.8391229917963727,[-6.80817109 -6.75015278]
0,10.8416098566877,[-9.42205271 -3.35255384]
0,19.735800021816363,[ 3.79264616 -5.08857128]
0,4.332183677127709,[6.27809542 9.08631985]
0,17.615626001173975,[ 8.15276882 -0.0848808 ]
0,2.993078605317919,[8.06763826 6.07460113]
0,0.901798189290167,[4.81367025 4.64520351]
0,4.133031377281778,[ 2.87051869 -1.18139442]
0,42.634718842940316,[ 9.2051724  -3.80921272]
0,0.10340240136146356,[0.7165185  1.22863619]
0,0.10340240136146356,[0.7165185  1.22863619]
0,2.993078605317919,[8.06763826 6.07460113]
0,25.55485834133675,[-0.89236526  9.08436172]
0,10.8416098566877,[-9.42205271 -3.35255384]
0,18.227765824179233,[-0.48279634  7.92526237]
0,15.13797919193188,[ 2.24140663 -5.51255369]
step,fitness,genome
1,4.354920577663485,[3.03570518 6.72474647]
1,0.10340240136146356,[0.7165185  1.22863619]
1,1.8391229917963727,[-6.80817109 -6.75015278]
1,0.10340240136146356,[0.7165185  1.22863619]
1,0.10340240136146356,[0.7165185  1.22863619]
1,0.10340240136146356,[0.7165185  1.22863619]
1,4.133031377281778,[ 2.87051869 -1.18139442]
1,1.8391229917963727,[-6.80817109 -6.75015278]
1,0.10340240136146356,[0.7165185  1.22863619]
1,4.332183677127709,[6.27809542 9.08631985]
1,0.10340240136146356,[0.7165185  1.22863619]
1,0.10340240136146356,[0.7165185  1.22863619]
1,1.8391229917963727,[-6.80817109 -6.75015278]
1,10.8416098566877,[-9.42205271 -3.35255384]
1,1.8391229917963727,[-6.80817109 -6.75015278]
1,0.901798189290167,[4.81367025 4.64520351]
1,2.993078605317919,[8.06763826 6.07460113]
1,4.332183677127709,[6.27809542 9.08631985]
1,0.901798189290167,[4.81367025 4.64520351]
1,2.993078605317919,[8.06763826 6.07460113]
1,19.735800021816363,[ 3.79264616 -5.08857128]
1,0.10340240136146356,[0.7165185  1.22863619]
1,17.615626001173975,[ 8.15276882 -0.0848808 ]
1,0.10340240136146356,[0.7165185  1.22863619]
1,4.332183677127709,[6.27809542 9.08631985]
step,fitness,genome
2,0.10340240136146356,[0.7165185  1.22863619]
2,0.10340240136146356,[0.7165185  1.22863619]
2,0.10340240136146356,[0.7165185  1.22863619]
2,0.901798189290167,[4.81367025 4.64520351]
2,0.10340240136146356,[0.7165185  1.22863619]
2,0.901798189290167,[4.81367025 4.64520351]
2,0.10340240136146356,[0.7165185  1.22863619]
2,1.8391229917963727,[-6.80817109 -6.75015278]
2,0.10340240136146356,[0.7165185  1.22863619]
2,0.10340240136146356,[0.7165185  1.22863619]
2,1.8391229917963727,[-6.80817109 -6.75015278]
2,0.10340240136146356,[0.7165185  1.22863619]
2,0.10340240136146356,[0.7165185  1.22863619]
2,0.901798189290167,[4.81367025 4.64520351]
2,0.901798189290167,[4.81367025 4.64520351]
2,0.10340240136146356,[0.7165185  1.22863619]
2,0.10340240136146356,[0.7165185  1.22863619]
2,2.993078605317919,[8.06763826 6.07460113]
2,0.10340240136146356,[0.7165185  1.22863619]
2,0.10340240136146356,[0.7165185  1.22863619]
2,1.8391229917963727,[-6.80817109 -6.75015278]
2,0.901798189290167,[4.81367025 4.64520351]
2,1.8391229917963727,[-6.80817109 -6.75015278]
2,0.10340240136146356,[0.7165185  1.22863619]
2,0.10340240136146356,[0.7165185  1.22863619]
step,fitness,genome
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,1.8391229917963727,[-6.80817109 -6.75015278]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,1.8391229917963727,[-6.80817109 -6.75015278]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
3,0.10340240136146356,[0.7165185  1.22863619]
step,fitness,genome
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
4,0.10340240136146356,[0.7165185  1.22863619]
step,fitness,genome
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
5,0.10340240136146356,[0.7165185  1.22863619]
step,fitness,genome
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
6,0.10340240136146356,[0.7165185  1.22863619]
step,fitness,genome
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
7,0.10340240136146356,[0.7165185  1.22863619]
step,fitness,genome
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
8,0.10340240136146356,[0.7165185  1.22863619]
step,fitness,genome
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
9,0.10340240136146356,[0.7165185  1.22863619]
step,fitness,genome
10,0.10340240136146356,[0.7165185  1.22863619]
10,0.10340240136146356,[0.7165185  1.22863619]
