step,fitness,genome
0,2.612321379916658,[ 1.13380471 -2.09303287]
0,0.01023848761990942,[-0.48318936 -0.37643987]
0,0.7269120152240269,[4.01480735 3.06457474]
0,10.19718164585206,[-8.96228258 -3.04431032]
0,2.0436911118682914,[5.80432752 3.66178939]
0,3.360171397834101,[-9.28644616 -8.98029943]
0,0.7269120152240269,[4.01480735 3.06457474]
0,1.42551999363004,[-5.80758081 -6.06328304]
0,0.9340525770438712,[3.64633942 2.09083141]
0,3.060939814420138,[-8.77399377 -7.47872237]
0,4.529332595658145,[1.20073401 5.25652988]
0,0.7269120152240269,[4.01480735 3.06457474]
0,1.6402673487510646,[ 0.65213262 -1.89719324]
0,4.254621586143508,[-2.97626477  1.13256935]
0,4.254621586143508,[-2.97626477  1.13256935]
0,1.42551999363004,[-5.80758081 -6.06328304]
0,2.0436911118682914,[5.80432752 3.66178939]
0,2.514707339300902,[ 2.00407462 -1.16302736]
0,4.254621586143508,[-2.97626477  1.13256935]
0,0.01023848761990942,[-0.48318936 -0.37643987]
0,2.628993897690222,[-7.36838112 -5.35936202]
0,0.8679754059962832,[4.70816991 4.58940608]
0,0.01023848761990942,[-0.48318936 -0.37643987]
0,6.161947103939047,[-7.39187661 -2.87143822]
0,16.668810927704996,[ 3.85058298 -4.31438116]
0,1.42551999363004,[-5.80758081 -6.06328304]
0,3.6977272996489035,[-9.5882943  -9.63947819]
0,2.514707339300902,[ 2.00407462 -1.16302736]
0,23.810379911176277,[-6.76797891  2.96145764]
0,0.6394684984707224,[-4.05727378 -3.58908144]
0,27.22973668239363,[-9.09833615  1.21840831]
0,3.4648349285914612,[-8.88915014 -6.92576617]
0,14.829626199715099,[-3.08949105  4.60638229]
0,1.0373284496968482,[1.97771627 3.67250629]
0,4.254621586143508,[-2.97626477  1.13256935]
0,17.56276091947858,[-2.04435171  6.29403256]
0,0.46496830830755664,[-1.17351743  0.17557014]
0,14.829626199715099,[-3.08949105  4.60638229]
0,1.6402673487510646,[ 0.65213262 -1.89719324]
0,2.4750272921785683,[3.44030401 0.38846345]
0,0.46496830830755664,[-1.17351743  0.17557014]
0,25.00000049340991,[-9.48829345  0.34301138]
0,25.00000049340991,[-9.48829345  0.34301138]
0,6.161947103939047,[-7.39187661 -2.87143822]
0,0.9340525770438712,[3.64633942 2.09083141]
0,4.254621586143508,[-2.97626477  1.13256935]
0,0.7269120152240269,[4.01480735 3.06457474]
0,3.3666156504489777,[5.40823509 7.92849792]
0,4.84013143663017,[0.78393248 5.02769555]
0,2.530188823432681,[2.14509273 4.98854228]
0,1.0373284496968482,[1.97771627 3.67250629]
0,3.360171397834101,[-9.28644616 -8.98029943]
0,15.070697363499207,[-5.59298907  2.14044398]
0,4.529332595658145,[1.20073401 5.25652988]
0,7.772979012049572,[ 1.56551318 -3.98938643]
0,3.360171397834101,[-9.28644616 -8.98029943]
0,22.774067160935793,[ 2.6656709  -6.84214438]
0,8.5844222681361,[ 1.81936074 -4.02386571]
0,3.060939814420138,[-8.77399377 -7.47872237]
0,1.4108236001594001,[-4.09005897 -5.49346183]
0,1.0373284496968482,[1.97771627 3.67250629]
0,16.668810927704996,[ 3.85058298 -4.31438116]
0,4.254621586143508,[-2.97626477  1.13256935]
0,14.829626199715099,[-3.08949105  4.60638229]
0,0.6394684984707224,[-4.05727378 -3.58908144]
0,2.530188823432681,[2.14509273 4.98854228]
0,4.84013143663017,[0.78393248 5.02769555]
0,1.6402673487510646,[ 0.65213262 -1.89719324]
0,14.25185326287334,[1.17650128 8.4758634 ]
0,3.378921491741366,[-3.81956843 -0.23368917]
0,2.4750272921785683,[3.44030401 0.38846345]
0,1.42551999363004,[-5.80758081 -6.06328304]
0,29.50239857916949,[ 9.18639871 -1.56947854]
0,15.462963344755003,[-7.41500078  0.32054049]
0,1.8570631611427117,[3.64633942 1.09083141]
step,fitness,genome
1,1.6402673487510646,[ 0.65213262 -1.89719324]
1,0.01023848761990942,[-0.48318936 -0.37643987]
1,0.46496830830755664,[-1.17351743  0.17557014]
1,0.9340525770438712,[3.64633942 2.09083141]
1,0.01023848761990942,[-0.48318936 -0.37643987]
1,3.060939814420138,[-8.77399377 -7.47872237]
1,1.0373284496968482,[1.97771627 3.67250629]
1,14.829626199715099,[-3.08949105  4.60638229]
1,3.3666156504489777,[5.40823509 7.92849792]
1,3.060939814420138,[-8.77399377 -7.47872237]
1,1.42551999363004,[-5.80758081 -6.06328304]
1,1.0373284496968482,[1.97771627 3.67250629]
1,4.254621586143508,[-2.97626477  1.13256935]
1,0.8679754059962832,[4.70816991 4.58940608]
1,0.01023848761990942,[-0.48318936 -0.37643987]
1,0.46496830830755664,[-1.17351743  0.17557014]
1,6.161947103939047,[-7.39187661 -2.87143822]
1,1.8570631611427117,[3.64633942 1.09083141]
1,0.6394684984707224,[-4.05727378 -3.58908144]
1,1.42551999363004,[-5.80758081 -6.06328304]
1,22.774067160935793,[ 2.6656709  -6.84214438]
1,1.6402673487510646,[ 0.65213262 -1.89719324]
1,1.6402673487510646,[ 0.65213262 -1.89719324]
1,1.4108236001594001,[-4.09005897 -5.49346183]
1,4.254621586143508,[-2.97626477  1.13256935]
1,0.46496830830755664,[-1.17351743  0.17557014]
1,1.6402673487510646,[ 0.65213262 -1.89719324]
1,0.6394684984707224,[-4.05727378 -3.58908144]
1,0.7269120152240269,[4.01480735 3.06457474]
1,0.46496830830755664,[-1.17351743  0.17557014]
1,2.530188823432681,[2.14509273 4.98854228]
1,1.0373284496968482,[1.97771627 3.67250629]
1,15.462963344755003,[-7.41500078  0.32054049]
1,2.514707339300902,[ 2.00407462 -1.16302736]
1,2.4750272921785683,[3.44030401 0.38846345]
1,3.4648349285914612,[-8.88915014 -6.92576617]
1,0.7269120152240269,[4.01480735 3.06457474]
1,0.6394684984707224,[-4.05727378 -3.58908144]
1,2.4750272921785683,[3.44030401 0.38846345]
1,0.9340525770438712,[3.64633942 2.09083141]
1,0.7269120152240269,[4.01480735 3.06457474]
1,3.060939814420138,[-8.77399377 -7.47872237]
1,2.514707339300902,[ 2.00407462 -1.16302736]
1,3.3666156504489777,[5.40823509 7.92849792]
1,1.42551999363004,[-5.80758081 -6.06328304]
1,0.01023848761990942,[-0.48318936 -0.37643987]
1,1.4108236001594001,[-4.09005897 -5.49346183]
1,8.5844222681361,[ 1.81936074 -4.02386571]
1,2.0436911118682914,[5.80432752 3.66178939]
1,0.01023848761990942,[-0.48318936 -0.37643987]
1,1.0373284496968482,[1.97771627 3.67250629]
1,1.42551999363004,[-5.80758081 -6.06328304]
1,1.42551999363004,[-5.80758081 -6.06328304]
1,2.530188823432681,[2.14509273 4.98854228]
1,1.4108236001594001,[-4.09005897 -5.49346183]
1,0.01023848761990942,[-0.48318936 -0.37643987]
1,1.42551999363004,[-5.80758081 -6.06328304]
1,1.6402673487510646,[ 0.65213262 -1.89719324]
1,3.3666156504489777,[5.40823509 7.92849792]
1,4.254621586143508,[-2.97626477  1.13256935]
1,1.6402673487510646,[ 0.65213262 -1.89719324]
1,0.46496830830755664,[-1.17351743  0.17557014]
1,1.0373284496968482,[1.97771627 3.67250629]
1,25.00000049340991,[-9.48829345  0.34301138]
1,4.254621586143508,[-2.97626477  1.13256935]
1,1.4108236001594001,[-4.09005897 -5.49346183]
