step,fitness,genome
0,0.41785021911844655,[ 0.77490946 -0.57901952]
0,-0.7387628175608327,[-0.99077675 -2.74523947]
0,1.83126617612783,[1.77862383 1.20594238]
0,-0.7387628175608327,[-0.99077675 -2.74523947]
0,-1.5417500165353966,[-0.30212227 -1.90702177]
0,-1.5417500165353966,[-0.30212227 -1.90702177]
0,-1.5417500165353966,[-0.30212227 -1.90702177]
0,2.602233540958574,[ 1.1638465  -1.65997381]
0,1.5235834662422674,[0.07591864 0.15908109]
0,-0.7387628175608327,[-0.99077675 -2.74523947]
0,-1.5417500165353966,[-0.30212227 -1.90702177]
0,-1.5417500165353966,[-0.30212227 -1.90702177]
0,6.842889863574541,[-0.30212227  1.09297823]
0,-0.7387628175608327,[-0.99077675 -2.74523947]
0,-0.7387628175608327,[-0.99077675 -2.74523947]
0,-1.3809891626618302,[-0.74983996 -1.04818613]
0,0.9616443222269351,[ 0.98057803 -0.44031444]
0,-1.3809891626618302,[-0.74983996 -1.04818613]
0,-1.3809891626618302,[-0.74983996 -1.04818613]
0,0.41785021911844655,[ 0.77490946 -0.57901952]
0,-0.7387628175608327,[-0.99077675 -2.74523947]
0,1.943790416833494,[1.63743483 0.46256051]
0,1.3368014997395625,[2.558642   1.30293522]
0,1.3368014997395625,[2.558642   1.30293522]
0,-1.3809891626618302,[-0.74983996 -1.04818613]
step,fitness,genome
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.3809891626618302,[-0.74983996 -1.04818613]
1,-1.3809891626618302,[-0.74983996 -1.04818613]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.3809891626618302,[-0.74983996 -1.04818613]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.3809891626618302,[-0.74983996 -1.04818613]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.3809891626618302,[-0.74983996 -1.04818613]
1,-1.3809891626618302,[-0.74983996 -1.04818613]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,-1.5417500165353966,[-0.30212227 -1.90702177]
1,1.0358168931735605,[ 0.69787773 -1.90702177]
step,fitness,genome
2,-1.5417500165353966,[-0.30212227 -1.90702177]
2,-1.5417500165353966,[-0.30212227 -1.90702177]
2,-1.5417500165353966,[-0.30212227 -1.90702177]
2,-1.5417500165353966,[-0.30212227 -1.90702177]
2,-1.5417500165353966,[-0.30212227 -1.90702177]
2,1.0358168931735605,[ 0.69787773 -1.90702177]
2,-1.5417500165353966,[-0.30212227 -1.90702177]
2,-1.5417500165353966,[-0.30212227 -1.90702177]
2,-1.5417500165353966,[-0.30212227 -1.90702177]
2,-1.5417500165353966,[-0.30212227 -1.90702177]
2,-1.5417500165353966,[-0.30212227 -1.90702177]
2,-1.5417500165353966,[-0.30212227 -1.90702177]
