step,fitness,genome
0,-1.2612307383173897,[-1.36833516 -2.48228257]
0,-1.2612307383173897,[-1.36833516 -2.48228257]
0,-0.06160157522521281,[ 0.3442178  -1.98028273]
0,2.7119495406199383,[3.54192829 1.46087717]
0,-1.2612307383173897,[-1.36833516 -2.48228257]
0,9.153528463738422,[1.93197322 3.59263387]
0,-0.9745775747024417,[-0.14866149 -2.11154614]
0,3.129338074238465,[2.61692588 0.39467008]
0,-1.2612307383173897,[-1.36833516 -2.48228257]
0,-0.9745775747024417,[-0.14866149 -2.11154614]
0,-0.9745775747024417,[-0.14866149 -2.11154614]
0,-0.06160157522521281,[ 0.3442178  -1.98028273]
0,1.6754188721778038,[2.04017813 1.62599604]
0,1.6754188721778038,[2.04017813 1.62599604]
0,1.627905768372461,[3.15113858 1.8126801 ]
0,-0.06160157522521281,[ 0.3442178  -1.98028273]
0,1.6857256238829983,[2.44330949 0.95359483]
0,1.627905768372461,[3.15113858 1.8126801 ]
0,1.6857256238829983,[2.44330949 0.95359483]
0,2.228548908825985,[0.52501905 0.46975498]
0,-1.2612307383173897,[-1.36833516 -2.48228257]
0,1.627905768372461,[3.15113858 1.8126801 ]
0,-0.9745775747024417,[-0.14866149 -2.11154614]
0,1.6857256238829983,[2.44330949 0.95359483]
0,-0.06160157522521281,[ 0.3442178  -1.98028273]
step,fitness,genome
1,-0.9745775747024417,[-0.14866149 -2.11154614]
1,-0.9745775747024417,[-0.14866149 -2.11154614]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-0.9745775747024417,[-0.14866149 -2.11154614]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-0.9745775747024417,[-0.14866149 -2.11154614]
1,-0.9745775747024417,[-0.14866149 -2.11154614]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-0.9745775747024417,[-0.14866149 -2.11154614]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-0.9745775747024417,[-0.14866149 -2.11154614]
1,-0.06160157522521281,[ 0.3442178  -1.98028273]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-1.2612307383173897,[-1.36833516 -2.48228257]
1,-0.06160157522521281,[ 0.3442178  -1.98028273]
step,fitness,genome
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
2,-1.2612307383173897,[-1.36833516 -2.48228257]
step,fitness,genome
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
3,-1.2612307383173897,[-1.36833516 -2.48228257]
step,fitness,genome
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
4,-1.2612307383173897,[-1.36833516 -2.48228257]
step,fitness,genome
5,-1.2612307383173897,[-1.36833516 -2.48228257]
5,-1.2612307383173897,[-1.36833516 -2.48228257]
5,-1.2612307383173897,[-1.36833516 -2.48228257]
5,-1.2612307383173897,[-1.36833516 -2.48228257]
5,-1.2612307383173897,[-1.36833516 -2.48228257]
5,-1.2612307383173897,[-1.36833516 -2.48228257]
5,-1.2612307383173897,[-1.36833516 -2.48228257]
5,-1.2612307383173897,[-1.36833516 -2.48228257]
