step,fitness,genome
0,1.6590279574866376,[1.24623363 0.07517219]
0,1.3101311938354216,[2.84951002 1.69216213]
0,0.5533435263750874,[ 0.1051739  -2.45671701]
0,2.360141504403453,[-0.01557267  0.34997865]
0,-1.78379609057348,[-0.77409362 -1.88075855]
0,1.5235029824234088,[ 1.20712609 -0.16314858]
0,4.337752668940185,[-1.24733672  0.15507016]
0,1.6590279574866376,[1.24623363 0.07517219]
0,1.6590279574866376,[1.24623363 0.07517219]
0,5.6142664356650105,[-0.75758201  0.64666674]
0,1.3205644992232735,[2.62003958 1.85473165]
0,0.5533435263750874,[ 0.1051739  -2.45671701]
0,1.5235029824234088,[ 1.20712609 -0.16314858]
0,1.949790906313308,[2.91462911 1.07500958]
0,2.360141504403453,[-0.01557267  0.34997865]
0,1.5235029824234088,[ 1.20712609 -0.16314858]
0,2.778767499816029,[3.62976348 1.62669378]
0,1.0452166603521844,[-0.04516114 -2.71743586]
0,2.514891608937833,[3.13607233 1.00230328]
0,2.360141504403453,[-0.01557267  0.34997865]
0,1.6590279574866376,[1.24623363 0.07517219]
0,1.5235029824234088,[ 1.20712609 -0.16314858]
0,3.7362176577376736,[-1.18165919  0.09163525]
0,-1.78379609057348,[-0.77409362 -1.88075855]
0,3.290483398103225,[3.0025473  2.87029502]
0,1.3205644992232735,[2.62003958 1.85473165]
0,2.514891608937833,[3.13607233 1.00230328]
0,-1.6341175257637732,[-0.98456304 -2.0261775 ]
0,3.595949129209435,[2.62003958 2.87029502]
0,1.4609671446910104,[3.0025473  1.85473165]
0,2.514891608937833,[3.13607233 1.00230328]
0,5.499103621111851,[ 2.74249698 -0.17391822]
0,-1.78379609057348,[-0.77409362 -1.88075855]
0,2.778767499816029,[3.62976348 1.62669378]
0,-1.6341175257637732,[-0.98456304 -2.0261775 ]
0,1.6590279574866376,[1.24623363 0.07517219]
0,4.337752668940185,[-1.24733672  0.15507016]
0,3.8165862668090025,[1.98196298 2.5716774 ]
0,-1.78379609057348,[-0.77409362 -1.88075855]
0,2.279502774625165,[0.59530483 0.50876944]
0,-1.0902989083329042,[-0.34632193 -0.7538269 ]
0,1.3101311938354216,[2.84951002 1.69216213]
0,0.5533435263750874,[ 0.1051739  -2.45671701]
0,-1.6341175257637732,[-0.98456304 -2.0261775 ]
0,9.038897271395134,[ 2.1586201  -1.74480662]
0,1.3101311938354216,[2.84951002 1.69216213]
0,-1.0902989083329042,[-0.34632193 -0.7538269 ]
0,-1.0902989083329042,[-0.34632193 -0.7538269 ]
0,2.778767499816029,[3.62976348 1.62669378]
0,0.5533435263750874,[ 0.1051739  -2.45671701]
step,fitness,genome
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,-1.0902989083329042,[-0.34632193 -0.7538269 ]
1,-1.6341175257637732,[-0.98456304 -2.0261775 ]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,0.5533435263750874,[ 0.1051739  -2.45671701]
1,-1.0902989083329042,[-0.34632193 -0.7538269 ]
1,-1.0902989083329042,[-0.34632193 -0.7538269 ]
1,-1.6341175257637732,[-0.98456304 -2.0261775 ]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,1.3101311938354216,[2.84951002 1.69216213]
1,1.4609671446910104,[3.0025473  1.85473165]
1,0.5533435263750874,[ 0.1051739  -2.45671701]
1,0.5533435263750874,[ 0.1051739  -2.45671701]
1,1.4609671446910104,[3.0025473  1.85473165]
1,-1.6341175257637732,[-0.98456304 -2.0261775 ]
1,0.5533435263750874,[ 0.1051739  -2.45671701]
1,1.5235029824234088,[ 1.20712609 -0.16314858]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,-1.6341175257637732,[-0.98456304 -2.0261775 ]
1,-1.6341175257637732,[-0.98456304 -2.0261775 ]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,-1.0902989083329042,[-0.34632193 -0.7538269 ]
1,1.5235029824234088,[ 1.20712609 -0.16314858]
1,1.3205644992232735,[2.62003958 1.85473165]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,-1.6341175257637732,[-0.98456304 -2.0261775 ]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,0.5533435263750874,[ 0.1051739  -2.45671701]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,1.3101311938354216,[2.84951002 1.69216213]
1,-1.0902989083329042,[-0.34632193 -0.7538269 ]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,1.5235029824234088,[ 1.20712609 -0.16314858]
1,-1.78379609057348,[-0.77409362 -1.88075855]
1,1.0452166603521844,[-0.04516114 -2.71743586]
1,-1.0902989083329042,[-0.34632193 -0.7538269 ]
1,1.5235029824234088,[ 1.20712609 -0.16314858]
1,0.5533435263750874,[ 0.1051739  -2.45671701]
1,0.5533435263750874,[ 0.1051739  -2.45671701]
1,-1.0902989083329042,[-0.34632193 -0.7538269 ]
