step,fitness,genome
0,8.199171827476537,[ 0.00783643 -0.26854208]
0,4.2806480412510926,[-0.3115493   0.25707817]
0,18.73200789904256,[-0.69188804  0.08034337]
0,12.905975001838765,[-0.10030398 -0.33192312]
0,557.6917729552391,[1.86383404 1.1139079 ]
0,0.7139338922751123,[0.19816981 0.01262503]
0,88.02321812796805,[-0.70847113 -0.42058882]
0,143.08791098530625,[-1.13616596  0.1139079 ]
0,4.2806480412510926,[-0.3115493   0.25707817]
0,2.3133909206448124,[-0.41082043  0.22560446]
0,17.391072902468316,[-1.31036695  1.36988324]
0,133.25666564363678,[-0.93721693 -0.25962203]
0,8.199171827476537,[ 0.00783643 -0.26854208]
0,27.799501766978146,[ 0.64955252 -0.1041679 ]
0,18.73200789904256,[-0.69188804  0.08034337]
0,68.80364660241577,[-0.89919674  0.00111005]
0,48.43659868491011,[-0.95077852  0.23591497]
0,133.25666564363678,[-0.93721693 -0.25962203]
0,8.199171827476537,[ 0.00783643 -0.26854208]
0,7.694872885017595,[-1.13616596  1.1139079 ]
0,4.2806480412510926,[-0.3115493   0.25707817]
0,18.73200789904256,[-0.69188804  0.08034337]
0,133.25666564363678,[-0.93721693 -0.25962203]
0,133.25666564363678,[-0.93721693 -0.25962203]
0,8.199171827476537,[ 0.00783643 -0.26854208]
step,fitness,genome
1,8.199171827476537,[ 0.00783643 -0.26854208]
1,18.73200789904256,[-0.69188804  0.08034337]
1,14.823632498003388,[-0.95077852  1.23591497]
1,4.2806480412510926,[-0.3115493   0.25707817]
1,18.73200789904256,[-0.69188804  0.08034337]
1,133.25666564363678,[-0.93721693 -0.25962203]
1,88.02321812796805,[-0.70847113 -0.42058882]
1,4.2806480412510926,[-0.3115493   0.25707817]
1,8.199171827476537,[ 0.00783643 -0.26854208]
1,8.199171827476537,[ 0.00783643 -0.26854208]
1,8.199171827476537,[ 0.00783643 -0.26854208]
1,2.3133909206448124,[-0.41082043  0.22560446]
1,0.7139338922751123,[0.19816981 0.01262503]
1,4.2806480412510926,[-0.3115493   0.25707817]
1,2.3133909206448124,[-0.41082043  0.22560446]
1,2.3133909206448124,[-0.41082043  0.22560446]
1,18.73200789904256,[-0.69188804  0.08034337]
1,8.199171827476537,[ 0.00783643 -0.26854208]
1,4.2806480412510926,[-0.3115493   0.25707817]
1,8.199171827476537,[ 0.00783643 -0.26854208]
1,4.2806480412510926,[-0.3115493   0.25707817]
1,12.905975001838765,[-0.10030398 -0.33192312]
1,133.25666564363678,[-0.93721693 -0.25962203]
1,8.199171827476537,[ 0.00783643 -0.26854208]
1,17.391072902468316,[-1.31036695  1.36988324]
step,fitness,genome
2,8.199171827476537,[ 0.00783643 -0.26854208]
2,4.801025379911957,[0.6884507  0.25707817]
2,4.801025379911957,[0.6884507  0.25707817]
2,8.199171827476537,[ 0.00783643 -0.26854208]
2,4.2806480412510926,[-0.3115493   0.25707817]
2,4.2806480412510926,[-0.3115493   0.25707817]
2,4.2806480412510926,[-0.3115493   0.25707817]
2,2.3133909206448124,[-0.41082043  0.22560446]
2,4.2806480412510926,[-0.3115493   0.25707817]
2,17.391072902468316,[-1.31036695  1.36988324]
2,4.2806480412510926,[-0.3115493   0.25707817]
2,8.199171827476537,[ 0.00783643 -0.26854208]
2,8.199171827476537,[ 0.00783643 -0.26854208]
2,4.2806480412510926,[-0.3115493   0.25707817]
2,0.7139338922751123,[0.19816981 0.01262503]
2,8.199171827476537,[ 0.00783643 -0.26854208]
2,2.3133909206448124,[-0.41082043  0.22560446]
2,0.7139338922751123,[0.19816981 0.01262503]
2,2.3133909206448124,[-0.41082043  0.22560446]
2,0.7139338922751123,[0.19816981 0.01262503]
2,8.199171827476537,[ 0.00783643 -0.26854208]
2,2.3133909206448124,[-0.41082043  0.22560446]
2,1.645681673201893,[0.58917957 0.22560446]
2,4.2806480412510926,[-0.3115493   0.25707817]
2,18.73200789904256,[-0.69188804  0.08034337]
step,fitness,genome
3,164.93663532128085,[ 1.00783643 -0.26854208]
3,2.3133909206448124,[-0.41082043  0.22560446]
3,0.7139338922751123,[0.19816981 0.01262503]
3,4.2806480412510926,[-0.3115493   0.25707817]
3,95.384684668897,[0.19816981 1.01262503]
3,1.645681673201893,[0.58917957 0.22560446]
3,2.3133909206448124,[-0.41082043  0.22560446]
3,2.3133909206448124,[-0.41082043  0.22560446]
3,2.3133909206448124,[-0.41082043  0.22560446]
3,4.2806480412510926,[-0.3115493   0.25707817]
3,4.2806480412510926,[-0.3115493   0.25707817]
3,4.2806480412510926,[-0.3115493   0.25707817]
3,2.3133909206448124,[-0.41082043  0.22560446]
3,4.801025379911957,[0.6884507  0.25707817]
3,4.801025379911957,[0.6884507  0.25707817]
3,4.2806480412510926,[-0.3115493   0.25707817]
3,2.3133909206448124,[-0.41082043  0.22560446]
3,4.2806480412510926,[-0.3115493   0.25707817]
3,8.199171827476537,[ 0.00783643 -0.26854208]
3,8.199171827476537,[ 0.00783643 -0.26854208]
3,4.2806480412510926,[-0.3115493   0.25707817]
3,0.7139338922751123,[0.19816981 0.01262503]
3,4.2806480412510926,[-0.3115493   0.25707817]
3,8.199171827476537,[ 0.00783643 -0.26854208]
3,4.2806480412510926,[-0.3115493   0.25707817]
step,fitness,genome
4,1.645681673201893,[0.58917957 0.22560446]
4,2.3133909206448124,[-0.41082043  0.22560446]
4,4.2806480412510926,[-0.3115493   0.25707817]
4,2.3133909206448124,[-0.41082043  0.22560446]
4,2.3133909206448124,[-0.41082043  0.22560446]
4,2.3133909206448124,[-0.41082043  0.22560446]
4,8.199171827476537,[ 0.00783643 -0.26854208]
4,4.2806480412510926,[-0.3115493   0.25707817]
4,8.199171827476537,[ 0.00783643 -0.26854208]
4,4.2806480412510926,[-0.3115493   0.25707817]
4,2.3133909206448124,[-0.41082043  0.22560446]
4,4.2806480412510926,[-0.3115493   0.25707817]
4,2.3133909206448124,[-0.41082043  0.22560446]
4,2.3133909206448124,[-0.41082043  0.22560446]
4,0.7139338922751123,[0.19816981 0.01262503]
4,4.2806480412510926,[-0.3115493   0.25707817]
4,4.801025379911957,[0.6884507  0.25707817]
4,4.2806480412510926,[-0.3115493   0.25707817]
4,0.7139338922751123,[0.19816981 0.01262503]
4,2.3133909206448124,[-0.41082043  0.22560446]
4,4.2806480412510926,[-0.3115493   0.25707817]
4,4.2806480412510926,[-0.3115493   0.25707817]
4,4.2806480412510926,[-0.3115493   0.25707817]
4,2.3133909206448124,[-0.41082043  0.22560446]
4,2.3133909206448124,[-0.41082043  0.22560446]
step,fitness,genome
5,2.3133909206448124,[-0.41082043  0.22560446]
5,1.645681673201893,[0.58917957 0.22560446]
5,0.7139338922751123,[0.19816981 0.01262503]
5,4.2806480412510926,[-0.3115493   0.25707817]
5,2.3133909206448124,[-0.41082043  0.22560446]
5,2.3133909206448124,[-0.41082043  0.22560446]
5,4.2806480412510926,[-0.3115493   0.25707817]
5,2.3133909206448124,[-0.41082043  0.22560446]
5,4.2806480412510926,[-0.3115493   0.25707817]
5,2.3133909206448124,[-0.41082043  0.22560446]
5,1.645681673201893,[0.58917957 0.22560446]
5,0.7139338922751123,[0.19816981 0.01262503]
5,2.3133909206448124,[-0.41082043  0.22560446]
5,2.3133909206448124,[-0.41082043  0.22560446]
5,4.2806480412510926,[-0.3115493   0.25707817]
5,0.7139338922751123,[0.19816981 0.01262503]
5,1.645681673201893,[0.58917957 0.22560446]
5,4.2806480412510926,[-0.3115493   0.25707817]
5,2.3133909206448124,[-0.41082043  0.22560446]
5,4.2806480412510926,[-0.3115493   0.25707817]
5,0.7139338922751123,[0.19816981 0.01262503]
5,2.3133909206448124,[-0.41082043  0.22560446]
5,4.2806480412510926,[-0.3115493   0.25707817]
5,2.3133909206448124,[-0.41082043  0.22560446]
5,2.3133909206448124,[-0.41082043  0.22560446]
step,fitness,genome
6,1.645681673201893,[0.58917957 0.22560446]
6,95.384684668897,[0.19816981 1.01262503]
6,1.645681673201893,[0.58917957 0.22560446]
6,202.5281504003053,[1.19816981 0.01262503]
6,2.3133909206448124,[-0.41082043  0.22560446]
6,2.3133909206448124,[-0.41082043  0.22560446]
6,0.7139338922751123,[0.19816981 0.01262503]
6,0.7139338922751123,[0.19816981 0.01262503]
6,0.7139338922751123,[0.19816981 0.01262503]
6,0.7139338922751123,[0.19816981 0.01262503]
6,2.3133909206448124,[-0.41082043  0.22560446]
6,2.3133909206448124,[-0.41082043  0.22560446]
6,0.7139338922751123,[0.19816981 0.01262503]
6,2.3133909206448124,[-0.41082043  0.22560446]
6,2.3133909206448124,[-0.41082043  0.22560446]
6,2.3133909206448124,[-0.41082043  0.22560446]
6,0.7139338922751123,[0.19816981 0.01262503]
6,0.7139338922751123,[0.19816981 0.01262503]
6,0.7139338922751123,[0.19816981 0.01262503]
6,1.645681673201893,[0.58917957 0.22560446]
6,1.645681673201893,[0.58917957 0.22560446]
6,2.3133909206448124,[-0.41082043  0.22560446]
6,2.3133909206448124,[-0.41082043  0.22560446]
6,0.7139338922751123,[0.19816981 0.01262503]
6,2.3133909206448124,[-0.41082043  0.22560446]
step,fitness,genome
7,1.645681673201893,[0.58917957 0.22560446]
7,0.7139338922751123,[0.19816981 0.01262503]
7,202.5281504003053,[1.19816981 0.01262503]
7,0.7139338922751123,[0.19816981 0.01262503]
7,2.3133909206448124,[-0.41082043  0.22560446]
7,0.7139338922751123,[0.19816981 0.01262503]
7,1.645681673201893,[0.58917957 0.22560446]
7,2.3133909206448124,[-0.41082043  0.22560446]
7,1.645681673201893,[0.58917957 0.22560446]
7,2.3133909206448124,[-0.41082043  0.22560446]
7,0.7139338922751123,[0.19816981 0.01262503]
7,1.645681673201893,[0.58917957 0.22560446]
7,2.3133909206448124,[-0.41082043  0.22560446]
7,202.5281504003053,[1.19816981 0.01262503]
7,0.7139338922751123,[0.19816981 0.01262503]
7,2.3133909206448124,[-0.41082043  0.22560446]
7,1.645681673201893,[0.58917957 0.22560446]
7,0.7139338922751123,[0.19816981 0.01262503]
7,2.3133909206448124,[-0.41082043  0.22560446]
7,0.7139338922751123,[0.19816981 0.01262503]
7,0.7139338922751123,[0.19816981 0.01262503]
7,0.7139338922751123,[0.19816981 0.01262503]
7,0.7139338922751123,[0.19816981 0.01262503]
7,0.7139338922751123,[0.19816981 0.01262503]
7,202.5281504003053,[1.19816981 0.01262503]
step,fitness,genome
8,202.5281504003053,[1.19816981 0.01262503]
8,1.645681673201893,[0.58917957 0.22560446]
8,0.7139338922751123,[0.19816981 0.01262503]
8,0.7139338922751123,[0.19816981 0.01262503]
8,0.7139338922751123,[0.19816981 0.01262503]
8,1.645681673201893,[0.58917957 0.22560446]
8,0.7139338922751123,[0.19816981 0.01262503]
8,0.7139338922751123,[0.19816981 0.01262503]
8,1.645681673201893,[0.58917957 0.22560446]
8,202.5281504003053,[1.19816981 0.01262503]
8,1.645681673201893,[0.58917957 0.22560446]
8,0.7139338922751123,[0.19816981 0.01262503]
8,0.7139338922751123,[0.19816981 0.01262503]
8,1.645681673201893,[0.58917957 0.22560446]
8,202.5281504003053,[1.19816981 0.01262503]
8,1.645681673201893,[0.58917957 0.22560446]
8,1.645681673201893,[0.58917957 0.22560446]
8,0.7139338922751123,[0.19816981 0.01262503]
8,2.3133909206448124,[-0.41082043  0.22560446]
8,0.7139338922751123,[0.19816981 0.01262503]
8,0.7139338922751123,[0.19816981 0.01262503]
8,0.7139338922751123,[0.19816981 0.01262503]
8,1.645681673201893,[0.58917957 0.22560446]
8,2.3133909206448124,[-0.41082043  0.22560446]
8,0.7139338922751123,[0.19816981 0.01262503]
step,fitness,genome
9,0.7139338922751123,[0.19816981 0.01262503]
9,1.645681673201893,[0.58917957 0.22560446]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,202.5281504003053,[1.19816981 0.01262503]
9,1.645681673201893,[0.58917957 0.22560446]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,202.5281504003053,[1.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,1.645681673201893,[0.58917957 0.22560446]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,2.3133909206448124,[-0.41082043  0.22560446]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
9,2.3133909206448124,[-0.41082043  0.22560446]
9,0.7139338922751123,[0.19816981 0.01262503]
9,0.7139338922751123,[0.19816981 0.01262503]
step,fitness,genome
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,202.5281504003053,[1.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
10,1.645681673201893,[0.58917957 0.22560446]
10,95.384684668897,[0.19816981 1.01262503]
10,0.7139338922751123,[0.19816981 0.01262503]
step,fitness,genome
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,95.384684668897,[0.19816981 1.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
11,0.7139338922751123,[0.19816981 0.01262503]
step,fitness,genome
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,202.5281504003053,[1.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,95.384684668897,[0.19816981 1.01262503]
12,95.384684668897,[0.19816981 1.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,95.384684668897,[0.19816981 1.01262503]
12,95.384684668897,[0.19816981 1.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
12,0.7139338922751123,[0.19816981 0.01262503]
step,fitness,genome
13,95.384684668897,[0.19816981 1.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,95.384684668897,[0.19816981 1.01262503]
13,202.5281504003053,[1.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751117,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
13,0.7139338922751123,[0.19816981 0.01262503]
step,fitness,genome
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
14,0.7139338922751123,[0.19816981 0.01262503]
