step,fitness,genome
0,14.62741950863301,[-2.46798584e-04 -3.69146602e-01]
0,184.31886844466305,[-0.98686579 -0.36911949]
0,34.95657615892466,[ 0.66502968 -0.14802673]
0,24.76152184712396,[-0.08224938 -0.47893307]
0,12.396577345501052,[-0.71711928  0.2068828 ]
0,3.6477065869263536,[0.39526442 0.33739691]
0,12.396577345501052,[-0.71711928  0.2068828 ]
0,14.658339394767301,[-0.35507284  0.48415656]
0,6.53910807413541,[0.74128853 0.29510396]
0,7.788667376126162,[-0.53004256  0.04754338]
0,16.481241887915075,[-0.21153309 -0.34272542]
0,8.621988531972628,[-0.24543621  0.32615015]
0,16.481241887915075,[-0.21153309 -0.34272542]
0,24.264412840460412,[-0.8100196   0.19800249]
0,30.95678736799042,[-0.8100196   0.13000803]
0,311.5996525428287,[-1.39531142  0.19800249]
0,9.298174336172785,[ 0.07864275 -0.28449169]
0,1.0685322394331835,[0.18062285 0.09564472]
0,7.788667376126162,[-0.53004256  0.04754338]
0,16.481241887915075,[-0.21153309 -0.34272542]
0,64.65796246357776,[ 0.69394558 -0.32195863]
0,64.65796246357776,[ 0.69394558 -0.32195863]
0,24.365841900893518,[-0.35189018 -0.35091781]
0,14.658339394767301,[-0.35507284  0.48415656]
0,59.209154201735664,[ 0.55347368 -0.46184504]
0,81.51085954857447,[ 0.91834637 -0.05943666]
0,0.45267004318636744,[0.34566926 0.13514653]
0,128.83256274820238,[1.15089253 0.18960958]
0,31.387464948636655,[-0.62074663 -0.15096315]
0,64.65796246357776,[ 0.69394558 -0.32195863]
0,664.7347504409506,[-1.48334228 -0.3659532 ]
0,6.450081963023873,[0.23976199 0.29981039]
0,16.481241887915075,[-0.21153309 -0.34272542]
0,248.5684680415536,[ 1.24942109 -0.01535506]
0,8.621988531972628,[-0.24543621  0.32615015]
0,9.298174336172785,[ 0.07864275 -0.28449169]
0,0.45267004318636744,[0.34566926 0.13514653]
0,64.65796246357776,[ 0.69394558 -0.32195863]
0,0.45267004318636744,[0.34566926 0.13514653]
0,14.658339394767301,[-0.35507284  0.48415656]
0,6.53910807413541,[0.74128853 0.29510396]
0,136.07402652333556,[1.10231549 0.04863658]
0,23.05351689028654,[-0.37754861 -0.31741223]
0,17.416348393567255,[ 0.58122262 -0.07740279]
0,14.658339394767301,[-0.35507284  0.48415656]
0,11.719979520050934,[0.15240826 0.35491439]
0,31.244122752262147,[-1.00983158  0.49817857]
0,14.14357009091641,[0.17083086 0.39600805]
0,2.358135635741657,[0.09307698 0.13258371]
0,14.14357009091641,[0.17083086 0.39600805]
0,11.719979520050934,[0.15240826 0.35491439]
0,37.94288827301883,[0.8715564  0.14376649]
0,24.76152184712396,[-0.08224938 -0.47893307]
0,150.77595857272277,[-1.18728546  0.20137633]
0,1.8588300316106536,[0.59458455 0.48370253]
0,5.86426420765406,[0.4083925  0.40160915]
0,23.05351689028654,[-0.37754861 -0.31741223]
0,41.178200277385386,[-0.90768964  0.21121034]
0,4.720862484709544,[-0.06246424 -0.18562479]
0,31.244122752262147,[-1.00983158  0.49817857]
0,68.30666853074473,[1.04946371 0.2749104 ]
0,150.77595857272277,[-1.18728546  0.20137633]
0,1.0685322394331835,[0.18062285 0.09564472]
0,8.621988531972628,[-0.24543621  0.32615015]
0,26.06148258569523,[-0.38442225 -0.3435937 ]
0,12.628150364562089,[0.7944926  0.27645213]
0,128.83256274820238,[1.15089253 0.18960958]
0,37.94288827301883,[0.8715564  0.14376649]
0,386.0510610305106,[-1.21382591 -0.47893307]
0,18.505796867389506,[-0.08224938  0.42311257]
0,23.47145223153028,[ 0.00664695 -0.47413618]
0,184.31886844466305,[-0.98686579 -0.36911949]
0,23.05351689028654,[-0.37754861 -0.31741223]
0,136.72127540821896,[1.12586966 0.09837151]
0,16.481241887915075,[-0.21153309 -0.34272542]
step,fitness,genome
1,26.06148258569523,[-0.38442225 -0.3435937 ]
1,14.62741950863301,[-2.46798584e-04 -3.69146602e-01]
1,8.621988531972628,[-0.24543621  0.32615015]
1,16.481241887915075,[-0.21153309 -0.34272542]
1,14.62741950863301,[-2.46798584e-04 -3.69146602e-01]
1,14.658339394767301,[-0.35507284  0.48415656]
1,8.621988531972628,[-0.24543621  0.32615015]
1,0.45267004318636744,[0.34566926 0.13514653]
1,12.628150364562089,[0.7944926  0.27645213]
1,14.658339394767301,[-0.35507284  0.48415656]
1,14.658339394767301,[-0.35507284  0.48415656]
1,16.481241887915075,[-0.21153309 -0.34272542]
1,23.05351689028654,[-0.37754861 -0.31741223]
1,5.86426420765406,[0.4083925  0.40160915]
1,4.720862484709544,[-0.06246424 -0.18562479]
1,14.14357009091641,[0.17083086 0.39600805]
1,16.481241887915075,[-0.21153309 -0.34272542]
1,4.720862484709544,[-0.06246424 -0.18562479]
1,3.0391207473862885,[-0.71711928  0.48415656]
1,2.4891845436091273,[-0.35507284  0.2068828 ]
1,14.14357009091641,[0.17083086 0.39600805]
1,5.86426420765406,[0.4083925  0.40160915]
1,6.53910807413541,[0.74128853 0.29510396]
1,11.719979520050934,[0.15240826 0.35491439]
1,18.505796867389506,[-0.08224938  0.42311257]
1,6.53910807413541,[0.74128853 0.29510396]
1,37.94288827301883,[0.8715564  0.14376649]
1,7.788667376126162,[-0.53004256  0.04754338]
1,23.05351689028654,[-0.37754861 -0.31741223]
1,31.387464948636655,[-0.62074663 -0.15096315]
1,1.8588300316106536,[0.59458455 0.48370253]
1,14.658339394767301,[-0.35507284  0.48415656]
1,23.05351689028654,[-0.37754861 -0.31741223]
1,6.53910807413541,[0.74128853 0.29510396]
1,8.621988531972628,[-0.24543621  0.32615015]
1,3.6477065869263536,[0.39526442 0.33739691]
1,9.298174336172785,[ 0.07864275 -0.28449169]
1,0.45267004318636744,[0.34566926 0.13514653]
1,11.719979520050934,[0.15240826 0.35491439]
1,64.65796246357776,[ 0.69394558 -0.32195863]
1,5.86426420765406,[0.4083925  0.40160915]
1,7.788667376126162,[-0.53004256  0.04754338]
1,23.05351689028654,[-0.37754861 -0.31741223]
1,16.481241887915075,[-0.21153309 -0.34272542]
1,16.481241887915075,[-0.21153309 -0.34272542]
1,14.14357009091641,[0.17083086 0.39600805]
1,9.298174336172785,[ 0.07864275 -0.28449169]
1,8.621988531972628,[-0.24543621  0.32615015]
1,5.86426420765406,[0.4083925  0.40160915]
1,16.481241887915075,[-0.21153309 -0.34272542]
1,7.788667376126162,[-0.53004256  0.04754338]
1,14.62741950863301,[-2.46798584e-04 -3.69146602e-01]
1,1.0685322394331835,[0.18062285 0.09564472]
1,7.788667376126162,[-0.53004256  0.04754338]
1,17.416348393567255,[ 0.58122262 -0.07740279]
1,0.45267004318636744,[0.34566926 0.13514653]
1,6.53910807413541,[0.74128853 0.29510396]
1,0.45267004318636744,[0.34566926 0.13514653]
1,14.658339394767301,[-0.35507284  0.48415656]
1,14.658339394767301,[-0.35507284  0.48415656]
1,14.658339394767301,[-0.35507284  0.48415656]
1,1.8588300316106536,[0.59458455 0.48370253]
1,34.95657615892466,[ 0.66502968 -0.14802673]
1,12.396577345501052,[-0.71711928  0.2068828 ]
1,14.14357009091641,[0.17083086 0.39600805]
1,16.481241887915075,[-0.21153309 -0.34272542]
1,22.34542757363254,[0.18062285 0.49817857]
1,89.43829520044956,[-1.00983158  0.09564472]
1,24.76152184712396,[-0.08224938 -0.47893307]
1,12.628150364562089,[0.7944926  0.27645213]
1,9.298174336172785,[ 0.07864275 -0.28449169]
1,4.720862484709544,[-0.06246424 -0.18562479]
1,24.76152184712396,[-0.08224938 -0.47893307]
1,4.720862484709544,[-0.06246424 -0.18562479]
1,16.481241887915075,[-0.21153309 -0.34272542]
step,fitness,genome
2,0.45267004318636744,[0.34566926 0.13514653]
2,14.658339394767301,[-0.35507284  0.48415656]
2,1.996589646189795,[0.4083925  0.29510396]
2,2.2543590172410637,[0.74128853 0.40160915]
2,16.481241887915075,[-0.21153309 -0.34272542]
2,7.788667376126162,[-0.53004256  0.04754338]
2,14.658339394767301,[-0.35507284  0.48415656]
2,12.628150364562089,[0.7944926  0.27645213]
2,1.8588300316106536,[0.59458455 0.48370253]
2,14.658339394767301,[-0.35507284  0.48415656]
2,6.53910807413541,[0.74128853 0.29510396]
2,8.621988531972628,[-0.24543621  0.32615015]
2,26.06148258569523,[-0.38442225 -0.3435937 ]
2,16.481241887915075,[-0.21153309 -0.34272542]
2,0.45267004318636744,[0.34566926 0.13514653]
2,4.720862484709544,[-0.06246424 -0.18562479]
2,12.396577345501052,[-0.71711928  0.2068828 ]
2,6.53910807413541,[0.74128853 0.29510396]
2,5.86426420765406,[0.4083925  0.40160915]
2,6.53910807413541,[0.74128853 0.29510396]
2,7.788667376126162,[-0.53004256  0.04754338]
2,5.86426420765406,[0.4083925  0.40160915]
2,17.416348393567255,[ 0.58122262 -0.07740279]
2,16.481241887915075,[-0.21153309 -0.34272542]
2,14.62741950863301,[-2.46798584e-04 -3.69146602e-01]
2,5.86426420765406,[0.4083925  0.40160915]
2,7.788667376126162,[-0.53004256  0.04754338]
2,6.53910807413541,[0.74128853 0.29510396]
2,12.396577345501052,[-0.71711928  0.2068828 ]
2,6.53910807413541,[0.74128853 0.29510396]
2,6.53910807413541,[0.74128853 0.29510396]
2,7.788667376126162,[-0.53004256  0.04754338]
2,11.719979520050934,[0.15240826 0.35491439]
2,6.53910807413541,[0.74128853 0.29510396]
2,4.720862484709544,[-0.06246424 -0.18562479]
2,6.53910807413541,[0.74128853 0.29510396]
2,5.86426420765406,[0.4083925  0.40160915]
2,14.14357009091641,[0.17083086 0.39600805]
2,16.481241887915075,[-0.21153309 -0.34272542]
2,7.788667376126162,[-0.53004256  0.04754338]
2,1.8588300316106536,[0.59458455 0.48370253]
2,9.298174336172785,[ 0.07864275 -0.28449169]
2,2.4891845436091273,[-0.35507284  0.2068828 ]
2,1.8588300316106536,[0.59458455 0.48370253]
2,1.8588300316106536,[0.59458455 0.48370253]
2,16.481241887915075,[-0.21153309 -0.34272542]
2,8.621988531972628,[-0.24543621  0.32615015]
2,12.628150364562089,[0.7944926  0.27645213]
2,16.481241887915075,[-0.21153309 -0.34272542]
2,26.06148258569523,[-0.38442225 -0.3435937 ]
2,1.0685322394331835,[0.18062285 0.09564472]
2,0.45267004318636744,[0.34566926 0.13514653]
2,5.86426420765406,[0.4083925  0.40160915]
2,3.0391207473862885,[-0.71711928  0.48415656]
2,4.720862484709544,[-0.06246424 -0.18562479]
2,4.720862484709544,[-0.06246424 -0.18562479]
2,14.62741950863301,[-2.46798584e-04 -3.69146602e-01]
2,11.719979520050934,[0.15240826 0.35491439]
2,12.628150364562089,[0.7944926  0.27645213]
2,2.4891845436091273,[-0.35507284  0.2068828 ]
2,14.62741950863301,[-2.46798584e-04 -3.69146602e-01]
2,1.8588300316106536,[0.59458455 0.48370253]
