step,fitness,genome
0,0.49999107590956615,[-58.44328681 -22.06820522]
0,0.5000031446704505,[-99.49299399  51.99051226]
0,0.49999392213912935,[-56.00143355 -33.86531347]
0,0.4999970403062207,[81.58328989 46.7418649 ]
0,0.4999490417471574,[-26.14975444  49.42815634]
0,0.4999977501462296,[-15.81510079 -80.91075202]
0,0.5000015119778399,[98.51277026 72.73011084]
0,0.4999490417471574,[-26.14975444  49.42815634]
0,0.49999392213912935,[-56.00143355 -33.86531347]
0,0.49999107590956615,[-58.44328681 -22.06820522]
0,0.49999802162959295,[-62.80775548 -92.80985549]
0,0.4999490417471574,[-26.14975444  49.42815634]
0,0.49996227947373684,[ 53.77679774 -24.97056677]
0,0.4999490417471574,[-26.14975444  49.42815634]
0,0.5000021349855577,[-96.21987182 -74.05289367]
0,0.4999490417471574,[-26.14975444  49.42815634]
0,0.5000015119778399,[98.51277026 72.73011084]
0,0.49999802162959295,[-62.80775548 -92.80985549]
0,0.4999977501462296,[-15.81510079 -80.91075202]
0,0.49996227947373684,[ 53.77679774 -24.97056677]
0,0.49999107590956615,[-58.44328681 -22.06820522]
0,0.4999490417471574,[-26.14975444  49.42815634]
0,0.5000021349855577,[-96.21987182 -74.05289367]
0,0.49999107590956615,[-58.44328681 -22.06820522]
0,0.4999893053178087,[81.43842901 -4.39655594]
step,fitness,genome
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.49996227947373684,[ 53.77679774 -24.97056677]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999893053178087,[81.43842901 -4.39655594]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999893053178087,[81.43842901 -4.39655594]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999893053178087,[81.43842901 -4.39655594]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.4999490417471574,[-26.14975444  49.42815634]
1,0.49999107590956615,[-58.44328681 -22.06820522]
1,0.4999893053178087,[81.43842901 -4.39655594]
1,0.49996227947373684,[ 53.77679774 -24.97056677]
step,fitness,genome
