step,fitness,genome
0,7.000701664376498,[ 1.89654848 -3.50459465]
0,1.8423342204586177,[1.80393162 0.33222831]
0,2.9791090913223517,[1.78426855 0.74251758]
0,16.716096633901635,[-0.26228182  4.20552746]
0,5.8563174489531375,[-2.11290455  3.0914497 ]
0,2.4404122595705617,[-1.74776691  2.3373634 ]
0,1.8423342204586177,[1.80393162 0.33222831]
0,3.6832200088418308,[ 0.75201455 -2.1078317 ]
0,5.47509734964235,[-0.26334194 -2.18322229]
0,27.768055604769923,[-0.98083145 -4.69686549]
0,0.9865011602907944,[ 1.01918379 -0.17071181]
0,5.269607568227751,[-1.84275714 -1.29415414]
0,22.445691055501996,[1.32746438 3.99570996]
0,0.9704912136622554,[0.81943116 0.05759362]
0,10.48600369782075,[ 1.09506843 -3.64752821]
0,7.000701664376498,[ 1.89654848 -3.50459465]
0,0.14503967418069,[0.26350083 0.03718337]
0,13.98247525296476,[-0.78113267  4.03305723]
0,0.14503967418069,[0.26350083 0.03718337]
0,16.716096633901635,[-0.26228182  4.20552746]
0,2.9812356228003676,[-0.54522117 -1.32408204]
0,0.6840202704685325,[-1.94516297  0.71443754]
0,9.43240911385043,[ 1.04754113 -3.44886867]
0,185.03905997704197,[3.44820714 3.97796594]
0,35.12875776962752,[ 2.82800696 -3.15632722]
0,129.96330969025155,[-3.3715261   0.71297103]
0,14.545662970170799,[-0.44478687 -3.55110048]
0,2.4404122595705617,[-1.74776691  2.3373634 ]
0,5.397079106315087,[-0.34245128 -2.11044553]
0,18.65738322574116,[0.36786197 4.11017937]
0,2.9791090913223517,[1.78426855 0.74251758]
0,3.566700908915232,[-1.20577018 -1.04928706]
0,5.397079106315087,[-0.34245128 -2.11044553]
0,3.7710086378564087,[ 0.60702444 -2.1091694 ]
0,17.471681411646287,[-1.55122264  4.9009301 ]
0,175.46306493266943,[3.40381466 4.37495192]
0,21.237941152959333,[-2.5809166  -1.33829865]
0,22.371212678816587,[-0.55621735  4.96056173]
0,22.445691055501996,[1.32746438 3.99570996]
0,0.7142072079542598,[ 1.96817689 -0.92747945]
0,3.6832200088418308,[ 0.75201455 -2.1078317 ]
0,5.47509734964235,[-0.26334194 -2.18322229]
0,11.328562029432419,[8.24148979e-04 3.36538068e+00]
0,3.566700908915232,[-1.20577018 -1.04928706]
0,9.43240911385043,[ 1.04754113 -3.44886867]
0,8.47338407832172,[0.28353529 2.74603378]
0,0.6840202704685325,[-1.94516297  0.71443754]
0,0.9704912136622554,[0.81943116 0.05759362]
0,3.6832200088418308,[ 0.75201455 -2.1078317 ]
0,0.7142072079542598,[ 1.96817689 -0.92747945]
